day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,632170.494,632083,632234,447.319,386,538,0.0,0,0,0.0,0,0,0.0,0,0,11.5,1,23,0.0,0,0
1,631640.872,631525,631748,909.605,807,1024,0.0,0,0,2.222,0,10,0.0,0,0,31.348,14,53,2.293,0,8
2,631021.765,630889,631144,1427.221,1300,1555,0.0,0,0,8.06,1,19,0.0,0,0,58.498,33,88,8.755,1,21
3,630274.652,630099,630445,2034.887,1882,2201,0.0,0,0,19.146,5,38,0.0,0,0,92.739,56,125,21.314,7,40
4,629352.138,629135,629544,2774.123,2579,2952,0.0,0,0,36.784,17,60,0.0,0,0,134.857,100,168,41.946,21,67
5,628191.356,627925,628445,3697.571,3461,3898,0.01,0,1,62.281,36,93,0.0,0,0,185.898,146,228,72.823,44,101
6,626721.13,626385,627035,4862.438,4594,5163,0.073,0,2,97.291,59,131,0.0,0,0,249.846,196,307,115.895,84,149
7,624833.903,624430,625265,6358.665,5999,6656,0.28,0,3,144.851,104,185,0.0,0,0,329.646,272,389,174.96,133,220
8,622399.779,621850,622810,8295.117,7922,8714,0.738,0,5,208.012,164,255,0.001,0,1,428.953,364,496,252.738,196,312
9,619235.646,618507,619808,10819.368,10336,11380,1.761,0,6,291.167,233,342,0.014,0,1,556.503,478,633,353.875,275,424
10,615109.872,614176,615912,14118.897,13404,14848,3.508,0,13,400.383,321,467,0.045,0,2,719.825,632,810,484.468,401,564
11,609706.363,608572,610685,18457.559,17600,19377,6.18,0,16,543.382,470,633,0.128,0,2,929.626,805,1048,652.514,558,741
12,602622.653,601070,603907,24157.321,23117,25439,10.27,0,26,728.279,631,820,0.259,0,3,1204.684,1086,1340,868.37,762,973
13,593337.965,591394,595104,31644.918,30232,33206,16.193,3,31,971.151,835,1109,0.461,0,3,1561.322,1403,1745,1146.666,1043,1257
14,581203.8,578687,583566,41436.223,39579,43469,24.546,9,41,1287.018,1153,1430,0.777,0,5,2029.971,1867,2239,1505.148,1372,1644
15,565428.825,562207,568455,54154.187,51696,56760,36.04,15,59,1699.79,1549,1846,1.297,0,7,2640.797,2441,2855,1968.981,1806,2117
16,545116.805,540951,548656,70481.866,67627,73845,51.48,29,77,2236.352,2042,2403,2.021,0,7,3439.381,3233,3671,2570.391,2382,2756
17,519289.272,514410,523796,91132.558,87394,95250,71.64,44,98,2938.289,2752,3138,3.119,0,10,4474.069,4166,4803,3351.259,3114,3592
18,487036.713,480973,492448,116703.257,112200,121866,97.388,70,135,3855.132,3598,4135,4.834,0,14,5802.279,5402,6198,4365.388,4074,4708
19,447749.665,440563,454135,147446.95,142137,153055,130.778,96,177,5045.131,4757,5362,7.278,1,19,7483.001,7054,7903,5681.431,5332,6077
20,401370.028,393013,409343,183032.292,176668,189363,173.807,137,220,6582.4,6260,6948,10.834,2,22,9580.917,9063,10199,7378.227,7022,7899
21,348827.934,339681,357988,222193.231,215179,228983,228.468,178,279,8554.548,8189,8979,16.021,5,30,12122.314,11354,12854,9553.084,9131,10127
22,292238.379,282229,301938,262544.757,255649,269542,297.089,241,352,11054.857,10530,11623,23.779,9,42,15118.716,14304,15965,12308.518,11809,13031
23,240417.416,230506,250490,295196.602,288742,301451,381.666,322,460,14187.479,13612,14858,35.622,18,55,18501.164,17555,19464,15751.377,15132,16505
24,189968.1,180937,199666,324093.955,318494,328834,485.833,424,555,18045.347,17296,18957,53.169,32,78,22020.292,21198,23072,19973.344,19201,20850
25,144431.154,136896,153116,345969.537,341697,349394,611.968,514,692,22695.51,21725,23657,79.877,52,115,25555.197,24521,26462,24999.073,23911,26022
26,105904.751,99014,112851,359228.781,356212,361481,757.956,673,848,28159.986,27071,29278,120.681,88,159,28954.825,27975,29834,30846.776,29461,32103
27,75094.457,69843,80427,363822.174,362234,365628,922.067,833,1021,34470.533,33219,35841,182.425,140,236,32018.068,31269,32800,37474.645,35933,38851
28,51683.582,47867,55765,360668.332,358931,362368,1097.288,995,1215,41621.569,40133,43115,274.699,219,341,34618.196,33926,35464,44770.029,42950,46354
29,34676.864,32017,37543,351349.935,348912,353740,1274.157,1179,1403,49592.877,47753,51252,408.829,337,480,36648.976,35910,37370,52590.97,50839,54251
30,22807.466,20959,24819,337565.374,334787,340687,1439.806,1328,1581,58349.762,56472,60091,598.592,509,691,38087.28,37422,38737,60764.952,58812,62455
31,14780.222,13448,16212,320944.244,317791,324372,1582.765,1461,1753,67862.485,65885,69763,857.223,754,954,38921.669,38342,39642,69097.123,67225,70974
32,9479.533,8609,10486,302819.178,299397,306329,1693.244,1578,1852,78093.333,75994,80079,1195.578,1062,1343,39195.391,38576,39839,77364.046,75606,79176
33,6053.963,5492,6726,284125.329,280539,287633,1773.718,1659,1937,88979.523,86727,91036,1623.735,1473,1770,39003.937,38394,39615,85381.645,83782,87247
34,3866.874,3480,4289,265566.316,262047,268930,1829.104,1712,1975,100493.666,98147,102738,2143.535,1926,2319,38396.181,37720,39019,92943.408,91379,94656
35,2478.529,2215,2782,247557.078,244290,250796,1870.534,1749,2024,112584.839,109996,114845,2756.879,2508,2974,37464.656,36663,38066,99903.989,98421,101712
36,1599.755,1398,1791,230355.375,226935,233540,1903.899,1792,2052,125196.092,122446,127469,3461.715,3168,3716,36288.794,35423,36944,106142.411,104724,107913
37,1042.355,887,1204,214096.122,210683,217212,1934.269,1820,2062,138292.67,135412,140713,4257.629,3938,4547,34913.725,34279,35637,111560.493,110107,113088
38,687.289,579,805,198818.479,195870,201816,1964.139,1837,2111,151801.59,148981,154266,5141.892,4815,5427,33419.466,32781,33991,116096.04,114891,117461
39,459.288,373,559,184521.897,181833,187254,1993.32,1862,2116,165678.669,162701,168184,6107.483,5753,6452,31844.293,31229,32438,119727.583,118600,120931
40,312.047,235,377,171193.262,168393,173978,2021.857,1907,2166,179854.077,176850,182655,7152.965,6777,7511,30224.659,29471,30863,122451.241,121344,123726
41,215.037,144,282,158794.361,156415,161438,2051.811,1941,2184,194261.678,191358,197131,8264.743,7919,8631,28591.957,27958,29265,124289.6,123269,125374
42,150.281,94,201,147264.946,144999,149480,2081.236,1966,2213,208823.64,206041,211889,9436.423,9058,9870,26970.986,26407,27644,125287.38,124415,126644
43,107.151,62,147,136553.704,134476,138645,2111.002,1957,2259,223461.964,220627,226609,10657.168,10182,11103,25381.477,24836,26047,125510.663,124509,126781
44,77.624,44,111,126618.262,124716,128628,2140.704,2002,2275,238108.289,235369,241074,11917.422,11476,12338,23838.069,23350,24576,125013.485,123874,126225
45,57.183,24,90,117400.115,115602,119252,2169.619,2041,2307,252695.309,249910,255649,13206.158,12755,13612,22350.929,21811,23087,123866.666,122784,124887
46,42.712,20,72,108846.335,107184,110558,2197.977,2067,2345,267164.95,264162,270116,14518.29,14080,14978,20923.394,20425,21486,122144.085,121071,123185
47,32.279,13,57,100909.929,99253,102759,2225.379,2101,2373,281446.519,278697,284309,15840.487,15384,16311,19560.696,19089,20105,119938.604,118904,121055
48,24.762,9,44,93550.822,91969,95244,2254.357,2138,2397,295486.319,292863,298362,17162.04,16675,17625,18264.689,17708,18807,117308.398,116290,118611
49,19.331,7,39,86726.144,85255,88291,2281.837,2141,2405,309236.194,306520,312109,18479.516,17974,18935,17047.322,16507,17694,114325.036,113216,115582
50,15.231,2,38,80398.831,79030,81861,2307.937,2179,2432,322663.408,320124,325327,19788.659,19231,20297,15888.913,15360,16431,111046.346,109896,112152
51,12.151,1,28,74532.767,73245,75910,2334.119,2204,2452,335727.784,332961,338455,21075.866,20553,21599,14802.192,14392,15356,107548.38,106431,108779
52,9.924,1,26,69092.103,67833,70412,2359.804,2218,2486,348405.225,345663,351055,22338.647,21770,22887,13779.647,13383,14226,103873.494,102655,105153
53,8.196,1,24,64049.313,62882,65298,2382.938,2241,2535,360663.232,358126,363468,23576.167,23015,24122,12822.098,12407,13258,100079.157,98931,101273
54,6.867,0,21,59373.813,58285,60657,2405.42,2266,2560,372495.844,370046,375188,24780.896,24219,25324,11927.7,11536,12320,96192.602,95058,97442
55,5.78,0,17,55043.245,54082,56339,2427.694,2285,2619,383882.594,381467,386461,25951.505,25364,26486,11089.117,10632,11467,92263.38,91000,93487
56,4.897,0,14,51024.36,50142,52279,2449.399,2310,2645,394820.894,392508,397358,27083.042,26444,27662,10305.455,9909,10734,88328.129,87069,89538
57,4.246,0,14,47300.075,46437,48500,2468.965,2321,2626,405302.586,403148,407882,28175.965,27562,28732,9573.104,9222,9950,84413.976,83173,85800
58,3.703,0,13,43846.977,43012,44842,2487.039,2353,2635,415334.445,413168,417890,29228.687,28659,29797,8891.778,8473,9206,80541.634,79521,82143
59,3.226,0,12,40645.046,39929,41607,2504.166,2365,2644,424912.055,422822,427661,30240.966,29651,30839,8257.326,7929,8576,76733.173,75344,78120
60,2.836,0,12,37677.808,36945,38609,2519.906,2388,2651,434049.787,432080,436658,31210.093,30670,31807,7664.423,7323,7965,72997.127,71720,74063
61,2.521,0,9,34929.055,34252,35785,2534.57,2370,2671,442742.774,440820,445350,32139.992,31581,32735,7113.485,6852,7414,69357.56,68004,70385
62,2.26,0,9,32382.712,31768,33104,2548.046,2406,2688,451016.584,449074,453458,33026.393,32468,33629,6600.924,6315,6883,65817.777,64591,66799
63,2.022,0,9,30019.553,29421,30724,2561.849,2411,2687,458870.494,456929,461083,33875.562,33306,34431,6126.066,5871,6385,62384.521,61112,63328
64,1.85,0,8,27829.692,27286,28549,2572.997,2424,2704,466318.144,464442,468520,34681.831,34093,35240,5683.712,5383,5926,59073.172,57840,60045
65,1.721,0,8,25798.771,25281,26506,2582.02,2449,2700,473381.048,471536,475425,35450.475,34833,35992,5272.156,5011,5522,55874.814,54915,56916
66,1.593,0,8,23916.463,23410,24600,2591.025,2462,2717,480064.581,478297,481844,36179.318,35531,36747,4890.984,4648,5117,52803.151,51843,53790
