day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,664938.757,664868,665015,316.595,255,384,0.0,0,0,0.0,0,0,0.0,0,0,183.199,137,235,0.0,0,0
1,664329.41,664221,664463,609.996,508,694,0.0,0,0,15.998,4,34,0.0,0,0,463.191,401,555,0.755,0,6
2,663571.39,663434,663703,938.807,834,1056,0.0,0,0,56.177,30,82,0.0,0,0,824.971,701,933,2.609,0,11
3,662618.009,662445,662809,1337.609,1222,1442,0.0,0,0,128.272,86,179,0.0,0,0,1272.325,1129,1398,5.926,0,17
4,661427.355,661167,661658,1822.337,1679,1989,0.0,0,0,238.235,183,299,0.0,0,0,1823.63,1675,1962,11.242,2,23
5,659946.645,659622,660249,2412.821,2191,2643,0.014,0,1,395.77,335,484,0.0,0,0,2500.071,2341,2675,18.545,6,35
6,658110.753,657765,658438,3131.835,2935,3368,0.076,0,2,612.145,532,699,0.0,0,0,3330.532,3101,3549,28.379,13,45
7,655843.465,655437,656241,4008.847,3784,4234,0.263,0,3,902.069,806,1020,0.0,0,0,4344.347,4059,4578,40.612,24,69
8,653054.829,652563,653508,5073.537,4783,5395,0.685,0,5,1281.321,1167,1410,0.0,0,0,5582.625,5258,5822,55.581,32,90
9,649637.44,649050,650210,6359.826,5978,6619,1.326,0,6,1769.73,1621,1932,0.0,0,0,7095.583,6759,7479,73.48,49,108
10,645458.208,644782,646163,7915.497,7526,8258,2.241,0,9,2390.254,2226,2595,0.0,0,0,8939.865,8503,9333,95.723,67,131
11,640363.52,639567,641297,9795.84,9388,10179,3.468,0,11,3175.347,2965,3398,0.002,0,1,11176.037,10702,11677,122.601,85,162
12,634180.48,633299,635251,12047.023,11547,12493,5.106,0,16,4156.016,3889,4420,0.007,0,1,13893.031,13377,14403,154.871,115,199
13,626693.326,625636,628007,14733.305,14174,15273,7.286,1,20,5377.435,5084,5628,0.009,0,1,17186.142,16556,17769,194.881,145,245
14,617666.807,616359,619260,17940.11,17297,18456,10.022,2,22,6890.19,6530,7252,0.016,0,2,21148.066,20389,21865,242.579,191,299
15,606845.798,605133,608532,21716.597,20953,22533,13.457,3,28,8749.187,8372,9182,0.021,0,2,25917.097,25121,26690,300.703,237,366
16,593928.899,591721,596042,26149.953,25244,27181,17.864,4,35,11030.071,10592,11518,0.031,0,2,31620.29,30660,32546,371.303,293,449
17,578622.172,575949,581022,31280.579,30242,32258,23.352,11,39,13812.081,13279,14370,0.046,0,2,38415.841,37252,39701,456.352,384,531
