day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,665386.837,665359,665409,28.13,10,49,0.0,0,0,0.0,0,0,0.0,0,0,5.567,0,16,0.0,0,0
1,665284.421,665238,665324,79.1,41,113,0.0,0,0,0.282,0,4,0.0,0,0,13.049,1,27,4.964,0,15
2,665129.645,665043,665195,153.796,106,208,0.0,0,0,0.862,0,6,0.0,0,0,24.669,8,42,15.953,4,32
3,664898.193,664791,664991,262.393,204,331,0.0,0,0,1.949,0,8,0.0,0,0,42.269,18,63,35.651,17,59
4,664555.819,664402,664703,421.807,349,519,0.0,0,0,3.852,0,15,0.0,0,0,68.433,39,101,68.728,42,101
5,664047.71,663823,664240,657.292,554,759,0.001,0,1,7.026,0,23,0.0,0,0,107.044,74,148,121.187,85,164
6,663298.157,663014,663565,1001.588,853,1161,0.02,0,1,12.139,3,27,0.0,0,0,164.472,125,226,201.096,156,251
7,662196.689,661742,662548,1502.401,1270,1689,0.092,0,2,19.98,7,38,0.0,0,0,249.129,193,312,321.85,262,398
8,660577.542,659954,661073,2239.133,1942,2507,0.286,0,3,32.635,17,54,0.001,0,1,372.606,302,435,503.266,411,609
9,658207.545,657361,658929,3313.336,2927,3692,0.672,0,5,52.347,27,79,0.002,0,1,554.086,452,647,770.937,638,917
10,654746.375,653706,655749,4876.718,4386,5359,1.329,0,6,82.988,48,117,0.003,0,1,819.521,694,947,1167.616,1014,1368
11,649702.838,648196,651151,7139.711,6453,7767,2.424,0,9,129.539,81,167,0.005,0,1,1208.027,1053,1383,1749.17,1539,2003
12,642374.604,640361,644382,10417.709,9473,11413,4.139,0,12,199.981,147,246,0.01,0,1,1773.665,1561,2000,2601.517,2321,2931
13,631785.422,628884,634822,15112.653,13614,16471,6.966,0,17,305.681,231,361,0.017,0,1,2594.331,2355,2910,3844.471,3440,4265
14,616605.164,612275,620943,21755.799,19723,23664,11.124,2,23,461.872,353,539,0.034,0,1,3784.075,3409,4210,5659.578,5046,6256
15,595067.453,589303,601163,31024.808,28544,33471,17.724,6,32,693.376,567,790,0.055,0,2,5491.019,4972,6055,8298.116,7463,9104
16,564982.238,556606,573489,43621.599,40027,47145,27.229,10,49,1032.402,878,1179,0.095,0,2,7921.31,7228,8778,12113.58,10976,13343
17,523875.808,512881,535068,60155.97,55674,64432,41.188,22,65,1526.158,1284,1718,0.171,0,2,11323.011,10272,12379,17593.512,15955,19073
18,469493.927,455243,484093,80666.012,75212,85844,61.396,33,89,2242.554,1965,2490,0.271,0,3,15991.618,14675,17466,25396.469,23153,27553
19,400828.062,384089,419762,103929.111,97314,109177,90.699,58,124,3269.504,2901,3642,0.473,0,4,22219.051,20596,23921,36344.197,33127,39370
20,319641.502,300445,341314,126611.39,120781,131354,132.978,93,174,4721.899,4236,5220,0.746,0,5,30164.582,28039,32086,51416.165,47386,55423
21,232142.102,213131,253824,142849.233,139459,145221,193.042,137,259,6744.619,6110,7376,1.197,0,6,39703.499,37207,42002,71620.884,66314,76872
22,149004.824,132541,168433,145586.401,142752,147412,275.759,220,350,9497.085,8712,10293,1.888,0,8,50213.911,47511,52592,97714.295,90817,104175
23,130073.748,114778,148100,82579.323,80202,84595,387.513,321,476,13166.403,12182,14160,3.095,0,10,60498.814,58031,62747,129772.271,121263,137461
24,110049.668,96608,126061,56149.276,53311,59459,530.07,442,633,17937.094,16646,19136,5.064,0,13,64887.921,62615,66856,166824.18,157114,175351
25,91826.41,80150,105652,42779.969,39604,46270,705.492,616,802,23791.905,22041,25382,8.252,1,22,66810.16,64784,68467,202969.741,192782,211832
26,76120.021,66037,88462,34415.182,31178,37663,902.92,794,1011,30973.142,28810,33004,13.545,4,29,67493.006,65790,68940,235877.208,225362,244886
27,62930.434,54397,73348,28235.056,25286,31563,1102.113,966,1220,39833.727,37140,42213,22.245,8,39,67431.918,65938,68692,264467.658,254446,272880
28,52019.193,44815,60901,23259.22,20497,26365,1272.79,1140,1387,50809.239,47446,53760,35.738,17,64,66841.446,65681,68010,288080.111,278778,295899
29,43074.268,36969,50620,19110.59,16653,21889,1389.676,1279,1531,64299.337,60341,67954,55.021,31,85,65849.123,64922,66806,306319.551,297648,313251
30,35791.533,30815,42268,15637.408,13485,18108,1449.89,1336,1584,80536.407,75957,84871,80.778,50,116,64545.274,63773,65325,319012.36,311578,325015
31,29886.297,25749,35288,12744.525,10854,14947,1479.126,1389,1637,99572.807,94168,104622,112.916,75,150,63003.857,62296,63669,326196.07,320052,331215
32,25107.326,21646,29631,10350.505,8838,12213,1492.48,1390,1611,121299.879,115206,127256,150.476,113,194,61277.755,60591,61992,328121.978,323220,332405
33,21239.177,18265,24958,8390.649,7145,10044,1494.483,1380,1621,145406.503,138578,152038,193.312,147,244,59425.038,58646,60218,325264.909,321666,328112
34,18100.93,15585,21335,6803.834,5734,8105,1489.359,1367,1618,171500.881,163886,179016,240.468,188,291,57482.581,56590,58318,318192.448,316093,319890
35,15550.875,13425,18304,5525.204,4529,6716,1478.688,1370,1600,199085.614,190613,207227,290.709,227,352,55494.183,54577,56310,307588.842,306012,309063
36,13470.68,11648,15860,4496.394,3814,5584,1464.846,1339,1612,227650.063,218432,236096,343.081,288,401,53482.505,52493,54298,294154.419,291781,296610
37,11764.142,10175,13786,3672.639,3137,4558,1444.804,1302,1574,256704.467,247391,265237,396.861,333,466,51474.072,50557,52355,278556.844,275000,281902
38,10358.765,8992,12180,3009.758,2531,3750,1426.811,1260,1579,285747.826,275951,294136,450.807,383,521,49484.637,48639,50329,261471.061,257438,265314
39,9195.207,7920,10763,2479.577,2065,3077,1404.197,1210,1602,314366.779,304390,322756,503.985,430,579,47527.192,46672,48396,243471.561,238998,247928
