day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809472.993,809396,809557,479.231,401,550,0.0,0,0,0.0,0,0,0.0,0,0,13.003,2,27,0.0,0,0
1,808584.326,808440,808721,1058.006,928,1198,0.0,0,0,1.076,0,7,0.0,0,0,34.535,18,56,13.265,3,29
2,807311.621,807106,807552,1864.204,1684,2015,0.0,0,0,3.84,0,15,0.0,0,0,65.956,43,91,48.103,27,76
3,805485.6,805208,805811,3006.035,2786,3244,0.0,0,0,9.254,1,22,0.0,0,0,110.491,79,144,114.753,84,148
4,802870.478,802433,803272,4624.389,4300,4897,0.0,0,0,18.08,6,36,0.0,0,0,174.488,140,219,226.371,171,269
5,799139.579,798521,799768,6919.464,6374,7327,0.027,0,2,32.649,17,51,0.0,0,0,265.646,221,330,402.428,339,463
6,793838.188,793116,794708,10158.659,9581,10676,0.183,0,5,55.718,34,83,0.001,0,1,395.259,336,457,668.535,588,765
7,786334.803,785318,787580,14720.679,13909,15372,0.681,0,5,92.384,60,125,0.004,0,1,578.406,502,660,1061.061,947,1186
8,775772.876,774429,777604,21099.099,19851,21994,1.96,0,8,150.191,112,191,0.005,0,1,838.069,749,942,1632.756,1483,1778
9,760981.365,759203,763677,29971.656,28218,31371,4.291,0,12,239.869,188,293,0.008,0,1,1204.079,1076,1345,2454.754,2269,2634
10,740452.576,737927,743960,42173.056,39952,43749,8.133,0,19,375.83,309,438,0.022,0,1,1718.389,1573,1881,3626.79,3388,3890
11,712255.898,708879,716972,58727.033,55994,60695,14.558,4,31,580.198,496,663,0.045,0,1,2433.557,2241,2642,5288.083,4999,5592
12,674111.377,669322,680691,80730.811,76842,83615,24.553,11,47,879.387,778,976,0.098,0,2,3420.955,3184,3687,7626.91,7231,8036
13,623626.888,617426,631695,109097.888,104816,112424,39.813,22,64,1313.628,1136,1432,0.214,0,2,4765.333,4444,5102,10902.675,10408,11358
14,558752.909,550962,568929,144146.046,138994,148534,62.269,41,93,1937.562,1752,2088,0.376,0,4,6567.562,6168,6970,15441.614,14714,16097
15,478774.707,469599,491131,184773.928,178979,189366,94.678,65,124,2823.442,2600,3020,0.641,0,4,8927.706,8508,9409,21666.136,20731,22633
16,385714.808,375207,399533,227428.202,221611,231987,140.164,101,185,4062.873,3816,4301,1.116,0,6,11904.169,11416,12395,30092.887,28689,31227
17,285705.41,275433,299854,265463.963,260454,269121,202.469,145,262,5774.201,5471,6080,1.889,0,8,15485.952,14897,16034,41272.57,39469,42702
18,189152.633,179706,201570,289705.212,287573,291717,286.506,226,345,8099.857,7661,8472,3.312,0,11,19540.24,18810,20196,55708.29,53223,57485
19,108252.732,101054,117938,291713.188,289524,293633,398.193,331,492,11207.839,10615,11692,5.457,0,14,23752.094,23003,24404,73754.846,70828,75872
20,51722.464,47232,57451,268824.283,264892,274087,538.207,473,637,15285.723,14521,15926,9.151,1,19,27659.48,26858,28397,95392.899,92314,97987
21,20065.299,17791,22617,227305.487,221887,234438,708.466,629,792,20533.397,19693,21323,15.404,5,29,30795.526,30162,31540,120092.455,116504,123047
22,6280.836,5180,7340,179220.958,173916,185874,899.827,812,995,27199.182,26141,28154,25.29,11,43,32842.105,32181,33437,146780.475,143066,150051
23,5517.209,4558,6547,131213.166,127322,135934,1096.839,987,1196,35531.145,34100,36785,41.266,22,62,33767.842,33204,34349,174041.541,170506,177499
24,4808.018,4008,5705,96206.078,93342,100072,1276.025,1170,1408,45838.139,44001,47298,65.642,37,97,33658.895,33090,34201,200380.245,197261,203917
25,4171.348,3485,4971,70659.796,68383,73573,1412.694,1315,1535,58440.366,56168,60159,100.396,70,131,32865.186,32257,33354,224354.372,221600,227742
26,3614.643,3033,4298,51977.75,50242,54159,1498.891,1385,1609,73620.795,71049,75826,147.136,107,184,31625.905,31083,32200,244941.201,242516,248250
27,3135.13,2634,3726,38311.972,36927,40238,1543.399,1428,1668,91540.25,88707,93904,207.211,157,253,30112.155,29546,30717,261506.378,259141,264337
28,2728.369,2299,3242,28286.851,27040,29842,1563.182,1464,1697,112241.087,108746,115227,279.979,233,340,28449.625,27839,29083,273657.836,271538,275625
29,2381.27,1998,2816,20938.988,19851,22059,1570.782,1452,1692,135610.674,131514,139129,364.466,309,423,26721.817,26046,27335,281350.187,279672,282927
30,2088.433,1719,2448,15528.228,14845,16419,1570.475,1458,1685,161380.852,157410,164922,459.829,391,531,24982.722,24383,25540,284777.411,283237,286608
