day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
3,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
4,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
5,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
6,113090.624,113061,113093,2.376,0,32,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7,113074.355,112972,113093,17.969,0,119,0.0,0,0,0.0,0,0,0.0,0,0,0.049,0,2,0.0,0,0
8,113017.382,112842,113093,69.98,0,210,0.0,0,0,0.001,0,1,0.0,0,0,0.411,0,5,0.056,0,3
9,112868.797,112632,113046,199.487,44,396,0.0,0,0,0.03,0,2,0.0,0,0,1.852,0,10,0.443,0,6
10,112552.863,112158,112873,461.345,178,799,0.0,0,0,0.164,0,2,0.0,0,0,5.672,0,16,2.236,0,10
11,111955.174,111400,112611,933.387,380,1383,0.0,0,0,0.645,0,5,0.0,0,0,14.469,1,33,7.813,0,25
12,110903.966,110068,111920,1731.114,947,2408,0.0,0,0,1.839,0,8,0.0,0,0,31.835,12,57,22.224,1,47
13,109187.546,107964,110638,2975.492,1954,3853,0.001,0,1,4.41,0,15,0.0,0,0,64.009,30,108,54.017,19,98
14,106516.423,105000,108423,4835.162,3663,5922,0.005,0,1,9.634,1,22,0.0,0,0,118.778,77,176,118.227,56,186
15,102547.638,100762,104726,7486.916,6256,8585,0.036,0,2,19.331,7,38,0.0,0,0,205.89,131,278,236.491,134,344
16,96887.798,94647,99351,11109.322,9446,12462,0.122,0,2,36.955,15,62,0.0,0,0,339.14,255,428,441.502,244,570
17,89148.252,86333,92371,15827.586,13929,17581,0.403,0,4,66.59,36,102,0.001,0,1,533.973,407,652,778.752,480,988
18,79064.717,76130,82961,21608.461,19483,23310,0.981,0,5,115.534,77,166,0.01,0,1,806.453,663,936,1307.26,915,1589
19,66632.005,63587,70599,28160.172,26420,29736,2.125,0,8,192.154,141,257,0.026,0,2,1172.833,1013,1318,2106.022,1582,2458
20,52335.438,49493,55771,34791.864,32860,36413,4.184,0,11,311.418,243,413,0.072,0,3,1640.042,1449,1799,3259.605,2631,3733
21,37363.347,34832,40571,40294.97,38763,41818,7.552,0,19,488.47,402,597,0.163,0,3,2202.486,1994,2384,4862.504,4219,5492
22,23455.94,21112,25796,43237.263,41904,44516,12.306,3,24,745.212,621,914,0.394,0,5,2829.065,2621,3096,6996.557,6279,7675
23,12459.2,10888,14182,42470.881,41111,44036,18.527,6,33,1105.939,940,1299,0.794,0,7,3463.397,3244,3705,9703.251,8886,10547
24,5376.004,4545,6423,37999.054,36650,39709,25.77,11,45,1600.79,1353,1832,1.66,0,8,4033.213,3795,4269,12969.046,11966,13890
25,1825.79,1429,2292,31208.12,29889,32779,33.293,15,55,2263.446,2010,2512,3.143,0,11,4466.737,4229,4718,16685.646,15702,17659
26,489.965,309,710,24050.753,22746,25258,40.12,23,62,3130.265,2814,3485,5.592,0,17,4728.482,4533,4942,20672.843,19784,21646
27,109.92,18,197,17884.447,16910,18883,46.246,25,70,4243.022,3846,4659,9.163,1,22,4828.041,4599,5082,24700.745,23884,25723
28,21.769,0,65,13110.23,12319,13930,52.065,32,78,5645.793,5179,6219,14.297,3,29,4795.49,4584,5075,28554.742,27854,29451
29,4.303,0,26,9557.609,9001,10218,58.268,37,96,7387.827,6833,8052,21.191,7,38,4669.443,4437,4917,32034.015,31340,32828
30,1.056,0,10,6958.463,6529,7513,65.068,39,91,9508.944,8832,10202,30.023,14,51,4484.367,4275,4735,34994.419,34225,35643
31,0.318,0,4,5064.418,4745,5504,72.153,46,105,12037.324,11339,12776,41.154,21,63,4260.739,4031,4470,37345.458,36671,38124
32,0.109,0,3,3687.415,3397,3954,79.878,54,112,14974.921,14203,15736,54.529,35,81,4018.73,3789,4228,39048.995,38391,39812
33,0.049,0,2,2683.265,2444,2935,87.967,60,124,18297.442,17482,19217,70.289,45,104,3768.136,3564,3966,40104.677,39548,40734
34,0.018,0,1,1953.052,1766,2140,96.148,67,127,21968.776,21151,22896,87.727,62,132,3517.554,3315,3707,40538.106,39827,41188
35,0.009,0,1,1422.354,1259,1564,104.421,74,139,25923.81,25073,26909,106.732,76,150,3271.579,3057,3447,40418.078,39779,41150
36,0.004,0,1,1034.861,907,1146,113.132,83,155,30094.996,29252,31042,126.886,89,173,3036.153,2843,3232,39810.681,39106,40455
37,0.001,0,1,754.117,643,855,121.344,88,166,34408.502,33397,35370,147.946,104,196,2812.402,2623,2994,38803.877,38157,39457
38,0.0,0,0,549.576,448,640,130.138,88,169,38796.084,37852,39811,169.439,119,227,2600.439,2416,2772,37479.056,36627,38145
39,0.0,0,0,399.274,315,472,137.37,98,179,43189.199,42174,44252,191.269,135,244,2402.003,2220,2582,35922.805,35204,36598
40,0.0,0,0,290.369,218,361,145.603,104,194,47530.062,46515,48564,212.873,156,267,2215.732,2055,2382,34201.051,33567,34934
41,0.0,0,0,211.666,155,267,152.178,115,198,51767.656,50822,52812,234.164,175,290,2043.003,1876,2197,32380.844,31664,33142
42,0.0,0,0,154.048,108,210,159.316,109,206,55872.866,54979,56878,254.768,200,313,1881.321,1723,2033,30507.818,29762,31125
43,0.0,0,0,112.298,71,154,164.555,123,214,59807.287,58895,60749,274.684,224,335,1733.015,1589,1875,28627.269,27919,29268
44,0.0,0,0,81.584,47,119,170.874,123,213,63558.518,62642,64552,293.323,245,351,1594.727,1459,1745,26771.5,26174,27395
45,0.0,0,0,59.304,32,87,175.503,133,216,67109.854,66293,68032,311.042,262,378,1468.092,1342,1605,24964.708,24401,25535
46,0.0,0,0,43.003,21,69,180.498,138,230,70457.194,69716,71337,327.836,275,398,1350.382,1235,1479,23225.003,22729,23846
47,0.0,0,0,31.14,12,56,183.871,144,223,73598.358,72876,74517,343.811,290,416,1242.544,1130,1358,21565.487,21049,22129
48,0.0,0,0,22.528,8,40,187.243,148,229,76535.477,75795,77349,358.802,303,431,1142.787,1032,1254,19991.826,19428,20535
