day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,637816.85,637750,637877,366.65,304,435,0.0,0,0,0.0,0,0,0.0,0,0,65.425,41,94,0.0,0,0
1,637223.995,637103,637339,778.44,684,886,0.0,0,0,5.173,0,16,0.0,0,0,176.03,133,224,2.819,0,10
2,636419.047,636246,636581,1310.793,1176,1437,0.0,0,0,19.357,7,34,0.0,0,0,336.188,285,414,10.751,1,23
3,635313.758,635116,635565,2028.005,1865,2177,0.0,0,0,46.223,25,70,0.0,0,0,557.367,466,631,25.692,12,43
4,633795.93,633464,634127,3001.148,2768,3203,0.0,0,0,90.982,59,123,0.0,0,0,861.264,767,986,50.415,29,77
5,631721.597,631308,632158,4318.836,4066,4606,0.044,0,2,161.044,120,212,0.0,0,0,1276.128,1149,1393,88.32,57,127
6,628904.582,628347,629418,6091.721,5727,6462,0.348,0,3,265.568,209,318,0.001,0,1,1842.079,1694,1998,142.65,99,204
7,625090.66,624401,625736,8475.222,8066,8872,1.232,0,7,420.345,360,497,0.002,0,1,2609.287,2428,2815,216.934,167,272
8,619952.314,618959,620819,11664.683,11133,12320,2.792,0,10,641.6,565,735,0.006,0,1,3647.407,3408,3946,318.534,257,377
9,613055.635,611877,614224,15917.055,15237,16724,5.288,0,13,954.32,863,1058,0.01,0,1,5048.858,4772,5392,455.864,377,527
10,603851.142,601965,605389,21551.16,20593,22745,9.009,0,22,1391.409,1227,1526,0.019,0,1,6928.665,6506,7333,642.168,545,736
11,591647.035,589418,593553,28952.744,27877,30374,14.4,4,31,1996.082,1818,2197,0.037,0,2,9447.052,8965,10051,895.087,784,1019
12,575581.045,572739,577955,38606.263,37145,40462,21.853,5,41,2824.408,2620,3019,0.058,0,3,12791.632,12226,13525,1236.75,1109,1374
13,554662.065,550998,557708,51007.123,49276,53230,32.516,16,57,3950.615,3696,4209,0.088,0,3,17214.686,16528,18040,1694.142,1537,1865
14,527768.219,523066,531649,66684.196,64320,69528,46.566,24,69,5470.551,5153,5774,0.168,0,3,23013.469,22051,24065,2302.935,2121,2499
15,493778.098,487853,498403,86040.211,83284,89557,65.555,39,93,7513.871,7069,7909,0.272,0,3,30529.044,29203,31902,3111.101,2879,3349
16,451779.634,444448,457451,109190.521,105920,113450,90.742,57,124,10235.54,9685,10814,0.409,0,3,40138.283,38539,41765,4171.267,3924,4443
17,401410.981,392575,408128,135652.263,132117,140502,123.287,79,164,13823.026,13069,14568,0.658,0,5,52215.961,50210,54260,5550.868,5221,5885
18,343275.65,333410,350957,164122.791,160246,168921,165.787,117,207,18515.163,17600,19536,1.034,0,7,67010.888,64838,69568,7322.866,6962,7733
19,279474.579,269076,287676,192060.322,188750,196418,218.915,167,271,24571.599,23396,25785,1.629,0,7,84592.211,82031,87363,9562.278,9097,10099
20,213784.152,203475,222108,215803.219,212983,219274,282.698,233,336,32277.379,30816,33774,2.486,0,8,104644.246,101857,107810,12338.573,11784,13021
21,151414.797,142104,158916,231055.595,229052,232924,358.415,304,439,41898.112,40182,43669,3.778,0,12,126404.719,123408,129699,15687.483,15052,16365
22,97768.337,90615,104260,234276.255,232717,235829,442.876,386,522,53657.117,51841,55791,5.72,0,14,148536.39,145630,151865,19599.237,18885,20320
23,79732.126,73722,85363,201190.024,199073,203026,532.813,456,620,67707.201,65691,70021,8.682,1,18,169342.387,166801,172538,23977.633,23222,24756
