day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,637826.988,637747,637884,413.368,351,487,0.0,0,0,0.0,0,0,0.0,0,0,15.731,3,28,0.0,0,0
1,637276.76,637165,637373,876.059,784,982,0.0,0,0,0.888,0,5,0.0,0,0,44.765,23,69,29.913,15,49
2,636613.803,636474,636757,1406.046,1282,1515,0.0,0,0,3.415,0,10,0.0,0,0,87.632,54,118,87.528,57,123
3,635806.309,635627,635961,2027.656,1864,2169,0.0,0,0,8.401,1,25,0.0,0,0,146.582,113,187,175.104,138,226
4,634821.932,634594,635012,2763.902,2577,2945,0.0,0,0,16.654,4,35,0.0,0,0,223.485,176,289,297.052,234,366
5,633620.835,633334,633859,3643.217,3439,3861,3.345,0,12,55.616,32,87,0.0,0,0,321.298,272,389,430.513,360,504
6,632150.933,631817,632461,4703.658,4460,4958,9.295,1,20,125.569,97,163,0.014,0,1,443.778,385,519,583.733,508,684
7,630354.054,629974,630779,5985.713,5650,6278,17.463,6,32,230.138,184,283,0.044,0,1,595.328,492,711,765.125,668,849
8,628165.844,627709,628704,7531.947,7170,7868,27.652,12,45,375.38,310,453,0.111,0,2,782.136,681,904,981.306,872,1083
9,625503.709,624945,626067,9397.097,9039,9814,39.946,21,61,569.931,482,660,0.219,0,3,1012.648,918,1157,1239.955,1111,1363
10,622271.259,621614,623024,11646.168,11183,12172,54.92,32,77,823.177,703,955,0.388,0,4,1293.071,1169,1433,1551.274,1408,1677
11,618351.271,617528,619273,14357.303,13699,14993,73.138,41,98,1146.69,1023,1273,0.611,0,4,1635.476,1497,1806,1927.997,1767,2089
12,613614.075,612608,614644,17616.912,16957,18353,94.372,63,129,1556.003,1402,1684,0.909,0,6,2050.933,1872,2263,2383.376,2215,2554
13,607906.249,606615,609183,21519.994,20701,22430,119.531,78,161,2068.584,1877,2230,1.306,0,6,2554.892,2370,2787,2931.172,2735,3147
14,601046.14,599434,602499,26186.112,25291,27278,149.061,110,194,2705.193,2486,2925,1.848,0,7,3164.734,2945,3410,3592.949,3381,3889
15,592833.853,590992,594511,31742.779,30719,33108,182.792,129,234,3496.273,3250,3739,2.506,0,9,3896.98,3659,4151,4387.169,4116,4724
16,583038.74,580782,585043,38322.271,37112,39839,221.82,178,278,4470.234,4145,4752,3.353,0,9,4781.932,4502,5080,5337.303,5089,5745
17,571412.03,568730,573873,46081.795,44432,48029,266.099,215,320,5664.104,5292,6013,4.526,0,12,5841.403,5543,6193,6478.23,6126,6921
18,557685.509,554446,560540,55169.208,53281,57204,315.998,256,379,7128.589,6713,7476,6.04,0,14,7103.176,6731,7559,7831.771,7363,8310
19,541584.366,537660,544888,65720.467,63589,68253,370.359,305,443,8913.008,8459,9360,7.871,1,17,8608.855,8124,9107,9437.517,8965,9914
20,522840.695,518478,526950,77861.181,75135,80606,428.973,368,505,11081.411,10585,11651,10.334,1,21,10392.013,9884,10915,11337.426,10891,11943
21,501201.694,496177,506029,91690.112,88579,94723,492.476,431,584,13712.413,13122,14397,13.516,2,26,12488.198,11919,13085,13561.046,13076,14294
22,476505.522,470833,481919,107195.04,103916,110505,558.852,480,649,16886.619,16255,17716,17.463,6,33,14940.946,14324,15653,16149.778,15546,16934
23,468360.894,462452,473982,104636.068,101350,107799,625.998,550,724,20705.557,19962,21679,22.294,9,41,17777.39,17097,18566,19135.849,18292,19930
24,458908.029,452998,464588,103642.357,100658,106615,696.271,616,790,25278.59,24332,26374,28.356,13,49,20361.818,19579,21182,22514.242,21706,23403
25,448747.401,442775,454433,103453.201,100784,106388,765.954,677,859,30687.452,29608,32037,35.79,20,58,22766.556,21893,23686,25036.612,23993,25955
26,437954.159,431786,443749,103913.959,101494,106733,837.06,750,920,37024.063,35622,38587,44.891,25,68,25026.032,24065,26031,26703.101,25640,27577
27,426620.906,420236,432579,104867.731,102604,107537,907.589,799,1020,44390.009,42600,46267,55.622,31,84,27177.63,26221,28335,27454.056,26511,28480
28,414827.78,408238,421000,106186.351,103857,108734,973.643,857,1077,52869.976,50949,55004,68.3,46,96,29239.575,28244,30416,27244.563,26338,28236
29,402645.866,396003,408923,107764.354,105350,110238,992.816,899,1106,61348.043,59102,63661,81.558,57,114,31228.217,30140,32360,27264.038,26400,28289
30,390131.321,383126,396434,109516.91,107227,111913,1003.609,897,1102,69881.561,67372,72538,95.061,72,132,33161.234,32111,34287,27432.112,26642,28443
31,377333.985,370346,383695,111381.424,109178,113624,1011.472,928,1106,78517.69,75718,81527,108.593,80,150,35044.557,34004,36229,27713.569,26998,28583
32,364310.769,357137,370774,113283.611,111218,115587,1016.711,926,1127,87292.703,84486,90754,122.304,92,168,36884.579,35760,38182,28075.822,27328,28930
33,351106.864,343752,357555,115171.246,113187,117588,1022.304,927,1128,96236.97,93259,99960,135.87,105,179,38685.589,37468,39925,28499.511,27739,29307
34,337774.626,330644,344228,117000.519,114919,119168,1026.281,929,1118,105368.044,102077,109161,149.558,113,194,40449.875,39309,41614,28966.049,28248,29620
35,324379.776,317183,330889,118712.57,116736,120917,1029.642,921,1131,114702.167,111299,118772,163.596,124,210,42175.533,40939,43392,29452.905,28628,30242
36,310968.181,303629,317457,120273.567,118470,122602,1030.147,933,1151,124246.945,120636,128567,177.951,136,225,43861.798,42612,45145,29948.006,29204,30578
37,297602.957,290187,304108,121625.942,119637,123650,1030.696,936,1130,134013.543,130167,138481,192.481,150,242,45507.722,44299,46795,30427.91,29708,31170
38,284321.056,276796,290725,122760.798,120978,124662,1031.221,935,1132,144001.572,140104,148581,207.306,161,261,47102.49,45947,48376,30885.013,30225,31669
39,271193.135,263801,277627,123638.433,121978,125097,1030.32,941,1133,154202.245,150142,158934,222.39,181,270,48646.589,47422,49833,31310.509,30558,32048
40,258251.244,250914,264517,124234.696,122634,125362,1029.732,943,1123,164607.878,160391,169365,237.691,193,282,50140.495,49066,51319,31683.077,31041,32441
41,245550.154,238449,251632,124535.321,122957,125878,1027.342,937,1140,175210.017,170928,180269,253.374,202,295,51566.155,50434,52694,32004.859,31410,32777
42,233132.099,226143,239289,124520.379,122941,125812,1024.18,935,1125,185999.832,181654,191248,269.088,214,318,52922.161,51762,54072,32258.888,31680,32835
43,221035.325,214373,227141,124181.698,122714,125294,1019.989,919,1112,196956.943,192305,202433,284.998,229,339,54201.28,53148,55466,32441.717,31911,33087
44,209281.754,202707,215119,123531.511,122361,124635,1016.022,921,1124,208052.871,203387,213557,301.123,243,364,55398.528,54216,56549,32563.388,31990,33196
45,197921.929,191460,203774,122552.258,121582,123634,1011.64,916,1115,219275.845,214578,225013,317.486,259,378,56507.618,55312,57675,32603.004,31963,33169
46,186975.796,180658,192587,121259.46,120240,122191,1005.283,871,1106,230600.079,225834,236568,334.044,274,392,57513.479,56385,58726,32560.446,31961,33071
47,176461.731,170380,181735,119669.684,118739,120585,999.17,888,1105,242006.189,237176,248070,350.582,284,407,58415.98,57382,59656,32438.486,31899,33040
48,166389.364,160668,171323,117797.067,116723,118845,991.618,886,1092,253463.757,248386,259429,367.279,292,421,59218.652,58223,60298,32218.614,31564,32846
49,156776.168,151199,161382,115656.047,114514,116854,983.551,875,1088,264943.722,259809,270819,383.77,305,442,59909.549,58882,61000,31917.46,31406,32524
50,147627.582,142224,152142,113256.026,112059,114410,976.327,876,1093,276418.869,271204,282535,399.906,326,458,60490.474,59545,61544,31536.973,31032,32207
51,138948.909,133764,143422,110622.892,109182,111989,967.45,870,1071,287872.355,282590,294179,416.391,341,472,60956.569,60075,61904,31079.403,30465,31625
52,130738.034,125881,135063,107790.197,106369,109286,957.9,850,1063,299256.355,294037,305618,432.554,349,492,61301.351,60394,62242,30557.256,29988,31146
53,122980.565,118300,127046,104787.145,103333,106244,949.503,847,1054,310557.882,305522,316885,448.486,362,507,61530.728,60647,62533,29969.96,29340,30506
54,115677.081,111219,119558,101620.715,99903,103062,938.208,841,1033,321749.817,316730,327902,464.125,374,530,61648.85,60781,62522,29315.958,28789,29868
55,108810.684,104553,112669,98340.019,96510,99954,926.566,804,1050,332813.356,327766,338897,479.403,382,544,61649.131,60818,62522,28607.361,27989,29157
56,102368.713,98399,105926,94958.543,92886,96602,914.779,793,1017,343720.861,338719,349624,494.348,394,556,61535.271,60762,62453,27844.81,27258,28452
57,96333.978,92610,99804,91512.998,89489,93353,904.226,806,978,354448.333,349448,360241,508.996,413,580,61313.857,60568,62122,27041.132,26394,27596
58,90686.484,87189,93961,88020.696,86041,89966,890.807,808,987,364973.69,360033,370630,523.387,425,598,60989.268,60254,61808,26201.881,25475,26803
59,85414.995,82013,88560,84502.383,82342,86333,877.83,783,988,375292.41,370419,380876,537.146,434,615,60560.732,59636,61317,25330.422,24661,25898
60,80503.545,77388,83345,80972.627,78907,82712,865.329,768,961,385373.5,380721,390909,550.649,453,628,60038.376,59187,60843,24441.024,23712,25149
61,75924.87,72972,78669,77461.311,75438,79240,851.405,761,951,395218.887,390614,400576,563.759,475,638,59422.917,58674,60162,23533.299,22950,24322
62,71664.142,68875,74304,73985.577,71994,75841,837.382,726,940,404804.048,400263,410188,576.587,485,647,58719.753,57920,59591,22620.371,21968,23513
63,67702.982,65039,70204,70558.825,68406,72470,823.63,715,921,414126.232,409675,419436,588.766,498,662,57940.313,57111,58925,21698.724,20999,22456
64,64019.996,61543,66542,67194.125,65023,68947,809.217,712,908,423176.15,418918,428343,600.62,514,672,57084.454,56398,57875,20775.17,20054,21411
65,60600.463,58152,63019,63903.971,61912,65478,794.707,688,891,431947.324,427821,436951,611.948,530,682,56163.297,55334,56991,19860.488,19139,20550
66,57421.915,55065,59661,60702.784,58616,62379,780.481,682,870,440437.588,436404,445303,622.894,545,690,55178.577,54332,55971,18954.738,18317,19563
