age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,172392.39031155777,170469.34170854272,174182.1959798995,59497.72229648241,58252.08542713568,60799.452261306535,925.7587035175881,852.7788944723618,1003.2914572864322,913108.7987537689,911193.311557789,915149.9798994975,165.2688542713568,131.0251256281407,201.2211055276382,91067.10448743717,89597.70351758794,92440.00502512563,7175.80540201005,6913.407035175879,7431.201005025126,average
1,99.0,82668.53911055277,81476.55778894473,83816.33668341709,29960.9115477387,29174.010050251258,30741.0351758794,202.41286934673366,166.22613065326632,242.31658291457288,466412.958477387,465208.3567839196,467787.4773869347,88.50829648241206,63.69346733668342,120.62814070351759,51078.58426130654,50090.56281407035,52052.718592964826,1908.9514623115579,1786.8793969849246,2038.7688442211056,average
2,99.0,90923.57899497487,89602.15577889448,92185.52261306533,31201.567668341708,30401.658291457286,31993.05025125628,216.0576834170854,177.88442211055278,256.60804020100505,481627.21878894477,480344.86432160804,483139.93969849247,91.06993467336684,67.36683417085428,120.08542713567839,53189.91089949748,52157.3216080402,54159.16582914573,1988.3727537688444,1862.8693467336684,2117.8040201005024,average
3,99.0,107579.74626633165,105977.36180904522,108988.11055276381,38017.72607537688,37055.68341708543,38993.05527638191,228.71051758793968,189.98994974874373,271.62311557788945,589284.9355678392,587824.703517588,590831.175879397,223.79695477386934,186.90452261306532,283.90954773869345,64806.60163819095,63648.83417085427,66048.92462311558,2422.2475075376883,2281.643216080402,2565.9899497487436,average
4,99.0,104170.78116582916,102599.97989949748,105582.76884422111,33229.74836683417,32361.94974874372,34074.0703517588,245.4977035175879,204.33668341708542,290.06532663316585,507021.5510150754,505632.7738693467,508622.87939698494,626.5577135678393,561.0,688.4020100502513,56643.659231155776,55577.98492462312,57697.391959798995,2117.078266331658,1983.145728643216,2254.356783919598,average
5,99.0,107216.24810050252,105871.17587939698,108523.30150753769,27892.661994974875,27199.934673366835,28595.291457286432,327.68785929648243,278.8894472361809,379.39195979899495,409355.4282914573,407989.2261306533,410726.6180904523,1398.9723266331657,1296.3517587939698,1541.4874371859296,47541.99939195979,46640.30150753769,48411.01507537688,1776.9091859296484,1653.6130653266332,1904.859296482412,average
6,99.0,136006.23610552764,134244.99497487437,137517.64824120604,28669.85622110553,27982.110552763817,29378.693467336685,524.8709195979899,462.16582914572865,591.8542713567839,406642.42235678405,405166.7487437186,408335.5527638191,4420.574266331658,4249.768844221106,4611.276381909548,48855.68301507539,47939.824120603014,49734.48743718593,1826.2160502512563,1693.4874371859296,1960.9597989949748,average
7,99.0,86061.48780904523,85558.73366834171,86518.11557788945,2014.3630402010047,1883.6984924623116,2149.0804020100504,18.700788944723616,8.040201005025125,31.99497487437186,21075.65330150754,20700.984924623117,21521.1608040201,9.920206030150755,3.5175879396984926,18.768844221105528,3390.8168693467337,3213.713567839196,3566.2060301507536,126.64517085427133,92.00502512562814,164.33668341708542,average
,,110877.3759830402,109475.03768844221,112164.25,31310.569651381913,30538.89133165829,32090.46608040201,336.2121306532663,292.5389447236181,383.393216080402,474316.1208190955,473007.62123115576,475764.3479899498,878.0835690954773,819.9535175879397,948.2223618090452,52071.79497424622,51108.28077889447,53013.73932160804,2417.7782248743715,2283.381281407035,2554.7845477386936,aoa
,,29986.982961326197,29658.002516836426,30275.304967351018,15684.120308126863,15373.914911948534,16007.468334464906,276.75890827239283,259.440179451363,294.8138208029375,245289.6079271664,244884.75270939208,245709.24837351587,1503.1658820132338,1451.0046937737166,1561.6549842844192,24221.148114007265,23858.83232234664,24569.190230121832,2041.7956520663224,1981.9665539575167,2098.173209229333,std
