day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809676.57,809612,809763,405.923,337,469,0.0,0,0,0.0,0,0,0.0,0,0,43.602,23,64,0.0,0,0
1,809153.157,809054,809254,837.914,750,933,0.0,0,0,2.432,0,9,0.0,0,0,123.331,79,165,0.259,0,5
2,808498.784,808369,808633,1353.843,1221,1469,0.0,0,0,9.296,1,21,0.0,0,0,240.753,186,295,1.07,0,6
3,807655.471,807429,807825,2003.893,1846,2168,0.0,0,0,22.928,10,43,0.0,0,0,400.25,323,462,2.553,0,8
4,806553.828,806254,806780,2844.046,2666,3063,0.0,0,0,45.356,24,69,0.0,0,0,612.532,508,697,5.072,0,14
5,805112.583,804754,805445,3933.476,3667,4186,0.002,0,1,79.877,52,119,0.0,0,0,893.84,758,1001,8.884,0,20
6,803224.839,802782,803712,5352.099,4962,5651,0.011,0,2,130.202,92,173,0.0,0,0,1264.444,1114,1403,14.303,4,27
7,800758.609,800213,801270,7198.477,6820,7625,0.047,0,2,201.864,152,254,0.0,0,0,1749.445,1594,1924,22.053,9,39
8,797545.12,796892,798288,9594.217,9007,10162,0.138,0,3,300.781,232,360,0.0,0,0,2385.125,2215,2609,32.06,18,52
9,793368.039,792478,794302,12699.736,12012,13457,0.325,0,4,436.906,365,511,0.0,0,0,3212.481,2978,3499,45.058,27,70
10,787951.369,786772,788991,16713.826,15921,17782,0.589,0,5,620.205,541,707,0.003,0,1,4290.59,3976,4616,62.315,40,86
11,780938.86,779395,782351,21893.291,20760,23029,0.997,0,6,865.765,760,975,0.005,0,1,5693.914,5321,6085,84.918,58,120
12,771895.813,769908,773666,28550.265,27208,30188,1.604,0,6,1192.444,1069,1327,0.008,0,1,7513.441,7036,8035,114.046,84,163
13,760282.415,757859,762482,37071.334,35423,38918,2.453,0,9,1623.996,1491,1798,0.011,0,1,9864.989,9289,10495,151.886,113,197
14,745439.861,742164,748363,47909.585,45909,50380,3.561,0,11,2189.976,2018,2378,0.019,0,1,12903.496,12196,13537,201.271,159,257
15,726592.964,722597,730037,61592.125,59137,64478,5.046,0,14,2930.891,2723,3154,0.028,0,1,16813.791,16024,17675,265.88,216,335
16,702843.79,697743,707155,78715.201,75694,82341,7.077,1,18,3898.876,3623,4165,0.043,0,2,21815.242,20666,22932,347.906,284,411
17,673215.689,667092,678415,99893.484,96305,104286,9.677,1,21,5155.407,4812,5447,0.064,0,2,28170.833,26833,29591,454.254,381,529
18,636743.93,629293,643016,125650.094,121235,130797,13.025,3,27,6779.945,6369,7139,0.091,0,3,36199.044,34528,38158,591.729,508,682
19,592566.366,583336,600070,156375.58,151125,162739,17.568,5,33,8870.365,8323,9348,0.131,0,3,46229.826,44162,48567,765.777,672,873
20,540188.596,529749,548820,192009.647,186313,198958,23.207,7,42,11537.648,10982,12135,0.203,0,3,58651.997,56330,61386,988.311,882,1122
21,479698.379,467793,489512,231958.549,225614,239582,30.49,15,48,14926.001,14192,15621,0.292,0,4,73783.05,70889,77062,1265.719,1122,1399
22,412191.48,399634,423201,274659.834,267736,282164,39.95,17,65,19191.833,18271,20125,0.41,0,4,91887.224,88546,95556,1613.672,1440,1773
23,397241.457,384625,408184,260272.143,254258,267190,51.942,30,73,24506.916,23513,25762,0.561,0,4,113039.709,109183,117126,2038.605,1807,2235
24,379463.323,366715,390650,250239.319,244645,256571,66.939,43,96,31052.8,29945,32484,0.779,0,5,131632.091,127483,136099,2555.369,2362,2804
25,359555.25,346873,370666,243424.854,238087,249148,86.458,60,119,38700.363,37276,40503,1.062,0,5,148201.405,143951,153065,3132.635,2913,3385
