day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,710447.044,710408,710498,193.076,147,238,0.0,0,0,0.0,0,0,0.0,0,0,8.755,0,21,0.0,0,0
1,710203.161,710130,710276,382.524,325,452,0.0,0,0,0.385,0,4,0.0,0,0,24.888,9,40,1.114,0,6
2,709921.129,709825,710007,585.256,501,658,0.0,0,0,1.419,0,7,0.0,0,0,47.919,25,71,4.091,0,10
3,709584.645,709466,709682,816.519,731,903,0.0,0,0,3.493,0,10,0.0,0,0,77.969,53,117,9.952,2,25
4,709176.046,709042,709301,1089.9,994,1196,0.0,0,0,6.907,0,17,0.0,0,0,115.27,82,162,19.508,7,34
5,708676.598,708530,708845,1418.118,1306,1539,0.034,0,2,12.149,3,25,0.0,0,0,162.423,119,214,33.315,17,53
6,708063.595,707889,708292,1816.735,1686,1969,0.232,0,4,20.394,7,38,0.002,0,1,220.757,165,286,51.53,28,75
7,707310.734,707075,707539,2302.808,2131,2510,0.793,0,6,33.824,16,54,0.003,0,1,292.409,243,350,73.767,49,103
8,706386.426,706110,706656,2897.291,2697,3114,1.765,0,7,53.52,32,77,0.008,0,1,379.932,320,460,101.213,68,140
9,705250.089,704881,705584,3624.748,3410,3886,3.313,0,13,81.278,47,112,0.011,0,1,487.641,417,581,134.556,97,185
10,703855.271,703375,704302,4516.664,4218,4854,5.513,0,17,118.495,85,163,0.03,0,1,619.952,541,725,174.936,127,228
11,702143.478,701534,702655,5607.821,5270,6029,8.531,1,20,167.568,126,212,0.054,0,2,782.262,694,889,224.031,169,276
12,700043.621,699328,700698,6945.842,6506,7438,12.314,3,26,230.888,181,285,0.089,0,3,980.279,881,1098,284.452,214,358
13,697472.856,696643,698303,8580.165,8029,9150,17.446,6,33,312.924,252,383,0.145,0,3,1222.001,1104,1371,356.924,293,429
14,694324.528,693329,695222,10577.851,10009,11263,23.701,9,39,416.45,336,491,0.232,0,3,1519.517,1389,1704,445.978,373,529
15,690476.49,689352,691601,13014.523,12249,13713,31.751,15,52,545.902,465,658,0.357,0,3,1883.504,1746,2088,555.498,483,646
16,685775.347,684557,687105,15984.718,15116,16810,41.507,22,66,708.224,621,806,0.508,0,5,2329.152,2153,2513,689.586,598,785
17,680049.329,678599,681638,19592.47,18546,20608,53.802,30,77,910.394,805,1039,0.743,0,5,2874.68,2673,3066,854.225,761,963
18,673080.407,671204,674927,23970.587,22818,25277,68.617,40,97,1161.188,1034,1280,1.05,0,5,3539.769,3282,3770,1055.426,898,1197
19,664632.84,662319,666714,29256.514,27976,30914,87.182,59,119,1472.597,1352,1610,1.468,0,7,4347.362,4086,4645,1301.1,1181,1455
20,654419.965,651659,656958,35616.549,34001,37546,109.793,76,143,1859.65,1710,2025,2.015,0,7,5332.483,5021,5678,1597.131,1445,1761
21,642121.765,638837,645130,43232.811,41308,45479,137.136,98,176,2335.874,2154,2579,2.739,0,9,6529.047,6198,6925,1958.79,1767,2195
22,627382.238,623602,631141,52292.419,49959,54927,169.619,120,216,2919.77,2651,3230,3.724,0,11,7975.451,7549,8432,2400.229,2209,2590
23,616590.855,612311,620841,56239.628,53692,58927,208.629,159,259,3640.242,3362,3908,5.113,0,13,9713.149,9181,10307,2932.261,2698,3294
24,603683.77,598835,608455,61787.801,59195,64763,254.953,206,306,4520.882,4227,4889,6.895,1,15,11533.448,10864,12218,3577.882,3306,3853
25,588735.989,583393,594282,68655.998,65621,71795,309.606,254,370,5587.311,5190,6046,9.357,1,20,13490.283,12731,14297,4321.288,3968,4609
26,571800.189,566018,577880,76609.307,73292,79756,373.43,315,440,6871.929,6446,7389,12.751,3,27,15640.581,14857,16552,5153.154,4816,5588
27,552892.426,546649,559494,85499.756,82131,88759,446.359,386,529,8403.577,7942,8981,17.308,6,31,18010.467,17134,19053,6072.267,5582,6508
28,532021.14,525135,539356,95186.788,91704,98667,529.346,457,604,10232.37,9702,10885,23.468,11,40,20636.448,19695,21767,7060.13,6644,7487
29,509225.182,501558,517430,105529.91,101793,109300,617.711,543,703,12371.816,11777,13062,31.798,16,52,23533.339,22470,24814,8149.196,7676,8661
30,484570.424,476204,493686,116379.236,112078,120545,710.483,633,807,14871.936,14141,15716,42.646,23,64,26720.064,25638,28045,9334.746,8764,9887
31,458140.195,448911,468024,127582.897,123118,132003,804.067,720,900,17748.719,16899,18792,56.864,35,79,30197.094,29039,31584,10648.127,10000,11265
32,430096.97,420535,440974,138939.344,133892,143505,896.938,813,1013,21053.348,20107,22247,74.889,50,109,33968.443,32654,35450,12081.47,11418,12773
33,400674.232,390826,412043,150185.233,145422,154320,985.649,869,1109,24822.419,23761,26005,96.95,69,130,38030.792,36469,39608,13655.524,12975,14431
34,370178.499,359831,381987,161036.622,156614,165206,1067.168,958,1183,29096.181,27907,30331,124.056,89,156,42365.314,40533,44167,15366.701,14580,16126
35,338940.053,328258,351059,171211.166,167053,175315,1141.467,1039,1249,33935.617,32348,35381,156.839,114,197,46944.406,44905,48830,17199.107,16425,18149
36,307358.579,296660,319513,180394.517,176716,183934,1205.291,1083,1319,39371.638,37673,41009,195.865,155,247,51727.363,49507,53692,19164.889,18290,20042
37,275907.352,265282,287895,188253.295,184778,191089,1259.539,1125,1390,45469.902,43452,47419,241.729,194,290,56672.717,54409,58735,21225.158,20226,22088
38,245044.504,234785,256599,194494.614,191919,196800,1302.717,1160,1426,52236.13,50179,54498,294.178,242,362,61709.93,59381,63741,23398.114,22482,24313
39,215251.881,205607,226874,198849.794,196807,200409,1336.976,1179,1448,59722.114,57005,62198,353.943,297,413,66782.141,64344,68841,25644.06,24577,26714
40,186953.232,177810,197834,201143.834,199668,202561,1362.664,1206,1489,67948.542,65323,70754,421.589,351,490,71805.282,69161,73975,27935.399,26796,28863
41,160537.412,152028,170424,201248.776,199955,202473,1381.742,1216,1506,76943.609,73781,80038,497.324,430,568,76708.427,73987,79050,30235.971,29196,31352
42,136303.109,128505,145530,199164.349,197701,200637,1395.568,1227,1504,86697.626,83508,90354,580.981,512,655,81395.166,78890,83523,32528.653,31412,33937
43,114456.751,107510,122823,194956.703,192953,196948,1405.008,1236,1517,97224.376,93470,101002,672.41,594,756,85804.579,83708,87677,34762.172,33694,35970
44,95100.813,88730,102405,188817.048,186159,191382,1412.173,1242,1511,108510.976,104246,112523,771.502,682,850,89850.706,88018,91677,36895.754,35806,38005
45,78251.437,72763,84714,180969.785,177760,184261,1416.674,1248,1524,120522.439,116331,124810,878.128,781,968,93480.141,91841,95040,38907.759,37800,40031
46,63799.565,59187,69257,171753.706,168203,175561,1420.53,1255,1522,133216.986,128859,137708,991.615,886,1096,96636.199,95209,97998,40760.084,39772,41848
47,51600.756,47665,56179,161490.005,157738,165223,1422.858,1254,1536,146576.385,141697,151477,1112.892,989,1226,99288.023,97826,100530,42384.533,41420,43446
48,41439.678,38079,45134,150527.627,146175,154643,1423.997,1253,1543,160521.051,155341,165737,1240.131,1104,1363,101418.677,100123,102595,43796.327,42876,44748
