day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,664851.464,664778,664932,544.834,459,615,0.0,0,0,0.0,0,0,0.0,0,0,29.372,11,48,0.0,0,0
1,664138.324,664025,664243,1153.11,1051,1260,0.0,0,0,1.441,0,7,0.0,0,0,84.067,59,109,21.075,4,41
2,663284.374,663114,663462,1846.505,1683,1990,0.0,0,0,5.451,0,14,0.0,0,0,165.922,121,212,65.706,38,94
3,662257.359,662033,662463,2649.916,2474,2818,0.0,0,0,13.31,3,26,0.0,0,0,278.095,214,329,136.263,90,179
4,661022.295,660728,661308,3588.663,3337,3861,0.0,0,0,26.241,12,42,0.0,0,0,424.262,348,491,235.121,179,295
5,659537.01,659193,659885,4691.476,4419,4981,0.026,0,1,46.323,25,68,0.0,0,0,609.445,539,701,366.317,306,447
6,657744.087,657337,658224,6001.61,5670,6312,0.161,0,3,76.229,48,107,0.0,0,0,838.99,743,936,535.84,454,639
7,655585.655,655141,656062,7558.127,7165,7907,0.545,0,4,118.935,86,158,0.0,0,0,1122.102,971,1238,748.715,649,869
8,652984.139,652419,653602,9415.334,8912,9822,1.357,0,7,178.146,139,227,0.0,0,0,1467.88,1312,1601,1011.948,895,1128
9,649854.752,649150,650593,11631.349,11131,12142,2.855,0,9,259.256,210,323,0.0,0,0,1888.761,1736,2049,1333.088,1188,1508
10,646101.289,645235,646972,14268.799,13591,14978,5.308,0,15,367.687,305,429,0.001,0,1,2397.527,2229,2604,1720.491,1554,1929
11,641598.057,640462,642693,17415.928,16503,18270,9.046,1,21,511.024,437,594,0.005,0,1,3011.056,2810,3241,2189.535,1992,2403
12,636218.281,635100,637665,21150.321,20193,21991,14.441,2,31,697.402,610,804,0.009,0,1,3749.903,3520,3979,2749.199,2519,3029
13,629812.073,628390,631555,25570.61,24360,26641,21.874,9,40,934.907,825,1066,0.019,0,1,4636.446,4357,4914,3423.985,3157,3739
14,622195.734,620493,624118,30800.563,29550,32134,31.735,13,52,1234.501,1118,1402,0.034,0,2,5697.549,5395,6026,4228.917,3846,4563
15,613181.885,611313,615404,36947.983,35458,38401,44.16,24,73,1609.889,1437,1783,0.058,0,2,6964.252,6587,7296,5186.119,4842,5547
16,602565.932,600376,605213,44134.355,42392,45830,59.798,36,88,2077.069,1892,2255,0.09,0,2,8471.372,8081,8863,6326.5,5954,6736
17,590106.963,587424,593235,52508.707,50374,54525,79.049,51,109,2652.273,2472,2862,0.152,0,3,10261.117,9809,10727,7678.994,7249,8104
18,575572.481,572387,579256,62195.157,59761,64489,102.804,74,135,3357.016,3108,3623,0.241,0,3,12373.726,11863,12929,9280.218,8839,9777
19,558726.515,555018,563052,73308.21,70470,76052,131.181,98,168,4216.732,3927,4561,0.358,0,4,14862.961,14239,15459,11166.815,10596,11686
20,539354.352,535110,544350,85939.313,82721,89026,164.626,124,204,5257.056,4878,5601,0.524,0,4,17774.227,17003,18519,13386.374,12760,13958
21,517271.344,512275,523016,100128.785,96524,103565,204.145,164,249,6514.199,6027,6889,0.764,0,5,21165.402,20179,22052,15976.026,15220,16734
22,492353.695,486849,498626,115860.711,111852,119334,249.881,204,299,8022.926,7446,8462,1.118,0,6,25088.675,24033,26128,18993.466,18197,19884
23,482702.16,476808,489081,114923.607,111152,118459,302.131,246,360,9829.521,9182,10261,1.611,0,7,29573.473,28265,30729,22479.42,21442,23599
24,471599.69,465439,478342,115530.376,111769,119115,361.429,307,417,11979.633,11259,12473,2.211,0,7,33802.861,32256,35090,26474.528,25396,27660
25,459382.505,452779,466331,117191.743,113605,120776,426.423,373,494,14483.046,13679,15117,3.018,0,9,37863.26,36303,39405,30359.237,29191,31834
26,446136.16,439314,453482,119735.12,116070,123396,497.483,435,573,17367.706,16384,18078,4.139,0,12,41811.445,40312,43344,34087.513,32670,35488
27,431963.992,424781,439595,122967.949,119449,126633,571.695,502,664,20663.354,19603,21451,5.655,0,14,45699.063,44050,47344,37650.029,36286,39088
28,416953.416,409604,424913,126742.837,123064,130254,648.435,574,734,24393.548,23140,25209,7.619,0,17,49561.607,47803,51430,41053.809,39457,42643
29,401217.007,393831,409411,130897.582,127426,134307,725.374,619,816,28598.363,27257,29504,10.213,1,21,53427.917,51708,55329,44306.048,42711,45867
30,384876.857,377301,393224,135285.397,132010,138711,798.476,675,899,33302.964,31733,34421,13.512,3,27,57306.872,55455,59379,47397.497,45726,48935
31,368043.179,360317,376391,139764.652,136877,143215,864.394,722,968,38521.566,36757,39886,17.433,7,31,61219.726,59353,63324,50330.467,48558,51841
32,350859.991,342747,359331,144177.623,140984,147392,919.783,770,1014,44255.73,42354,45869,22.23,8,37,65168.397,63271,67334,53134.422,51241,54662
33,333448.369,325368,341992,148420.272,145549,151865,964.255,814,1069,50485.956,48328,52242,27.798,12,46,69146.522,67088,71463,55828.538,53982,57450
34,315943.325,307946,324392,152371.595,149603,155655,998.191,856,1102,57206.206,54860,59068,34.291,18,55,73144.264,71151,75511,58413.067,56372,60024
35,298468.323,290712,306763,155924.189,153524,158811,1022.903,886,1120,64404.599,61827,66481,41.43,25,62,77147.862,75143,79474,60900.749,59067,62514
36,281134.748,273481,289392,159017.559,156870,161300,1039.645,893,1139,72051.157,69203,74435,49.178,30,72,81129.618,79078,83437,63309.051,61473,64964
37,264059.535,256575,272147,161564.523,159947,163448,1051.084,901,1146,80124.517,77062,82633,57.446,36,83,85077.068,82987,87302,65632.683,63782,67344
38,247348.809,240198,255187,163511.557,162054,165174,1058.783,914,1160,88617.605,85272,91421,66.277,43,98,88963.87,86927,91030,67872.044,65735,69353
39,231094.725,224036,238651,164828.593,163408,166252,1063.283,930,1172,97515.805,93949,100628,75.724,50,114,92762.305,90796,94674,69998.915,67978,71401
40,215384.971,208404,222782,165478.271,164319,166808,1066.261,942,1171,106795.404,103028,110012,85.565,59,124,96448.936,94414,98406,72006.815,70006,73378
41,200308.228,193403,207547,165434.071,164311,166808,1067.945,948,1179,116445.954,112360,119983,95.497,66,132,99990.384,98087,101994,73882.374,71972,75250
42,185910.331,179160,192917,164711.426,163668,166065,1068.703,947,1194,126466.535,122023,130347,106.139,74,145,103354.984,101584,105324,75600.314,73828,76853
43,172237.384,165604,179086,163338.232,162178,164677,1068.425,965,1178,136820.087,132247,140895,117.061,82,154,106529.12,104872,108517,77144.685,75455,78423
44,159330.403,152910,165791,161327.487,159903,162669,1067.444,966,1184,147498.06,142868,151786,128.372,93,167,109483.608,107895,111409,78478.276,76851,79758
45,147213.288,141145,153229,158711.362,157343,160060,1066.236,967,1176,158491.528,153535,162604,139.952,102,179,112201.741,110661,113780,79591.599,78158,80914
46,135878.855,130074,141389,155548.327,154189,157086,1064.735,972,1164,169774.377,164722,174124,151.92,115,192,114664.809,113195,116361,80459.287,79156,81743
47,125340.931,120159,130339,151878.959,150358,153677,1062.92,970,1164,181323.973,176125,185656,164.082,121,203,116854.525,115469,118519,81062.6,79931,82268
48,115578.401,110764,120320,147757.448,145768,149620,1060.63,962,1167,193114.999,187778,197515,176.698,131,218,118766.734,117415,120337,81408.385,80433,82482
49,106563.147,102031,110942,143269.899,141212,145393,1058.331,948,1166,205121.393,199641,209576,189.36,145,231,120381.704,119094,121732,81480.032,80344,82368
