day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,638254.75,638233,638272,22.592,9,40,0.0,0,0,0.0,0,0,0.0,0,0,5.462,0,16,0.0,0,0
1,638221.345,638193,638247,41.604,23,68,0.0,0,0,0.705,0,5,0.0,0,0,13.927,3,28,0.165,0,4
2,638183.424,638146,638217,59.34,38,88,0.0,0,0,2.452,0,10,0.0,0,0,24.94,9,45,0.593,0,5
3,638139.73,638101,638178,78.334,49,109,0.0,0,0,5.646,0,19,0.0,0,0,37.469,18,65,1.373,0,6
4,638090.029,638035,638131,98.09,69,135,0.0,0,0,10.259,1,24,0.0,0,0,51.723,29,74,2.561,0,10
5,638032.59,637975,638088,119.8,85,159,0.013,0,1,16.88,4,35,0.0,0,0,67.998,43,96,4.09,0,12
6,637967.202,637895,638032,143.701,109,182,0.064,0,2,25.707,10,46,0.001,0,1,85.737,59,118,5.904,0,16
7,637892.342,637822,637966,170.366,129,222,0.148,0,3,37.447,19,63,0.001,0,1,105.111,72,145,8.072,1,20
8,637807.092,637720,637890,199.693,157,248,0.274,0,3,52.011,31,82,0.002,0,1,127.198,86,167,10.602,2,25
9,637709.273,637622,637803,233.757,173,288,0.437,0,4,69.606,45,104,0.002,0,1,151.714,102,198,13.427,5,27
10,637599.454,637499,637702,270.727,217,324,0.637,0,4,91.021,60,125,0.002,0,1,178.51,130,225,16.542,6,30
11,637474.855,637357,637582,312.094,244,372,0.917,0,6,116.312,84,155,0.002,0,1,208.909,158,266,20.11,8,37
12,637334.538,637208,637452,357.946,291,422,1.296,0,6,146.363,106,192,0.002,0,1,242.089,186,298,24.124,8,41
13,637176.299,637031,637310,408.531,318,484,1.71,0,7,181.05,135,224,0.006,0,1,279.913,225,349,28.6,11,49
14,636998.52,636857,637146,465.081,393,550,2.185,0,9,221.434,178,267,0.01,0,1,321.693,255,391,33.755,14,54
15,636798.845,636638,636969,528.064,434,619,2.753,0,9,268.137,214,331,0.012,0,1,367.553,299,439,39.387,16,63
16,636574.729,636388,636763,597.716,510,700,3.474,0,11,321.448,263,388,0.016,0,1,418.93,330,494,46.081,29,67
17,636324.321,636125,636518,674.437,562,774,4.195,0,12,382.668,307,458,0.017,0,1,476.274,389,565,53.474,33,78
18,636043.191,635802,636264,760.641,643,884,5.086,0,13,452.643,379,533,0.022,0,1,539.793,459,634,61.349,40,94
19,635729.253,635459,635966,856.148,728,978,6.057,0,13,531.98,444,623,0.027,0,1,610.504,516,719,70.399,43,103
20,635377.899,635093,635660,962.552,828,1104,7.173,1,16,622.863,519,717,0.032,0,1,688.432,586,801,80.106,54,110
21,634986.373,634615,635278,1079.832,958,1230,8.472,1,18,724.67,612,834,0.042,0,2,776.087,669,892,91.174,60,129
22,634548.726,634139,634879,1210.829,1054,1373,9.972,1,21,839.201,716,951,0.05,0,2,873.04,760,1003,103.935,68,140
23,634323.135,633904,634682,1101.293,976,1268,11.532,3,23,968.927,852,1099,0.067,0,2,976.193,812,1114,117.703,82,156
24,634072.703,633617,634456,1047.451,922,1202,13.399,3,27,1114.462,966,1256,0.089,0,2,1046.238,899,1201,133.22,95,171
25,633801.774,633364,634188,1029.409,912,1170,15.409,5,28,1272.429,1114,1414,0.11,0,2,1097.093,930,1247,148.797,107,194
26,633514.454,633037,633946,1032.565,910,1175,17.652,4,32,1439.393,1265,1625,0.133,0,2,1139.618,999,1279,164.193,110,216
27,633213.829,632739,633666,1047.414,893,1188,20.005,6,36,1616.29,1441,1824,0.15,0,2,1176.868,1044,1325,178.102,122,222
28,632900.006,632393,633397,1072.593,920,1252,22.79,8,38,1801.104,1620,2008,0.185,0,2,1212.196,1050,1368,190.214,142,240
29,632572.834,632056,633096,1102.487,962,1276,25.763,12,43,1994.712,1778,2236,0.224,0,2,1246.795,1100,1383,202.122,155,262
30,632233.573,631680,632780,1136.467,979,1322,28.809,14,44,2196.013,1948,2448,0.26,0,2,1282.774,1125,1452,212.374,162,271
31,631880.239,631317,632464,1176.975,1030,1325,31.913,17,51,2403.813,2151,2679,0.306,0,2,1319.652,1173,1474,223.73,173,275
32,631514.053,630920,632130,1217.61,1074,1380,35.076,18,51,2619.162,2331,2908,0.35,0,3,1359.932,1200,1529,234.623,177,290
33,631134.987,630484,631799,1259.944,1117,1422,38.187,21,56,2842.483,2539,3152,0.409,0,3,1402.338,1236,1592,245.136,194,301
34,630740.994,630063,631396,1305.921,1127,1469,41.159,24,61,3073.728,2756,3412,0.472,0,3,1445.763,1268,1657,257.008,209,310
35,630334.064,629599,631017,1351.228,1198,1537,44.239,26,71,3313.366,2977,3719,0.544,0,3,1492.705,1287,1735,268.378,218,327
36,629910.84,629118,630646,1401.417,1243,1578,47.441,28,75,3562.243,3248,3970,0.61,0,4,1539.46,1353,1772,280.536,223,340
37,629473.561,628619,630241,1450.99,1276,1648,50.682,28,75,3819.478,3497,4231,0.687,0,4,1590.619,1415,1799,292.153,234,350
38,629019.205,628134,629832,1505.732,1324,1703,54.055,31,78,4085.74,3737,4499,0.772,0,5,1643.338,1466,1852,303.96,242,371
39,628547.484,627592,629394,1561.57,1379,1764,57.219,27,78,4361.123,3984,4807,0.877,0,5,1700.678,1480,1926,316.29,258,385
40,628058.5,627042,628951,1619.059,1435,1814,60.762,34,86,4647.079,4247,5108,0.962,0,5,1759.682,1514,2011,329.11,267,392
41,627550.704,626469,628489,1679.792,1511,1919,63.868,40,86,4943.123,4495,5444,1.038,0,5,1821.701,1581,2088,342.566,268,416
42,627022.793,625851,627979,1744.564,1585,1993,67.312,40,91,5250.031,4786,5760,1.136,0,5,1885.7,1642,2138,355.963,287,439
