day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809569.791,809497,809639,507.089,434,580,0.0,0,0,0.0,0,0,0.0,0,0,15.459,6,30,0.0,0,0
1,808897.368,808788,809006,1076.99,970,1185,0.0,0,0,1.118,0,6,0.0,0,0,43.859,25,68,4.742,0,12
2,808027.08,807841,808184,1791.25,1651,1952,0.0,0,0,4.216,0,12,0.0,0,0,85.595,55,117,18.067,7,35
3,806871.582,806620,807107,2721.757,2519,2944,0.0,0,0,10.249,2,23,0.0,0,0,144.007,106,182,43.323,25,69
4,805324.39,804972,805637,3954.514,3664,4265,0.0,0,0,20.786,8,38,0.0,0,0,223.611,179,278,85.818,57,121
5,803252.865,802780,803670,5593.858,5258,5973,0.082,0,3,37.526,21,66,0.0,0,0,331.245,278,390,149.593,108,187
6,800485.549,799753,800988,7772.572,7339,8402,0.524,0,4,65.362,38,94,0.0,0,0,476.47,397,554,240.312,194,296
7,796799.016,795966,797547,10663.618,10050,11370,1.652,0,8,109.747,74,151,0.003,0,1,670.943,587,761,363.691,302,446
8,791899.904,790828,792804,14489.024,13733,15370,3.625,0,11,178.542,137,226,0.014,0,1,930.018,805,1048,529.98,451,604
9,785404.762,783986,786685,19544.785,18474,20696,7.097,0,16,279.838,217,342,0.034,0,2,1276.45,1164,1410,752.403,647,840
10,776834.868,774974,778769,26187.031,24661,27728,12.15,3,31,423.651,352,503,0.076,0,2,1737.362,1599,1914,1050.893,892,1164
11,765561.421,762919,768244,34900.977,32780,36953,19.387,7,35,624.68,533,726,0.115,0,2,2347.303,2148,2523,1449.845,1295,1610
12,750820.434,747500,754353,46246.41,43436,48858,29.662,14,48,904.039,800,1008,0.194,0,3,3152.596,2905,3401,1977.377,1788,2193
13,731657.178,727202,736261,60928.667,57298,64391,43.62,22,68,1287.159,1134,1449,0.324,0,3,4209.728,3937,4527,2677.785,2441,2937
14,706985.512,701354,712762,79712.146,75074,84109,62.279,36,90,1806.902,1628,1975,0.548,0,4,5592.509,5219,5966,3601.148,3339,3956
15,675564.85,668399,682844,103446.839,97799,109108,87.126,55,120,2507.342,2304,2714,0.868,0,5,7391.913,6966,7888,4814.052,4496,5170
16,636135.305,627288,645134,132917.308,126056,139674,119.841,85,161,3441.486,3199,3699,1.329,0,7,9714.336,9184,10334,6404.605,5994,6857
17,587611.074,576692,598202,168660.911,160570,176801,163.0,116,209,4686.392,4357,5003,2.0,0,8,12675.538,12010,13519,8470.861,7925,8971
18,529386.45,516249,542303,210697.662,201072,220223,218.035,174,271,6333.723,5917,6724,2.97,0,11,16402.102,15580,17433,11140.34,10480,11847
19,461786.424,447021,476597,258077.803,247731,268352,288.777,237,362,8496.217,8018,9065,4.488,0,12,21017.246,19991,22189,14546.674,13636,15427
20,386545.363,370391,403063,308565.482,297536,319204,375.95,316,458,11319.804,10664,11950,6.707,0,18,26594.16,25337,28037,18849.908,17717,19949
21,307159.958,291156,323448,358370.649,348408,367867,481.676,414,547,14966.199,13988,15863,10.003,2,22,33152.299,31746,35105,24196.601,22826,25492
22,228862.484,213943,244143,402322.061,394312,409784,606.348,522,684,19640.988,18476,20716,14.763,5,29,40604.271,38995,42681,30692.234,29093,32233
23,211926.604,197878,226487,380713.96,374028,386464,746.706,643,835,25558.248,24126,26879,21.922,8,37,48730.505,47083,50893,38394.721,36418,40426
24,193178.493,179736,207213,362990.974,357643,368083,897.848,795,1001,32968.431,31295,34715,31.957,16,49,55669.199,53975,57756,47249.115,45236,49505
25,173804.905,161426,187092,347584.062,343456,351230,1048.343,950,1161,41996.754,39926,44113,46.827,24,67,61625.52,59817,63723,56606.178,54345,58724
26,154716.109,143231,167146,333379.501,330658,336091,1187.835,1088,1317,52814.575,50256,55277,67.701,41,92,66728.099,64847,68745,65886.919,63150,68038
27,136498.559,126019,148181,319644.812,317815,321689,1304.517,1203,1428,65591.152,62289,68713,95.453,61,130,71080.465,69326,73113,74578.734,72097,76946
28,119575.086,110172,130021,305947.449,304516,307691,1389.435,1261,1498,80497.176,76980,84298,131.347,90,174,74730.221,73183,76729,82218.996,79478,84320
29,104159.817,95797,113451,292053.141,290436,293820,1443.409,1330,1567,97478.416,93332,101734,175.89,129,218,77745.12,76065,79535,88607.752,86038,90831
30,90360.043,82946,98636,277871.179,275511,279876,1471.993,1359,1625,116356.085,111447,120991,227.959,180,285,80164.006,78696,81729,93679.193,91274,95704
31,78171.286,71647,85545,263438.859,260616,266056,1485.512,1380,1596,136836.813,131438,141873,286.638,233,346,82019.676,80606,83474,97523.099,95455,99661
32,67531.72,61864,73951,248839.288,245473,252353,1490.421,1388,1633,158618.035,152879,163832,350.265,296,418,83349.459,82059,85003,100252.155,98221,102211
33,58316.892,53380,64005,234211.183,230570,238354,1490.153,1388,1611,181422.346,174890,187091,417.961,359,487,84185.157,82907,85609,101969.902,100336,103959
34,50392.542,46078,55382,219697.198,215725,224230,1485.298,1376,1613,204974.626,198262,211319,488.136,418,559,84547.394,83304,85698,102814.225,100830,104753
