day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
3,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
4,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
5,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
6,113042.251,112696,113093,50.749,0,397,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7,112757.846,111869,113093,297.303,0,922,0.0,0,0,0.0,0,0,0.0,0,0,19.564,0,161,0.0,0,0
8,111847.599,110479,112762,986.655,292,1968,0.0,0,0,0.768,0,8,0.0,0,0,133.312,0,491,0.895,0,14
9,109629.509,107524,111340,2470.192,1338,3941,0.0,0,0,6.041,0,28,0.0,0,0,508.481,130,1113,7.095,0,38
10,104797.487,101491,107625,5460.427,3754,7728,0.0,0,0,26.017,3,67,0.0,0,0,1442.393,678,2380,30.644,5,89
11,95238.156,90409,99191,10949.485,8531,13435,0.0,0,0,83.306,27,161,0.0,0,0,3489.976,2238,5007,97.393,39,187
12,77753.348,71507,83731,20276.982,16933,24255,0.007,0,1,221.106,125,348,0.0,0,0,7567.964,5816,9776,259.475,144,397
13,49614.267,43274,55902,33305.223,29745,37003,0.081,0,3,520.187,333,735,0.0,0,0,15084.319,12462,17975,609.843,410,850
14,15071.214,10725,19877,43010.822,38581,48126,0.542,0,5,1119.485,855,1459,0.008,0,1,27333.841,24546,30193,1304.541,1010,1641
15,0.0,0,0,26015.901,21402,30468,1.719,0,11,2214.102,1823,2626,0.037,0,1,42836.074,40712,45129,2553.01,2114,3069
16,0.0,0,0,6626.383,5311,7820,4.132,0,13,3946.059,3444,4494,0.135,0,3,51170.989,50413,51839,4488.543,3976,5019
17,0.0,0,0,1688.716,1253,2059,7.474,1,20,6061.757,5574,6708,0.516,0,6,51704.207,51001,52478,6731.571,6230,7284
18,0.0,0,0,428.515,304,569,10.904,3,24,8313.677,7823,8961,1.483,0,8,50315.308,49694,51096,8859.944,8367,9370
19,0.0,0,0,109.438,44,176,15.427,4,32,10720.647,10163,11426,3.555,0,11,48494.001,47838,49338,10690.85,10206,11160
20,0.0,0,0,27.975,0,62,22.989,10,41,13385.07,12689,14134,7.242,0,17,46622.688,45963,47392,12083.935,11692,12553
21,0.0,0,0,7.253,0,30,33.283,16,54,16380.49,15675,17176,12.837,3,26,44789.459,44106,45531,12968.437,12580,13360
22,0.0,0,0,2.0,0,12,46.189,24,74,19679.149,19023,20588,20.26,8,39,43022.424,42307,43737,13369.425,12996,13740
23,0.0,0,0,0.655,0,7,59.77,36,85,23185.613,22355,24175,29.332,11,46,41324.196,40554,42017,13389.812,13005,13763
24,0.0,0,0,0.262,0,4,73.698,45,105,26795.021,25858,27749,39.091,20,57,39691.916,39003,40310,13146.803,12748,13529
25,0.0,0,0,0.094,0,3,86.589,58,125,30416.805,29602,31457,49.334,28,73,38125.168,37404,38747,12736.428,12303,13159
26,0.0,0,0,0.053,0,2,98.34,69,137,33981.238,33163,35061,59.8,36,86,36619.439,35933,37235,12240.197,11843,12621
27,0.0,0,0,0.026,0,2,108.334,74,146,37449.912,36633,38466,70.195,46,99,35173.705,34533,35748,11702.617,11288,12148
28,0.0,0,0,0.013,0,1,116.705,83,156,40797.55,40007,41809,80.228,51,111,33785.978,33188,34315,11154.2,10728,11597
29,0.0,0,0,0.003,0,1,123.94,86,173,44012.326,43134,44936,89.912,62,122,32453.236,31824,33007,10614.013,10280,11084
30,0.0,0,0,0.001,0,1,129.173,93,177,47088.898,46204,48034,99.207,72,132,31172.955,30564,31664,10093.477,9667,10487
31,0.0,0,0,0.0,0,0,133.868,95,171,50031.011,49135,51020,107.925,80,144,29943.255,29401,30389,9594.821,9233,10084
32,0.0,0,0,0.0,0,0,137.46,102,179,52841.626,52115,53666,116.404,86,152,28762.842,28224,29225,9117.56,8766,9559
33,0.0,0,0,0.0,0,0,140.199,104,180,55527.345,54808,56379,124.422,93,164,27628.355,27114,28082,8664.544,8338,9017
34,0.0,0,0,0.0,0,0,142.158,106,185,58091.955,57335,58953,132.153,100,172,26537.082,26080,27034,8233.852,7848,8603
35,0.0,0,0,0.0,0,0,143.717,107,183,60539.157,59862,61371,139.653,101,183,25489.299,25029,25976,7826.235,7478,8123
36,0.0,0,0,0.0,0,0,144.418,110,186,62877.451,62203,63640,146.663,111,188,24484.241,24067,24950,7434.974,7102,7742
37,0.0,0,0,0.0,0,0,144.815,103,187,65109.959,64420,65865,153.352,115,196,23517.714,23098,23968,7062.366,6728,7368
38,0.0,0,0,0.0,0,0,145.007,108,184,67241.451,66575,67943,159.747,121,203,22590.964,22164,23033,6706.775,6395,7016
39,0.0,0,0,0.0,0,0,144.961,107,182,69280.018,68605,69974,165.996,127,209,21698.506,21290,22196,6367.965,6103,6655
40,0.0,0,0,0.0,0,0,143.887,105,183,71224.573,70558,71892,171.653,132,214,20841.888,20413,21263,6048.346,5763,6318
41,0.0,0,0,0.0,0,0,143.68,107,196,73076.841,72340,73674,177.043,139,220,20020.694,19605,20447,5745.756,5443,6021
42,0.0,0,0,0.0,0,0,142.831,100,186,74847.148,74107,75422,182.216,144,225,19229.966,18808,19616,5459.324,5194,5741
43,0.0,0,0,0.0,0,0,141.413,100,178,76540.166,75861,77133,187.229,150,231,18470.42,18026,18885,5186.006,4895,5408
44,0.0,0,0,0.0,0,0,140.008,99,176,78153.079,77453,78768,191.897,153,234,17741.553,17340,18151,4927.905,4657,5181
45,0.0,0,0,0.0,0,0,139.1,101,178,79694.554,79035,80245,196.41,155,240,17040.61,16631,17405,4682.666,4443,4921
46,0.0,0,0,0.0,0,0,137.584,93,174,81169.451,80534,81760,200.737,160,242,16366.082,15963,16780,4448.898,4218,4685
47,0.0,0,0,0.0,0,0,135.742,91,173,82575.083,81986,83188,204.744,160,250,15720.956,15345,16118,4224.371,4007,4429
48,0.0,0,0,0.0,0,0,133.848,96,169,83916.531,83349,84524,208.638,163,253,15100.168,14707,15506,4014.498,3771,4277
