day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,665235.775,665180,665285,197.786,154,249,0.0,0,0,0.0,0,0,0.0,0,0,12.809,3,25,0.0,0,0
1,664986.129,664907,665051,413.833,352,482,0.0,0,0,0.942,0,6,0.0,0,0,36.524,18,59,1.969,0,9
2,664674.132,664547,664780,674.957,579,785,0.0,0,0,3.726,0,11,0.0,0,0,71.153,43,97,7.28,1,22
3,664279.262,664142,664409,997.795,874,1113,0.0,0,0,8.972,2,20,0.0,0,0,118.525,73,156,16.263,4,34
4,663775.43,663597,663932,1403.709,1257,1548,0.0,0,0,17.817,5,32,0.0,0,0,181.836,133,231,29.863,11,52
5,663134.993,662894,663321,1912.679,1744,2100,0.002,0,1,31.582,16,53,0.0,0,0,264.403,212,315,49.072,26,76
6,662315.02,662008,662570,2559.621,2364,2844,0.008,0,1,51.289,31,76,0.0,0,0,371.905,311,452,75.267,47,111
7,661272.402,660877,661631,3377.291,3094,3692,0.039,0,1,79.118,52,111,0.0,0,0,509.164,434,595,109.847,76,149
8,659942.723,659346,660379,4414.995,4063,4908,0.114,0,2,117.545,83,147,0.0,0,0,685.262,591,794,155.483,106,198
9,658250.829,657553,658758,5729.615,5316,6285,0.294,0,4,169.73,127,211,0.0,0,0,911.403,794,1021,214.583,153,272
10,656099.384,655222,656793,7398.533,6836,8020,0.558,0,5,239.489,186,288,0.0,0,0,1197.909,1052,1339,290.309,222,348
11,653367.052,652281,654164,9511.642,8893,10273,1.015,0,5,331.567,271,390,0.0,0,0,1563.686,1385,1736,387.383,311,470
12,649908.364,648630,650840,12179.625,11454,13113,1.682,0,9,452.861,381,523,0.001,0,1,2027.864,1831,2248,511.53,425,637
13,645539.294,643897,646666,15540.675,14691,16673,2.639,0,11,611.996,524,696,0.003,0,1,2616.177,2353,2866,668.676,578,820
14,640030.512,637883,641488,19768.049,18575,21309,4.021,0,12,816.332,704,927,0.006,0,1,3362.539,3059,3663,868.493,734,1011
15,633095.922,630508,634950,25080.463,23675,26973,5.873,0,15,1080.272,957,1212,0.007,0,1,4304.661,3941,4662,1121.715,979,1318
16,624410.596,621217,626785,31709.094,29874,34093,8.298,0,19,1419.626,1283,1565,0.013,0,1,5494.901,5067,5910,1440.314,1285,1684
17,613563.193,609511,616355,39962.385,37858,43019,11.408,3,25,1855.798,1676,2030,0.021,0,1,6990.439,6525,7578,1845.3,1657,2100
18,600104.168,595026,603519,50160.896,47594,54019,15.447,6,29,2409.855,2179,2627,0.028,0,2,8866.163,8313,9625,2355.284,2088,2595
