day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809689.423,809633,809755,360.966,306,420,0.0,0,0,0.0,0,0,0.0,0,0,39.782,20,64,0.0,0,0
1,808934.852,808832,809091,967.785,838,1060,0.0,0,0,2.658,0,9,0.0,0,0,109.992,77,146,6.503,0,18
2,807645.437,807397,807861,1999.074,1810,2203,0.0,0,0,10.127,2,24,0.0,0,0,229.62,185,277,23.358,6,40
3,805464.717,805015,805856,3730.175,3406,4097,0.0,0,0,25.499,8,46,0.0,0,0,435.24,368,505,58.401,34,94
4,801805.501,801123,802417,6620.795,6163,7216,0.0,0,0,54.471,30,83,0.0,0,0,784.194,670,886,123.363,89,163
5,795689.51,794678,796631,11439.907,10694,12240,0.007,0,1,107.123,75,143,0.0,0,0,1369.695,1218,1501,238.844,177,301
6,785546.357,784049,787109,19399.578,18151,20645,0.06,0,1,199.385,156,247,0.0,0,0,2352.236,2136,2544,437.903,355,524
7,768840.638,766267,771536,32462.5,30325,34488,0.235,0,3,358.409,300,426,0.0,0,0,3987.088,3701,4329,778.321,662,894
8,741646.702,737637,745729,53612.048,50568,56923,0.647,0,4,629.478,547,717,0.0,0,0,6693.667,6243,7150,1349.716,1182,1503
9,698164.446,691894,704885,87164.405,82203,91958,1.544,0,6,1085.583,960,1230,0.0,0,0,11130.499,10338,11807,2303.029,2104,2577
10,630661.629,621419,640969,138571.055,131166,145550,3.222,0,10,1848.04,1683,2056,0.002,0,1,18304.684,17060,19359,3885.574,3614,4219
11,530980.909,517101,545380,212707.705,202633,222772,6.379,0,16,3103.278,2792,3332,0.006,0,1,29645.298,27788,31350,6475.333,5994,6922
12,395540.395,378065,414782,308993.763,296074,320765,12.027,2,24,5144.208,4723,5513,0.019,0,1,46926.843,44335,49460,10649.109,9828,11462
13,236213.082,218122,256825,411479.003,400182,421693,21.721,8,38,8379.822,7785,8980,0.04,0,1,71748.534,67686,75164,17213.34,15881,18353
14,90905.293,77921,107102,481130.299,475738,484328,38.218,21,61,13345.311,12402,14149,0.083,0,2,104163.156,99577,108336,27154.863,25447,28942
15,9755.143,5362,15543,473817.578,467219,479810,65.689,43,97,20590.92,19383,21720,0.173,0,3,140708.103,136050,144860,41380.611,39019,43610
16,0.0,0,0,396456.729,386618,407052,110.252,71,148,30469.203,28927,31833,0.389,0,4,174136.54,170127,177905,60140.062,57451,63056
17,0.0,0,0,323579.766,315476,332216,180.376,134,217,42867.454,40882,44392,0.822,0,7,198326.059,195720,201449,82472.818,79418,85758
18,0.0,0,0,264105.937,257608,271614,286.628,233,341,57348.032,55174,59219,1.831,0,11,214297.197,212334,217223,106458.777,103269,109987
19,0.0,0,0,215558.284,209912,221519,437.205,372,499,73597.921,71011,75705,4.127,0,15,223819.145,222311,226209,130483.048,127301,134214
20,0.0,0,0,175944.542,171506,180852,632.638,563,727,91516.116,88865,93741,8.853,1,21,228304.714,227020,230202,153206.758,150067,156866
21,0.0,0,0,143593.776,140049,147484,850.099,762,961,111140.914,108126,113605,18.537,7,32,228928.599,227708,230670,173600.41,171032,176697
22,0.0,0,0,117206.074,114258,120410,1046.017,930,1144,132619.264,129275,135368,36.32,18,57,226560.951,225051,227992,190883.805,188754,193556
23,0.0,0,0,95664.373,93013,98333,1175.252,1056,1260,156060.485,152412,159342,64.823,42,95,221971.433,220311,223467,204518.4,202625,206528
