date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.4550970873786408,0.0,0.0,0.0,0.0,0.0
2020-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.37924757281553395,0.0,0.0,0.0,0.0,0.0
2020-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37924757281553395,0.27846775900286264,0.0,0.0,0.0,0.0
2020-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.21276957905666477,0.0,0.4550970873786408,0.27846775900286264,0.0,0.0,0.0,0.0
2020-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.2553234948679977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2553234948679977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.2553234948679977,0.0,0.0,0.3341613108034352,0.0,0.0,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.2978774106793307,0.0,0.0,0.38985486260400776,0.0,0.0,0.0,0.0
2020-10-08,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.38298524230199665,0.0,0.0,0.3341613108034352,0.0,0.0,0.0,0.0
2020-10-09,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.46809307392466254,0.0,0.0,0.3341613108034352,0.0,0.0,0.0,0.0
2020-10-10,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.5532009055473285,0.0,0.0,0.3341613108034352,0.0,0.0,0.0,0.0
2020-10-11,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.5957548213586614,0.0,0.37924757281553395,0.27846775900286264,0.0,0.0,0.0,0.0
2020-10-12,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.5532009055473285,0.0,0.37924757281553395,0.38985486260400776,0.0,0.0,0.0,0.0
2020-10-13,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.5957548213586614,0.0,0.4550970873786408,0.0,0.0,0.0,0.0,0.0
2020-10-14,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.6383087371699944,0.0,0.7584951456310679,0.3341613108034352,0.0,0.0,0.0,0.0
2020-10-15,0.6762788432926664,0.0,0.0,0.0,0.0,0.0,0.6808626529813273,0.0,0.7584951456310679,0.38985486260400776,0.0,0.0,0.0,0.0
2020-10-16,0.6762788432926664,0.0,0.0,0.0,0.8168066128663377,0.0,0.8085244004153262,0.0,0.6826456310679612,0.38985486260400776,0.0,0.0,0.0,0.0
2020-10-17,0.946790380609733,0.0,0.0,0.0,0.0,0.0,0.8936322320379922,0.0,0.7584951456310679,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-18,1.0820461492682663,0.0,0.0,0.0,0.0,0.0,0.8510783162266591,0.0,0.8343446601941747,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-19,1.0820461492682663,0.0,0.0,0.0,0.0,0.0,0.8085244004153262,0.0,0.9101941747572816,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-20,1.0820461492682663,0.0,0.0,0.0,0.0,0.0,0.7659704846039933,0.0,1.2135922330097089,0.5012419662051527,0.0,0.0,0.0,0.0
2020-10-21,1.0820461492682663,0.0,0.0,0.0,0.8168066128663377,0.0,0.7659704846039933,0.0,1.137742718446602,0.5012419662051527,0.0,0.0,0.0,0.0
2020-10-22,0.946790380609733,0.0,0.0,0.0,0.9801679354396053,0.0,0.8085244004153262,0.0,1.2135922330097089,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-23,1.0820461492682663,0.0,0.0,0.0,1.1435292580128729,0.0,0.7234165687926603,0.0,1.2135922330097089,0.5012419662051527,0.0,0.0,0.0,0.0
2020-10-24,0.8115346119511998,0.0,0.0,0.0,1.4702519031594081,0.42767941151312977,0.9361861478493251,0.0,1.3652912621359223,0.5012419662051527,0.0,0.0,0.0,0.0
2020-10-25,0.8115346119511998,0.0,0.0,0.6722056411497406,1.6336132257326754,0.42767941151312977,0.978740063660658,0.0,1.3652912621359223,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-26,0.946790380609733,0.0,0.0,0.6722056411497406,1.7969745483059432,0.42767941151312977,0.8936322320379922,0.0,1.5169902912621358,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-27,0.946790380609733,0.0,0.0,0.6722056411497406,1.9603358708792107,0.0,0.7234165687926603,0.0,1.4411407766990292,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-28,0.946790380609733,0.0,0.0,0.8066467693796887,1.7969745483059432,0.0,0.8510783162266591,0.0,1.5169902912621358,0.38985486260400776,0.0,0.0,0.0,0.0
2020-10-29,0.946790380609733,0.0,0.0,0.9410878976096367,1.7969745483059432,0.0,0.7659704846039933,0.0,1.6686893203883495,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-30,0.946790380609733,0.0,0.0,0.9410878976096367,1.3068905805861404,0.0,0.7234165687926603,0.0,1.5928398058252426,0.5569355180057253,0.0,0.0,0.7210151893866563,0.0
2020-10-31,0.946790380609733,0.0,0.0,0.9410878976096367,1.1435292580128729,0.0,0.6383087371699944,0.0,1.5928398058252426,0.5569355180057253,0.0,0.0,0.7210151893866563,0.0
2020-11-01,1.0820461492682663,0.0,0.0,1.0755290258395849,0.9801679354396053,0.0,0.6383087371699944,0.0,1.4411407766990292,0.6126290698062978,0.0,0.0,0.8411843876177657,0.0
2020-11-02,1.0820461492682663,0.0,0.0,1.3444112822994811,1.6336132257326754,0.0,0.8936322320379922,0.0,1.5928398058252426,0.5012419662051527,0.0,0.0,0.8411843876177657,0.0
2020-11-03,1.0820461492682663,0.0,0.0,1.4788524105294292,1.4702519031594081,0.0,0.8510783162266591,0.0,1.6686893203883495,0.44554841440458026,0.0,0.0,0.7210151893866563,0.0
2020-11-04,1.2173019179267996,0.0,0.0,1.4788524105294292,1.6336132257326754,0.0,0.9361861478493251,0.0,1.7445388349514563,0.44554841440458026,0.0,0.0,0.7210151893866563,0.0
2020-11-05,1.2173019179267996,0.0,0.0,1.6132935387593774,1.6336132257326754,0.0,0.8936322320379922,0.0,1.8203883495145632,0.5012419662051527,0.0,0.0,0.600845991155547,0.0
2020-11-06,1.0820461492682663,0.0,0.0,1.6132935387593774,1.4702519031594081,0.5132152938157557,0.9361861478493251,0.0,1.8962378640776698,0.44554841440458026,0.0,0.0,0.600845991155547,0.0
2020-11-07,1.0820461492682663,0.0,0.0,1.3444112822994811,1.6336132257326754,0.5132152938157557,1.234063558528656,0.0,1.8203883495145632,0.5012419662051527,0.0,0.0,0.7210151893866563,0.0
2020-11-08,1.0820461492682663,0.0,0.0,1.3444112822994811,1.6336132257326754,0.5132152938157557,1.2766174743399887,0.0,1.8203883495145632,0.5569355180057253,0.0,0.0,1.0815227840799846,0.0
2020-11-09,1.3525576865853328,0.0,0.0,1.4788524105294292,1.6336132257326754,0.5132152938157557,1.1489557269059898,0.0,1.8203883495145632,0.44554841440458026,0.0,0.0,0.7210151893866563,0.0
2020-11-10,1.3525576865853328,0.0,0.0,1.3444112822994811,1.6336132257326754,0.5132152938157557,1.106401811094657,0.0,1.7445388349514563,0.5012419662051527,0.0,0.0,0.7210151893866563,0.0
2020-11-11,1.0820461492682663,0.0,0.0,1.3444112822994811,1.6336132257326754,0.5132152938157557,1.0638478952833241,0.0,1.5169902912621358,0.38985486260400776,0.0,0.0,0.600845991155547,0.0
2020-11-12,0.946790380609733,0.0,0.0,1.209970154069533,1.3068905805861404,0.5132152938157557,1.3191713901513218,0.0,1.7445388349514563,0.38985486260400776,0.0,0.0,0.600845991155547,0.0
2020-11-13,1.0820461492682663,0.0,0.0,0.9410878976096367,1.3068905805861404,0.7698229407236336,1.1489557269059898,0.0,1.5928398058252426,0.5012419662051527,0.0,0.0,0.0,0.0
2020-11-14,0.946790380609733,0.0,0.0,0.9410878976096367,1.6336132257326754,0.7698229407236336,1.0638478952833241,0.0,1.5169902912621358,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-15,1.0820461492682663,0.0,0.0,1.0755290258395849,1.6336132257326754,0.7698229407236336,1.1915096427173228,0.0,1.5169902912621358,0.5012419662051527,0.0,0.0,0.600845991155547,0.0
2020-11-16,0.946790380609733,0.0,0.0,1.209970154069533,1.4702519031594081,0.7698229407236336,1.1915096427173228,0.0,1.5928398058252426,0.5012419662051527,0.0,0.0,0.0,0.0
2020-11-17,0.946790380609733,0.0,0.0,1.209970154069533,1.4702519031594081,0.6842870584210076,1.106401811094657,0.0,1.6686893203883495,0.44554841440458026,0.0,0.0,0.0,0.0
2020-11-18,0.946790380609733,0.0,0.0,0.9410878976096367,1.3068905805861404,0.42767941151312977,1.2766174743399887,0.0,1.4411407766990292,0.3341613108034352,0.0,0.0,0.0,0.0
2020-11-19,0.946790380609733,0.0,0.0,0.9410878976096367,1.1435292580128729,0.0,1.234063558528656,0.0,1.4411407766990292,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-20,1.0820461492682663,0.0,0.0,1.209970154069533,0.9801679354396053,0.42767941151312977,1.234063558528656,0.0,1.5169902912621358,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-21,1.0820461492682663,0.0,0.0,1.3444112822994811,0.9801679354396053,0.5132152938157557,1.5744948850193194,0.0,1.5928398058252426,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-22,0.946790380609733,0.0,0.0,1.4788524105294292,0.0,0.5132152938157557,1.5319409692079866,0.0,1.5169902912621358,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-23,0.8115346119511998,0.0,0.0,1.209970154069533,0.0,0.5987511761183817,1.234063558528656,0.0,1.4411407766990292,0.3341613108034352,0.0,0.0,0.0,0.0
2020-11-24,0.8115346119511998,0.0,0.0,1.209970154069533,0.0,0.5132152938157557,1.3191713901513218,0.0,1.4411407766990292,0.3341613108034352,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,1.3444112822994811,0.0,0.5987511761183817,1.234063558528656,0.0,1.4411407766990292,0.3341613108034352,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,1.0755290258395849,0.0,0.42767941151312977,1.5744948850193194,0.0,1.5169902912621358,0.44554841440458026,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,1.0755290258395849,0.0,0.0,1.1915096427173228,0.0,1.5169902912621358,0.3341613108034352,0.0,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0,1.0755290258395849,0.0,0.0,1.1915096427173228,0.0,1.4411407766990292,0.27846775900286264,0.0,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0,0.9410878976096367,0.0,0.42767941151312977,1.106401811094657,0.0,1.4411407766990292,0.38985486260400776,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.8066467693796887,0.0,0.5132152938157557,1.106401811094657,0.0,1.4411407766990292,0.38985486260400776,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.6722056411497406,0.8168066128663377,0.5132152938157557,1.0638478952833241,0.0,1.2135922330097089,0.3341613108034352,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.5132152938157557,0.9361861478493251,0.0,1.2894417475728155,0.27846775900286264,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.8168066128663377,0.5987511761183817,0.8085244004153262,0.0,1.2894417475728155,0.27846775900286264,0.0,0.0,0.0,0.0
