age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,254914.85618090455,245033.58291457288,265319.3115577889,71309.54577386935,63095.52763819096,79592.5527638191,414.4176331658291,356.48743718592965,475.0854271356784,790869.5153768845,780361.8944723618,800745.9095477387,100.92485929648242,77.14572864321607,128.85427135678393,132092.27353266333,123798.69346733668,140636.80904522614,5119.525251256282,4667.261306532663,5577.381909547738,average
1,99.0,121522.7195276382,116231.18090452261,127057.71859296483,35930.36352763819,31607.768844221104,40366.98492462312,534.5138542713568,467.47236180904525,605.3065326633166,407162.20102010045,401402.0,412451.70854271355,301.89824120603015,252.83417085427135,356.03015075376885,47613.52117085428,44401.246231155776,50937.79899497487,7571.072261306532,6870.763819095478,8257.582914572864,average
2,99.0,132305.58010552762,126672.77889447236,138065.93467336684,37459.496557788945,33022.02512562814,41957.959798994976,549.5262110552763,481.6532663316583,619.8793969849246,418902.8870452262,413052.9447236181,424465.04522613063,311.2514120603015,264.3467336683417,359.3467336683417,49628.95830150753,46314.72864321608,53022.34170854271,7893.244296482412,7188.306532663317,8627.4824120603,average
3,99.0,160938.52615075375,153994.95979899497,167956.13567839196,45604.6826080402,40157.5527638191,51058.15577889447,586.2802663316583,514.8241206030151,661.643216080402,509809.92859296483,502672.44221105526,516888.54271356785,757.6059648241204,659.5376884422111,835.8994974874372,60422.452849246234,56303.04522613066,64559.37688442211,9609.113331658291,8757.437185929648,10486.281407035176,average
4,99.0,137454.7783366834,131704.1055276382,143399.22110552763,40007.855849246225,35230.85929648241,44830.85929648241,630.3649145728642,555.7236180904523,708.7336683417085,449305.64792462316,443264.0854271357,455187.9698492462,2179.398502512563,2039.6984924623116,2356.286432160804,53011.26071356783,49542.78391959799,56514.633165829146,8429.4588040201,7690.793969849246,9192.608040201005,average
5,99.0,122163.9974673367,117465.9648241206,126976.28140703517,33837.92079899497,30012.557788944723,37747.20603015075,787.5393869346734,706.0804020100503,870.2261306532663,370652.57135678385,365968.8442211055,375276.92462311557,5035.181341708543,4781.442211055276,5250.633165829146,44835.258834170854,42077.34170854271,47633.01005025126,7128.847638190956,6517.381909547738,7747.346733668342,average
6,99.0,132388.51479899496,127546.11557788945,137322.14572864323,35610.23006030151,31696.140703517587,39582.34673366834,1223.4069497487437,1121.6834170854272,1324.4422110552764,374633.4691407035,369696.5477386935,379306.92462311557,16629.281773869345,16181.688442211056,17072.120603015075,47172.07385427136,44336.75879396985,50082.306532663315,7503.998015075377,6888.29648241206,8139.879396984925,average
7,99.0,32406.5894321608,31608.48743718593,33282.62311557789,6350.914889447236,5882.974874371859,6823.130653266332,97.90887437185928,72.23618090452261,125.08040201005025,61289.96124623117,60408.14572864322,62062.8391959799,119.0407336683417,92.33668341708542,147.35175879396985,8375.098145728643,7927.723618090452,8818.64824120603,1336.8895427135676,1209.5778894472362,1469.713567839196,average
,,136761.94525,131282.14698492462,142422.4214824121,38263.87625816583,33838.175879396986,42744.89949748744,602.9947613065326,534.5201005025126,673.7996231155779,422828.27271293977,417103.3630653266,428298.233040201,3179.3228536432157,3043.628768844221,3313.315326633166,55393.862175251255,51837.79020100503,59025.615577889446,6824.01864258794,6223.727386934674,7437.284547738693,aoa
,,60850.47000093623,58362.04756634685,63457.20155471403,17728.530307222714,15603.22527346233,19866.831360691678,320.3163857770011,299.4575026185904,340.4757439173406,199906.06514626867,197237.99013189803,202447.22397557736,5689.055082735482,5546.472025929022,5827.851847856785,34635.29108548516,32445.579326055245,36896.148321620734,2552.4413884571654,2330.3343010041663,2780.7481542890973,std
