day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,665424.705,665409,665440,24.067,8,39,0.0,0,0,0.0,0,0,0.0,0,0,1.381,0,6,0.0,0,0
1,665395.214,665372,665416,49.111,30,73,0.0,0,0,0.082,0,2,0.0,0,0,4.086,0,12,0.055,0,2
2,665358.932,665326,665392,78.764,46,107,0.0,0,0,0.277,0,3,0.0,0,0,8.048,2,19,0.242,0,3
3,665311.112,665265,665357,117.244,77,159,0.0,0,0,0.598,0,4,0.0,0,0,13.483,4,26,0.565,0,4
4,665248.318,665182,665305,167.279,119,230,0.0,0,0,1.138,0,7,0.0,0,0,20.845,8,36,1.096,0,6
5,665163.89,665078,665233,234.331,171,310,0.002,0,1,2.002,0,8,0.0,0,0,30.794,13,50,1.881,0,9
6,665052.094,664927,665164,322.85,237,429,0.003,0,1,3.281,0,10,0.0,0,0,44.055,25,67,3.134,0,12
7,664903.433,664739,665053,440.224,319,587,0.009,0,1,5.181,0,15,0.0,0,0,61.745,36,87,4.817,0,14
8,664706.895,664482,664913,594.595,428,785,0.016,0,1,7.929,0,19,0.0,0,0,85.586,54,118,7.139,0,18
9,664444.986,664147,664696,800.895,600,1047,0.041,0,2,11.753,2,23,0.0,0,0,116.625,77,168,10.241,1,23
10,664100.37,663682,664445,1071.91,812,1407,0.082,0,2,16.953,7,33,0.0,0,0,157.495,106,214,14.388,3,30
11,663643.48,663106,664093,1430.341,1072,1875,0.153,0,3,24.124,11,46,0.0,0,0,212.442,142,276,19.782,7,40
12,663039.173,662355,663626,1904.491,1415,2471,0.286,0,4,33.812,16,59,0.0,0,0,284.814,205,369,26.911,9,46
13,662238.305,661339,663021,2533.528,1898,3275,0.503,0,4,47.189,26,74,0.001,0,1,380.078,284,489,36.22,16,64
14,661182.234,659963,662203,3360.234,2563,4353,0.792,0,5,65.366,39,103,0.002,0,1,507.297,383,667,48.102,23,74
15,659786.83,658162,661153,4453.723,3377,5767,1.178,0,5,89.466,58,137,0.002,0,1,674.18,496,888,64.393,29,103
16,657946.061,655744,659746,5895.326,4485,7687,1.709,0,8,121.809,80,177,0.005,0,1,895.807,686,1172,85.74,45,129
17,655521.674,652653,657887,7791.875,5898,10145,2.429,0,9,164.967,106,246,0.006,0,1,1187.523,935,1530,113.967,68,170
18,652330.629,648584,655403,10285.751,7868,13286,3.382,0,10,222.661,148,328,0.007,0,1,1572.356,1223,2040,151.017,96,216
19,648136.566,643275,652244,13560.567,10292,17335,4.688,0,13,299.021,208,421,0.011,0,1,2079.666,1641,2676,199.391,125,271
20,642633.216,636482,648081,17851.025,13570,22714,6.318,0,17,399.937,276,557,0.013,0,1,2748.0,2126,3552,264.441,180,357
21,635432.907,627448,642499,23457.043,17944,29693,8.456,0,23,533.695,370,732,0.016,0,1,3627.151,2798,4667,349.741,225,490
22,626050.23,615341,635211,30743.734,23567,39074,11.406,2,25,709.779,505,958,0.023,0,1,4783.076,3685,6199,462.345,319,612
23,622185.508,610539,632199,31864.252,24529,40379,15.13,4,28,941.852,677,1227,0.033,0,1,6292.098,4792,8084,609.869,445,798
24,617135.149,604260,628166,34068.771,26296,43124,20.048,7,39,1248.89,907,1615,0.042,0,2,7801.453,5986,9905,804.011,601,1062
25,610917.045,596334,623173,37243.126,28895,47254,26.782,11,44,1632.361,1230,2095,0.056,0,2,9371.817,7200,11930,1040.704,744,1364
26,603496.586,586969,617460,41336.944,32070,52430,35.444,15,56,2100.57,1614,2655,0.072,0,2,11052.091,8467,13987,1314.868,938,1728
27,594813.239,576275,610592,46330.55,36150,58459,46.623,24,70,2662.504,2019,3382,0.108,0,2,12888.137,9813,16266,1623.706,1185,2086
28,584782.961,563814,602580,52221.568,40934,65779,61.539,35,94,3331.634,2549,4253,0.14,0,2,14929.761,11431,18759,1964.11,1481,2525
29,573291.539,549779,593360,59050.52,46523,73946,80.406,49,112,4125.705,3168,5216,0.188,0,2,17212.39,13226,21641,2334.588,1782,3000
30,560212.909,533955,582928,66859.035,52768,83133,103.61,62,146,5058.054,3896,6459,0.271,0,3,19779.097,15276,24915,2740.303,2082,3515
31,545449.931,516178,570939,75654.337,60071,93511,131.651,90,187,6150.425,4752,7874,0.378,0,3,22670.044,17529,28505,3181.803,2422,4055
32,528880.772,496273,557224,85470.139,68455,104934,163.773,117,229,7413.956,5736,9366,0.515,0,4,25928.893,20164,32550,3670.833,2818,4677
33,510398.63,474574,541985,96326.323,77603,117304,200.64,141,283,8872.274,6858,11198,0.697,0,5,29594.792,23178,36970,4214.824,3246,5351
34,489946.355,450913,524753,108174.689,87879,130290,242.112,174,325,10548.854,8184,13277,0.95,0,7,33719.378,26475,42033,4820.185,3675,6082
35,467486.201,425292,505916,120974.737,98919,144326,287.819,200,384,12469.748,9662,15646,1.235,0,7,38326.493,30174,47455,5499.641,4212,6913
36,443042.441,397576,484785,134620.83,111360,159377,337.461,243,433,14659.814,11357,18418,1.661,0,9,43450.085,34182,53349,6262.681,4781,7788
37,416714.372,368126,461621,148929.112,124602,174620,390.637,284,499,17150.598,13282,21480,2.232,0,9,49123.571,38777,59959,7115.88,5448,8862
38,388653.759,337871,436723,163698.142,138086,189374,448.069,334,564,19978.269,15577,24956,2.967,0,10,55351.55,44192,66977,8070.659,6230,10052
39,359124.668,306561,409692,178615.74,152778,203558,507.205,394,627,23176.783,18134,28884,3.819,0,10,62146.559,50046,74844,9129.803,7115,11298
40,328472.757,274912,381133,193323.566,168091,217139,569.213,451,686,26792.867,21095,33241,4.89,0,12,69480.696,56410,83056,10296.412,8173,12716
41,297141.423,243475,351251,207388.83,182943,229088,632.678,509,770,30861.796,24341,38087,6.263,0,16,77334.541,63402,91776,11572.546,9266,14165
42,265620.688,212564,320562,220396.422,197374,239472,695.875,570,832,35418.654,28030,43666,7.952,0,18,85630.572,70820,100742,12967.754,10536,15756
43,234463.015,182868,288665,231882.546,211439,247862,758.64,627,885,40500.682,32064,49803,9.953,2,21,94306.525,78952,109886,14468.483,11749,17376
44,204239.297,155320,256889,241413.175,224089,253405,818.757,677,947,46143.467,36606,56550,12.463,4,26,103255.031,87589,119012,16072.688,13156,18979
45,175486.825,130224,225723,248619.326,234695,255710,875.426,726,1018,52383.839,41860,63857,15.529,5,30,112362.332,96324,128277,17763.411,14551,20848
46,148700.69,107717,195939,253222.521,243440,256353,927.693,784,1085,59244.286,47734,71788,19.115,7,35,121485.531,105335,137337,19517.729,16254,22647
47,124254.404,87632,167685,255071.662,249922,256818,973.521,840,1121,66741.83,54124,80419,23.36,10,42,130483.672,114505,145727,21326.792,18019,24505
48,102408.552,70410,141727,254153.38,247045,256350,1012.482,896,1149,74887.55,61225,89614,28.108,12,46,139210.398,123646,153862,23156.344,19868,26338
49,83299.416,56029,117957,250577.876,239432,256133,1044.966,921,1164,83686.603,68759,99680,33.58,16,53,147517.921,132776,161019,24977.189,21660,28068
50,66913.305,44104,96709,244597.716,229632,254434,1071.412,966,1181,93131.478,76938,110247,39.837,19,67,155277.0,141076,167824,26769.657,23557,29836
51,53139.414,34388,78308,236534.499,218732,250196,1091.236,987,1208,103201.931,85865,121175,46.631,26,79,162384.974,149154,173644,28495.745,25288,31613
52,41772.172,26541,62639,226793.673,206972,243282,1105.756,1004,1220,113871.568,95542,132916,54.243,33,84,168734.288,156721,178502,30131.013,27205,32985
53,32551.776,20257,49623,215769.757,194788,234537,1116.545,1016,1247,125096.569,105910,145124,62.362,36,92,174286.976,163576,182577,31630.74,28784,34176
54,25180.887,15583,39055,203880.175,182161,224151,1123.824,1024,1240,136842.484,116720,157563,71.08,45,102,178998.789,169866,185881,32980.122,30342,35189
55,19368.054,11858,30354,191497.458,169606,212902,1128.487,1022,1248,149064.297,127925,170653,80.301,52,111,182838.369,175173,188331,34162.664,31975,36003
56,14836.134,9091,23552,178938.002,157503,200614,1130.988,1010,1246,161706.816,139771,183981,90.051,58,123,185825.734,179792,190167,35149.527,33135,36531
57,11343.134,6963,18017,166457.26,145602,188317,1132.782,1011,1242,174690.186,152156,197850,100.252,70,133,187996.849,183299,191195,35951.41,34324,37039
58,8663.466,5348,13758,154285.374,134135,175675,1132.763,1013,1239,187972.901,165053,211137,111.074,78,150,189376.204,186064,191395,36542.388,35242,37505
59,6617.993,4144,10586,142555.204,123465,163197,1132.057,1027,1230,201477.485,178144,224697,122.166,84,171,190030.514,188051,191404,36945.285,35867,37731
60,5063.733,3143,8167,131385.257,113581,151054,1130.81,1013,1237,215157.875,191509,238535,133.56,98,184,189994.559,188036,191192,37149.804,36360,37975
61,3887.409,2409,6219,120840.508,104157,139700,1129.084,1012,1241,228935.485,204900,252433,145.417,107,194,189338.523,186417,191107,37171.892,36359,37932
62,2995.774,1867,4801,110936.108,95283,128545,1127.285,1022,1231,242766.411,218572,266316,157.342,113,201,188129.515,184753,190484,37016.482,36036,37714
63,2320.51,1449,3693,101709.596,87072,118138,1125.033,1023,1230,256588.711,232583,279915,169.267,125,216,186419.121,182284,189422,36704.319,35427,37688
64,1809.145,1157,2824,93142.466,79540,108390,1122.061,1030,1228,270355.523,246263,293585,181.341,138,226,184262.097,179573,187834,36244.911,34877,37390
65,1418.087,932,2205,85220.568,72694,99341,1119.858,1025,1219,284001.563,259932,307077,193.291,148,241,181723.01,176569,186216,35668.599,34133,37031
66,1119.249,742,1692,77911.483,66469,90950,1117.022,1026,1217,297511.055,273951,319962,205.092,159,255,178845.438,173264,183781,34973.392,33580,36531
67,888.837,599,1331,71189.948,60641,83183,1113.901,1027,1223,310827.032,287670,332746,216.757,166,262,175680.79,169817,181187,34194.636,32517,35724
68,711.634,479,1056,65010.796,55313,76057,1110.887,1030,1221,323921.914,301051,345475,228.248,179,276,172284.473,166110,178279,33329.9,31387,34986
69,574.114,376,841,59344.802,50464,69545,1107.081,1025,1207,336773.297,314166,357894,239.445,189,287,168679.251,162174,175058,32406.521,30616,34289
70,466.641,300,676,54157.744,46050,63580,1103.632,1019,1213,349349.143,327185,369819,250.446,193,298,164904.392,158291,171614,31433.376,29589,33481
71,382.586,257,556,49408.623,41952,58113,1100.181,1011,1212,361631.592,339860,381477,261.351,207,312,161008.693,154280,167997,30421.249,28628,32481
72,315.706,209,460,45068.38,38383,53060,1095.874,1001,1208,373607.213,352344,393182,271.871,220,323,157008.948,149980,164191,29376.43,27364,31508
73,262.518,176,377,41095.583,35062,48373,1091.658,1006,1207,385264.124,364755,404143,282.128,228,332,152935.181,145805,159898,28315.516,26399,30346
74,220.335,145,315,37471.298,32007,44203,1087.32,993,1195,396588.555,376349,414808,292.005,236,346,148807.012,141608,155850,27242.658,25428,29347
75,186.052,126,262,34163.706,29197,40333,1083.071,991,1186,407565.83,388100,425131,301.459,243,356,144655.346,137567,151758,26174.604,24382,28192
76,158.295,104,227,31143.264,26681,36689,1078.768,990,1180,418197.919,399137,435177,310.768,252,365,140493.285,133421,147490,25110.145,23418,27239
77,135.503,89,187,28387.874,24369,33433,1073.678,978,1166,428492.609,410242,444802,319.793,259,377,136335.384,129337,143292,24048.656,22286,26099
78,116.809,72,164,25870.662,22191,30433,1069.344,972,1170,438436.372,420838,454139,328.296,264,386,132205.331,125245,139231,23006.266,21319,25023
79,101.404,61,147,23577.824,20267,27753,1064.684,971,1164,448044.002,431141,462933,336.511,278,396,128097.979,121289,135179,21985.45,20396,23826
80,88.444,52,130,21483.092,18469,25324,1059.904,972,1167,457304.73,440937,471891,344.257,287,405,124043.552,117221,131078,20979.036,19304,22774
81,77.917,46,116,19575.22,16807,23149,1054.956,965,1157,466219.515,450427,479920,351.834,293,412,120041.303,113527,127023,20003.819,18307,21942
82,68.843,41,106,17835.772,15296,21096,1050.46,958,1149,474814.812,459642,487998,358.858,304,418,116097.861,109768,123007,19047.312,17357,20892
83,61.347,35,93,16249.013,13911,19207,1045.42,954,1146,483081.86,468527,495780,365.792,310,421,112227.109,106047,118987,18120.852,16572,19846
84,54.92,29,82,14804.895,12647,17457,1040.173,942,1139,491023.956,476998,503405,372.397,314,432,108427.963,102325,115057,17230.248,15683,18868
85,49.325,26,75,13487.882,11605,15961,1034.816,946,1123,498650.862,485071,510438,378.68,321,440,104710.579,98741,111253,16368.64,14841,17940
86,44.627,23,70,12288.216,10534,14550,1029.21,940,1112,505975.018,492806,517279,384.605,327,444,101075.201,95159,107487,15537.443,13992,17226
87,40.599,20,65,11194.335,9604,13272,1023.037,923,1106,513010.678,500300,523928,390.294,332,449,97519.335,91740,103806,14736.921,13433,16483
88,37.02,16,60,10198.34,8728,12106,1016.897,928,1101,519748.784,507617,530081,395.648,337,456,94056.146,88549,100183,13971.577,12680,15646
89,33.915,14,53,9291.526,7935,11051,1010.7,916,1100,526212.492,514705,536106,400.795,344,465,90678.212,85270,96673,13235.551,12036,14850
90,31.231,12,51,8463.327,7225,10112,1004.831,915,1092,532408.422,521463,541863,405.538,348,468,87394.047,82133,93146,12523.937,11322,14090
91,28.869,9,47,7708.577,6522,9212,998.278,912,1084,538340.465,527616,547391,410.158,354,471,84203.633,79275,89812,11846.053,10653,13347
92,26.863,9,45,7021.73,5951,8418,991.842,897,1085,544014.996,533889,552840,414.69,357,475,81105.413,76260,86504,11199.241,9942,12491
93,25.019,9,43,6396.206,5434,7665,985.159,896,1074,549449.632,539681,557943,418.862,363,477,78097.184,73326,83510,10580.128,9323,11797
94,23.427,9,42,5825.688,4948,6957,978.11,891,1071,554650.991,545270,562855,422.762,366,484,75179.858,70479,80507,9989.831,8757,11106
95,21.958,6,42,5305.776,4459,6348,971.035,878,1073,559618.005,550650,567519,426.486,369,486,72354.521,67728,77693,9434.879,8281,10538
96,20.697,5,39,4833.976,4068,5784,963.851,864,1080,564367.921,555776,571853,430.069,371,489,69621.825,65227,74777,8901.204,7881,9914
97,19.565,4,35,4403.422,3714,5278,956.399,858,1080,568911.454,560702,576026,433.467,375,494,66974.501,62750,72013,8394.013,7513,9306
98,18.519,2,33,4011.919,3376,4827,949.191,851,1067,573255.023,565448,579998,436.714,378,498,64413.437,60386,69253,7911.265,7151,8714
99,17.605,2,32,3653.564,3062,4360,941.337,849,1048,577406.333,569791,583830,439.672,379,502,61937.54,57982,66600,7455.153,6746,8373
100,16.77,2,32,3328.28,2799,3998,933.453,837,1042,581371.351,574090,587450,442.452,382,504,59544.82,55664,64020,7022.905,6368,7943
101,16.022,2,31,3031.695,2539,3649,925.292,833,1031,585157.657,578211,590976,445.138,385,510,57233.984,53466,61547,6613.781,5941,7545
102,15.374,2,30,2761.469,2300,3346,917.05,832,1013,588772.528,582091,594381,447.803,386,513,55003.886,51405,59110,6226.167,5609,7163
103,14.753,2,29,2516.486,2108,3041,908.24,818,999,592226.067,585791,597696,450.245,390,517,52850.154,49347,56790,5860.138,5249,6790
104,14.153,2,29,2292.105,1910,2759,899.232,819,994,595524.049,589437,600760,452.548,390,522,50773.402,47405,54639,5511.587,4955,6275
105,13.643,2,29,2088.016,1713,2523,889.838,801,983,598671.667,592806,603715,454.754,393,525,48773.166,45633,52497,5183.029,4601,5879
106,13.178,2,28,1902.325,1569,2331,880.9,798,978,601672.44,596036,606528,456.82,395,528,46844.76,43813,50465,4875.143,4308,5510
107,12.754,2,28,1733.637,1429,2121,872.031,799,974,604537.385,599115,609188,458.789,395,529,44989.964,42071,48529,4580.41,4034,5165
108,12.329,2,26,1579.434,1306,1907,862.217,788,956,607274.199,602132,611769,460.689,396,530,43199.67,40389,46670,4302.981,3812,4922
109,11.962,2,25,1439.028,1176,1758,852.691,776,953,609885.745,605116,614111,462.444,398,531,41477.252,38780,44742,4040.614,3587,4566
110,11.637,2,25,1311.122,1068,1606,842.66,759,939,612379.265,607824,616485,464.095,398,533,39816.507,37219,42976,3794.051,3372,4296
111,11.331,2,24,1194.42,965,1453,832.456,745,920,614757.558,610349,618613,465.691,400,533,38219.509,35731,41241,3562.078,3130,3979
112,11.03,2,24,1088.61,870,1316,822.691,727,900,617022.005,612874,620764,467.241,400,534,36684.569,34256,39598,3346.453,2901,3796
113,10.809,2,24,991.702,791,1214,812.272,713,892,619186.463,615218,622859,468.805,401,536,35206.383,32814,38015,3139.776,2748,3521
114,10.532,2,24,902.991,718,1116,801.473,704,885,621249.91,617346,624756,470.148,402,540,33786.633,31434,36561,2946.694,2585,3339
115,10.318,2,24,822.895,654,1028,791.107,689,881,623219.227,619515,626478,471.445,404,540,32420.438,30237,35041,2763.953,2456,3180
116,10.094,2,22,749.661,583,935,779.921,689,864,625098.873,621563,628255,472.715,405,540,31105.835,28991,33610,2594.771,2270,2930
117,9.885,2,22,682.383,529,854,768.92,677,853,626891.558,623465,629905,473.888,406,542,29844.03,27812,32275,2432.86,2120,2777
118,9.692,1,22,621.541,480,794,757.972,671,840,628602.564,625386,631485,474.942,407,543,28630.991,26632,30895,2279.666,1979,2599
119,9.479,1,22,566.216,434,716,746.726,660,828,630232.628,627200,632967,476.009,409,544,27466.999,25542,29600,2137.069,1842,2487
120,9.332,1,21,515.867,386,650,735.22,653,812,631787.583,628880,634473,476.983,409,544,26349.715,24469,28398,2002.183,1724,2333
121,9.193,1,21,469.636,355,589,724.069,645,792,633274.031,630506,635822,477.953,411,547,25272.578,23523,27244,1877.145,1630,2175
122,9.045,1,20,427.797,325,544,712.086,624,786,634691.018,632185,637117,478.791,414,548,24239.379,22525,26114,1759.783,1535,2033
123,8.915,1,20,389.824,300,493,700.353,608,782,636044.171,633639,638349,479.651,415,548,23246.769,21621,25064,1647.927,1440,1875
124,8.809,1,20,355.09,275,444,688.822,603,771,637336.675,634946,639493,480.425,415,548,22293.03,20779,24048,1542.392,1345,1805
125,8.694,1,19,323.346,244,412,676.983,593,754,638567.987,636336,640617,481.154,415,549,21378.81,19931,23083,1444.311,1216,1661
126,8.594,0,19,294.638,217,372,665.389,574,746,639741.734,637610,641728,481.893,416,550,20500.876,19088,22156,1353.296,1168,1549
127,8.499,0,19,268.372,204,342,653.795,575,730,640862.006,638847,642780,482.59,417,551,19658.279,18304,21199,1267.883,1085,1454
128,8.42,0,19,244.354,186,309,642.189,568,728,641931.262,640003,643745,483.286,417,553,18850.26,17560,20339,1187.123,983,1374
129,8.329,0,19,222.641,171,278,630.494,545,719,642952.822,641120,644700,483.973,418,555,18073.424,16846,19504,1110.875,941,1336
130,8.248,0,19,202.749,154,256,618.764,539,708,643927.002,642156,645638,484.558,418,555,17328.502,16161,18724,1040.024,885,1236
131,8.185,0,19,184.575,134,234,606.736,525,692,644856.682,643180,646464,485.152,419,555,16614.261,15496,17938,973.268,823,1144
132,8.118,0,18,168.18,122,218,594.848,514,674,645745.221,644196,647307,485.705,419,555,15927.962,14831,17201,910.12,757,1052
