day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,1266097.659,1265999,1266176,456.079,372,523,0.0,0,0,0.0,0,0,0.0,0,0,145.437,98,186,0.0,0,0
1,1265144.658,1264997,1265290,1066.947,925,1202,0.0,0,0,9.864,2,23,0.0,0,0,382.448,308,457,4.033,0,12
2,1263712.987,1263448,1263939,1968.638,1795,2146,0.0,0,0,36.229,16,57,0.0,0,0,738.687,647,833,14.649,2,29
3,1261514.409,1261115,1261873,3361.421,3060,3641,0.0,0,0,86.883,58,122,0.0,0,0,1269.553,1138,1415,34.904,15,59
4,1258084.611,1257520,1258656,5555.377,5140,5955,0.0,0,0,174.162,128,219,0.0,0,0,2073.486,1918,2259,69.889,45,98
5,1252684.987,1251804,1253549,9047.37,8453,9667,0.282,0,3,318.052,254,384,0.0,0,0,3306.912,3102,3589,124.198,87,168
6,1244106.71,1242650,1245425,14645.745,13711,15587,1.542,0,6,551.628,469,665,0.0,0,0,5230.127,4850,5621,205.428,160,255
7,1230446.713,1228440,1232545,23612.402,21938,25051,4.189,0,14,926.323,831,1023,0.0,0,0,8254.789,7741,8749,327.985,267,400
8,1208721.826,1205487,1212031,37889.851,35515,40106,8.762,1,19,1522.086,1385,1680,0.003,0,1,13057.63,12177,13895,518.571,438,609
9,1174317.8,1169006,1179428,60461.848,56793,64279,16.31,6,31,2462.602,2257,2653,0.006,0,1,20694.932,19304,22001,817.609,716,930
10,1120480.794,1112379,1128570,95537.839,90163,101093,28.074,13,51,3957.97,3643,4299,0.02,0,1,32805.217,30760,34702,1290.502,1156,1455
11,1038171.032,1025636,1050486,148328.726,140265,156679,46.316,26,69,6327.76,5880,6795,0.038,0,2,51845.848,49026,54781,2039.808,1839,2259
12,917036.503,899532,935651,223751.428,211866,234437,74.716,48,103,10077.837,9444,10713,0.063,0,2,81254.164,77052,85768,3223.974,2962,3528
13,749786.156,726527,775139,322125.675,306973,335370,118.509,87,159,15956.239,14970,16946,0.098,0,2,125354.749,118865,131793,5072.927,4751,5458
14,541574.212,514521,571035,431266.005,416637,444074,184.062,141,236,25039.299,23473,26524,0.208,0,3,188207.878,178730,197427,7912.232,7429,8415
15,321514.827,295995,349968,518770.454,509441,525752,278.467,224,328,38734.475,36478,41022,0.466,0,3,270897.86,259043,282372,12126.112,11269,12798
16,141235.481,123845,161364,539638.606,535970,543093,409.016,350,480,58579.38,55339,61854,0.972,0,5,367272.54,353741,378712,18071.224,16999,18982
17,39958.193,32958,48729,475142.87,462598,487864,570.653,493,668,85784.028,81811,90032,2.026,0,9,461638.954,449610,471729,25834.714,24561,26905
18,6297.243,4524,8467,362850.723,348801,379049,741.085,641,828,120640.399,115921,125835,4.249,0,12,535253.717,526860,542421,34950.736,33485,36357
19,505.574,240,856,257176.464,245955,269779,875.103,769,971,162282.376,156613,168193,8.487,1,19,578960.141,574559,583076,44348.278,43183,45593
20,24.276,0,94,178649.975,170687,188017,936.009,851,1026,209241.777,202967,215534,15.415,5,32,596254.616,593985,598252,52665.975,51543,53877
21,2.147,0,24,123806.119,118173,130271,948.203,855,1053,260053.354,253302,266905,25.193,11,44,594950.791,592291,597029,58815.862,57725,59936
22,0.357,0,7,85773.149,81815,90268,960.205,857,1062,313314.858,306662,320111,37.644,19,58,581612.418,578734,584275,62363.974,61511,63324
23,0.209,0,7,59427.78,56813,62465,968.306,862,1094,367642.279,361020,374565,52.119,31,80,560762.318,557373,563962,63532.842,62810,64466
24,0.127,0,6,41169.461,39241,43287,976.656,870,1100,421712.664,414921,428540,67.801,43,102,535505.994,531594,539223,62958.057,62030,63911
25,0.08,0,4,28527.186,27257,30167,981.956,875,1094,474511.427,468008,481404,83.817,50,116,507921.755,503838,512289,61228.637,60339,62062
26,0.053,0,3,19762.873,18798,20813,988.336,901,1101,525348.681,519115,532000,99.788,64,131,479446.519,475581,483758,58789.241,57935,59562
27,0.032,0,2,13690.366,13039,14528,991.932,900,1095,573849.135,567747,580433,115.218,80,152,450979.141,447050,455032,55951.736,55168,56775
28,0.021,0,2,9481.902,8971,10125,996.917,899,1112,619822.223,614061,626314,130.403,98,177,423117.737,419167,427059,52899.495,52125,53715
29,0.015,0,1,6568.873,6149,7017,999.699,913,1107,663183.19,657564,669509,144.959,110,203,396229.287,392356,399900,49801.239,49051,50611
