week commencing,65-74 years
2019-12-30,197
2020-01-06,288
2020-01-13,239
2020-01-20,231
2020-01-27,214
2020-02-03,211
2020-02-10,240
2020-02-17,224
2020-02-24,214
2020-03-02,217
2020-03-09,225
2020-03-16,228
2020-03-23,202
2020-03-30,333
2020-04-06,330
2020-04-13,295
2020-04-20,309
2020-04-27,270
2020-05-04,241
2020-05-11,231
2020-05-18,215
2020-05-25,197
2020-06-01,206
2020-06-08,205
2020-06-15,172
2020-06-22,171
2020-06-29,190
2020-07-06,194
2020-07-13,191
2020-07-20,161
2020-07-27,192
2020-08-03,208
2020-08-10,189
2020-08-17,204
2020-08-24,212
2020-08-31,221
2020-09-07,206
2020-09-14,174
2020-09-21,169
2020-09-28,221
2020-10-05,166
2020-10-12,193
2020-10-19,241
2020-10-26,243
2020-11-02,229
2020-11-09,238
2020-11-16,250
2020-11-23,248
2020-11-30,263
2020-12-07,238
2020-12-14,219
2020-12-21,226
2020-12-28,217
2021,1950
2021-01-04,323
2021-01-11,285
2021-01-18,277
2021-01-25,278
2021-02-01,261
2021-02-08,269
2021-02-15,257
