week commencing,45-64 years
2019-12-30,153
2020-01-06,215
2020-01-13,193
2020-01-20,171
2020-01-27,174
2020-02-03,170
2020-02-10,166
2020-02-17,151
2020-02-24,165
2020-03-02,173
2020-03-09,183
2020-03-16,189
2020-03-23,146
2020-03-30,226
2020-04-06,241
2020-04-13,214
2020-04-20,230
2020-04-27,207
2020-05-04,182
2020-05-11,203
2020-05-18,164
2020-05-25,165
2020-06-01,164
2020-06-08,139
2020-06-15,153
2020-06-22,139
2020-06-29,161
2020-07-06,146
2020-07-13,156
2020-07-20,153
2020-07-27,175
2020-08-03,153
2020-08-10,156
2020-08-17,158
2020-08-24,166
2020-08-31,172
2020-09-07,156
2020-09-14,154
2020-09-21,138
2020-09-28,199
2020-10-05,147
2020-10-12,148
2020-10-19,184
2020-10-26,172
2020-11-02,170
2020-11-09,207
2020-11-16,190
2020-11-23,199
2020-11-30,184
2020-12-07,175
2020-12-14,188
2020-12-21,193
2020-12-28,140
2021,1335
2021-01-04,241
2021-01-11,228
2021-01-18,220
2021-01-25,223
2021-02-01,215
2021-02-08,208
