week commencing,75-84 years
2019-12-30,372
2020-01-06,428
2020-01-13,385
2020-01-20,343
2020-01-27,368
2020-02-03,378
2020-02-10,328
2020-02-17,354
2020-02-24,333
2020-03-02,360
2020-03-09,331
2020-03-16,363
2020-03-23,317
2020-03-30,542
2020-04-06,641
2020-04-13,606
2020-04-20,578
2020-04-27,479
2020-05-04,467
2020-05-11,406
2020-05-18,349
2020-05-25,329
2020-06-01,322
2020-06-08,310
2020-06-15,334
2020-06-22,320
2020-06-29,279
2020-07-06,277
2020-07-13,295
2020-07-20,298
2020-07-27,309
2020-08-03,308
2020-08-10,243
2020-08-17,318
2020-08-24,299
2020-08-31,295
2020-09-07,321
2020-09-14,269
2020-09-21,265
2020-09-28,343
2020-10-05,338
2020-10-12,378
2020-10-19,336
2020-10-26,393
2020-11-02,372
2020-11-09,409
2020-11-16,351
2020-11-23,390
2020-11-30,368
2020-12-07,377
2020-12-14,386
2020-12-21,362
2020-12-28,378
2021,2756
2021-01-04,506
2021-01-11,428
2021-01-18,449
2021-01-25,478
2021-02-01,466
2021-02-08,429
