Date,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210410,Total,2183051,Dose 1,10501,0.481024034711053,2086713,95.58700186115671,50 years and over
20210410,Total,4541903,Dose 2,32055,,597731,,16 years and over
20210410,Total,4434138,Dose 2,32046,0.722710930512312,597138,13.466833914506,18 years and over
20210410,Total,2183051,Dose 2,29945,1.3717040966977,424904,19.4637688262894,50 years and over
20210411,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,393,,6146,,16 years and over
20210411,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210411,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,1253,,868165,,16 years and over
20210411,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,5420,,395278,,16 years and over
20210411,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,8195,,1794227,,16 years and over
20210411,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,3603,,211476,,16 years and over
20210411,Total,4541903,Dose 1,9841,,2668538,,16 years and over
20210411,Total,4434138,Dose 1,9827,0.22162142901280898,2661665,60.02666132628261,18 years and over
20210411,Total,2183051,Dose 1,6261,0.286800445798105,2092974,95.8738023069548,50 years and over
20210411,Total,4541903,Dose 2,9023,,606754,,16 years and over
20210411,Total,4434138,Dose 2,9012,0.20324130642753999,606150,13.6700752209336,18 years and over
20210411,Total,2183051,Dose 2,6863,0.314376530827727,431767,19.7781453571172,50 years and over
20210412,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,376,,6522,,16 years and over
20210412,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210412,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,2411,,870576,,16 years and over
20210412,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,7369,,402647,,16 years and over
20210412,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,11334,,1805561,,16 years and over
20210412,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,14037,,225513,,16 years and over
20210412,Total,4541903,Dose 1,14121,,2682659,,16 years and over
20210412,Total,4434138,Dose 1,14094,0.317852083088077,2675759,60.3445134093707,18 years and over
20210412,Total,2183051,Dose 1,9944,0.45550928494112103,2102918,96.3293115918959,50 years and over
20210412,Total,4541903,Dose 2,21406,,628160,,16 years and over
20210412,Total,4434138,Dose 2,21376,0.48207791458001503,627526,14.152153135513599,18 years and over
20210412,Total,2183051,Dose 2,18895,0.8655317718184321,450662,20.6436771289356,50 years and over
20210413,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,235,,6757,,16 years and over
20210413,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210413,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,3992,,874568,,16 years and over
20210413,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,8424,,411071,,16 years and over
20210413,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,8338,,1813899,,16 years and over
20210413,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,18235,,243748,,16 years and over
20210413,Total,4541903,Dose 1,12565,,2695224,,16 years and over
20210413,Total,4434138,Dose 1,12540,0.282805812538987,2688299,60.6273192219096,18 years and over
20210413,Total,2183051,Dose 1,9031,0.41368708289453604,2111949,96.7429986747905,50 years and over
20210413,Total,4541903,Dose 2,26659,,654819,,16 years and over
20210413,Total,4434138,Dose 2,26647,0.6009510754965229,654173,14.753104211010099,18 years and over
20210413,Total,2183051,Dose 2,23555,1.0789944898218102,474217,21.7226716187574,50 years and over
20210414,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,1584,,8341,,16 years and over
20210414,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210414,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,4880,,879448,,16 years and over
20210414,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,8853,,419924,,16 years and over
20210414,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,7904,,1821803,,16 years and over
20210414,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,21955,,265703,,16 years and over
20210414,Total,4541903,Dose 1,14368,,2709592,,16 years and over
20210414,Total,4434138,Dose 1,14250,0.32137024152157595,2702549,60.94868946343121,18 years and over
20210414,Total,2183051,Dose 1,9125,0.417992983214776,2121074,97.1609916580052,50 years and over
20210414,Total,4541903,Dose 2,30808,,685627,,16 years and over
20210414,Total,4434138,Dose 2,30784,0.694249930877208,684957,15.4473541418873,18 years and over
20210414,Total,2183051,Dose 2,27770,1.2720728924793798,501987,22.9947445112368,50 years and over
20210415,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,385,,8726,,16 years and over
20210415,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210415,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,5259,,884707,,16 years and over
20210415,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,7524,,427448,,16 years and over
20210415,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,6465,,1828268,,16 years and over
20210415,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,18139,,283842,,16 years and over
20210415,Total,4541903,Dose 1,12109,,2721701,,16 years and over
20210415,Total,4434138,Dose 1,11982,0.27022163044993197,2714531,61.218911093881204,18 years and over
20210415,Total,2183051,Dose 1,6059,0.277547340854611,2127133,97.43853899885981,50 years and over
20210415,Total,4541903,Dose 2,25663,,711290,,16 years and over
20210415,Total,4434138,Dose 2,25646,0.578376225548235,710603,16.0257303674356,18 years and over
20210415,Total,2183051,Dose 2,23034,1.05512880825963,525021,24.0498733194964,50 years and over
20210416,Covid-19 mRNA Vaccine Moderna,4541903,Dose 1,115,,8841,,16 years and over
20210416,Covid-19 mRNA Vaccine Moderna,4541903,Dose 2,0,,0,,16 years and over
20210416,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 1,4879,,889586,,16 years and over
20210416,Covid-19 mRNA Vaccine Pfizer,4541903,Dose 2,6630,,434078,,16 years and over
20210416,Covid-19 Vaccine AstraZeneca,4541903,Dose 1,5712,,1833980,,16 years and over
20210416,Covid-19 Vaccine AstraZeneca,4541903,Dose 2,17559,,301401,,16 years and over
20210416,Total,4541903,Dose 1,10706,,2732407,,16 years and over
