day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809655.95,809592,809735,366.038,299,426,0.0,0,0,0.0,0,0,0.0,0,0,64.473,38,93,0.0,0,0
1,809178.373,809074,809275,650.986,558,737,0.0,0,0,3.411,0,11,0.0,0,0,175.535,124,221,2.168,0,8
2,808695.626,808550,808832,874.623,790,987,0.0,0,0,12.765,4,26,0.0,0,0,320.171,251,378,8.172,1,21
3,808205.212,808021,808351,1056.185,928,1169,0.0,0,0,29.737,13,49,0.0,0,0,486.779,403,567,19.004,7,36
4,807706.977,807513,807879,1203.894,1074,1350,0.0,0,0,55.446,31,77,0.0,0,0,669.142,582,752,35.455,16,62
5,807199.2,806975,807388,1326.244,1225,1454,0.001,0,1,90.382,60,120,0.0,0,0,862.859,769,960,58.195,33,86
6,806681.858,806461,806876,1430.662,1310,1561,0.008,0,1,135.531,96,172,0.0,0,0,1063.334,945,1161,87.683,55,121
7,806154.016,805917,806359,1522.935,1380,1658,0.03,0,1,191.21,143,235,0.0,0,0,1267.225,1148,1388,123.549,84,163
8,805617.804,805362,805837,1600.106,1455,1727,0.1,0,2,258.781,199,321,0.0,0,0,1473.384,1348,1604,166.135,129,210
9,805070.639,804834,805278,1671.899,1510,1803,0.234,0,3,338.361,276,402,0.001,0,1,1677.911,1566,1836,214.806,172,258
10,804512.511,804242,804723,1736.555,1570,1878,0.465,0,4,428.319,355,506,0.002,0,1,1884.452,1760,2014,269.663,222,320
11,803945.134,803644,804194,1797.155,1655,1931,0.862,0,7,531.351,447,613,0.003,0,1,2086.141,1953,2233,330.085,276,397
12,803368.612,803090,803666,1852.763,1680,1983,1.429,0,7,646.281,558,738,0.005,0,1,2286.534,2111,2432,395.731,340,477
13,802781.61,802499,803059,1907.738,1747,2061,2.235,0,9,774.054,680,874,0.007,0,1,2482.803,2314,2629,465.751,402,559
14,802185.833,801898,802473,1958.631,1806,2107,3.276,0,10,915.193,819,1008,0.014,0,1,2676.278,2497,2843,539.375,471,631
15,801578.921,801303,801889,2008.241,1839,2197,4.642,0,14,1069.652,976,1179,0.022,0,2,2867.064,2709,3020,616.012,522,701
16,800962.184,800658,801277,2056.493,1922,2204,6.155,0,16,1237.291,1134,1340,0.038,0,2,3054.822,2891,3227,695.141,597,781
17,800338.269,800043,800633,2101.201,1941,2235,8.149,1,21,1419.694,1290,1527,0.053,0,2,3239.247,3060,3440,777.116,674,873
18,799704.42,799417,799993,2146.123,1984,2309,10.322,1,22,1615.627,1477,1744,0.071,0,2,3420.192,3241,3653,860.531,749,964
19,799060.973,798721,799357,2190.781,2016,2360,12.917,4,28,1826.124,1656,1958,0.11,0,2,3597.56,3398,3798,944.579,835,1067
20,798410.461,798082,798735,2231.116,2076,2391,16.024,5,32,2050.862,1886,2187,0.145,0,2,3771.76,3589,3983,1030.389,915,1149
21,797750.623,797417,798090,2270.7,2103,2432,19.316,8,36,2290.58,2110,2432,0.204,0,2,3942.363,3737,4145,1115.288,996,1230
22,797084.094,796732,797492,2309.543,2161,2476,22.766,10,41,2544.855,2375,2727,0.271,0,3,4108.196,3927,4331,1200.829,1082,1341
