day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,710059.523,709984,710134,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,366.803,299,439,0.0,0,0
1,708966.4,708825,709121,484.197,418,555,0.0,0,0,25.613,7,42,0.0,0,0,707.247,595,790,33.342,17,54
2,707432.984,707265,707668,925.094,831,1047,0.0,0,0,74.819,42,102,0.0,0,0,1315.54,1201,1436,95.882,68,134
3,705098.946,704855,705411,1726.211,1591,1867,0.0,0,0,166.696,129,219,0.0,0,0,2144.938,1941,2313,209.15,158,256
4,701672.852,701287,702081,2819.274,2611,3017,0.0,0,0,316.467,251,377,0.0,0,0,3399.071,3180,3584,391.043,326,455
5,696604.189,696054,697128,4466.352,4240,4721,3.609,0,13,579.867,495,675,0.0,0,0,5219.891,4943,5504,646.835,541,716
6,689170.07,688312,689878,6837.149,6502,7241,11.096,3,23,998.425,897,1095,0.047,0,2,7903.458,7553,8272,1018.06,895,1110
7,678302.274,676943,679391,10276.82,9844,10802,23.879,7,39,1652.464,1511,1790,0.174,0,3,11821.289,11403,12330,1554.855,1415,1687
8,662549.562,660560,664075,15170.581,14607,15785,43.903,22,63,2640.053,2468,2804,0.485,0,5,17530.604,16938,18432,2341.426,2148,2506
9,639953.168,637350,641900,22026.769,21334,22789,74.028,46,100,4119.419,3880,4382,1.108,0,6,25780.63,24886,26913,3483.085,3261,3702
10,608098.367,604690,610994,31305.918,30394,32484,117.995,82,154,6308.216,5975,6590,2.192,0,9,37564.499,36366,38854,5145.667,4870,5411
11,564236.005,559851,568102,43339.131,42103,44580,180.601,142,221,9517.0,9158,9964,4.186,0,10,54100.423,52655,55761,7537.07,7171,7890
12,505914.64,500221,510976,57837.084,56492,59357,267.923,215,322,14175.125,13682,14879,7.753,1,18,76702.002,74747,78869,10936.966,10494,11401
13,432186.963,425259,438406,73293.812,71857,75068,386.707,326,457,20830.832,20147,21574,13.982,5,26,106414.047,103763,109159,15679.044,15103,16308
14,345389.742,337682,352710,86426.528,85023,87712,542.946,474,648,30194.898,29184,31172,25.058,11,43,143317.059,140245,146615,22093.841,21384,22952
15,252768.428,245342,260465,92324.108,91310,93349,734.535,640,831,43037.39,41588,44508,44.684,28,70,185496.707,181967,189549,30432.193,29542,31413
16,166061.892,159688,172699,86489.006,85146,87769,949.154,851,1040,60110.77,58234,61881,79.177,52,110,228239.169,224933,231632,40629.98,39610,42008
17,97043.666,92599,101917,68875.347,66960,70865,1160.915,1047,1252,81953.218,79574,83946,137.437,106,178,264435.699,261749,267428,52088.355,50898,53771
18,51178.668,48429,54076,45781.498,43667,47776,1330.685,1225,1457,108668.919,105937,111181,230.02,180,278,287484.584,285667,289204,63528.59,62492,64720
19,25432.734,23712,26953,25702.053,24258,27406,1434.255,1328,1553,139885.095,136781,142800,367.416,318,438,294988.439,293709,296671,73127.687,71986,74143
20,12586.819,11635,13394,12824.128,11925,13796,1478.857,1366,1591,174819.111,171414,178302,552.741,479,639,289875.249,288436,291332,79157.008,78169,79985
21,6463.575,5981,6971,6112.402,5551,6559,1497.807,1340,1607,212439.715,208899,216270,779.029,688,873,277361.686,275589,278995,80707.856,79876,81587
22,3510.548,3227,3812,2947.562,2602,3220,1504.279,1369,1618,251494.784,248227,255134,1036.691,943,1166,261676.674,259999,263356,78000.012,76935,78890
23,3089.121,2842,3357,421.427,348,496,1500.77,1357,1616,290479.339,287068,294128,1308.83,1192,1468,245177.174,243410,246999,72223.223,71312,73236
24,2746.312,2502,2995,342.809,278,440,1486.184,1365,1589,327939.513,324605,331348,1578.579,1460,1755,228312.272,226789,229963,64907.298,63859,65903
25,2468.416,2242,2707,277.896,218,345,1464.51,1351,1572,362841.306,359949,366035,1829.967,1702,1986,212565.464,210975,214173,57197.967,56228,58097
26,2239.922,2022,2463,228.494,182,281,1435.689,1309,1548,394731.127,391921,397590,2057.159,1926,2216,197888.793,196494,199526,49867.634,48988,50821
