week commencing,Lothian
2020-03-16,2
2020-03-23,7
2020-03-30,32
2020-04-06,108
2020-04-13,109
2020-04-20,114
2020-04-27,99
2020-05-04,81
2020-05-11,54
2020-05-18,44
2020-05-25,24
2020-06-01,15
2020-06-08,11
2020-06-15,9
2020-06-22,4
2020-06-29,7
2020-07-06,5
2020-07-13,2
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,2
2020-08-17,1
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,3
2020-10-05,8
2020-10-12,17
2020-10-19,14
2020-10-26,16
2020-11-02,19
2020-11-09,31
2020-11-16,31
2020-11-23,28
2020-11-30,29
2020-12-07,40
2020-12-14,32
2020-12-21,24
2020-12-28,32
2021,297
2021-01-04,52
2021-01-11,48
2021-01-18,35
2021-01-25,58
2021-02-01,42
2021-02-08,33
2021-02-15,29
