date,Testing - New cases as percentage of people newly tested
2020-03-03,0.0
2020-03-04,0.0152671755725191
2020-03-05,0.0142857142857143
2020-03-06,0.0185873605947955
2020-03-07,0.032258064516129
2020-03-08,0.0072202166064982
2020-03-09,0.0347222222222222
2020-03-10,0.0300751879699248
2020-03-11,0.109756097560976
2020-03-12,0.0416666666666667
2020-03-13,0.0592417061611374
2020-03-14,0.0897755610972569
2020-03-15,0.060952380952381
2020-03-16,0.0274809160305344
2020-03-17,0.0683760683760684
2020-03-18,0.0378698224852071
2020-03-19,0.0572687224669604
2020-03-20,0.0719794344473008
2020-03-21,0.0719322990126939
2020-03-22,0.102380952380952
2020-03-23,0.121167883211679
2020-03-24,0.140728476821192
2020-03-25,0.190677966101695
2020-03-26,0.215782983970407
2020-03-27,0.209923664122137
2020-03-28,0.216279069767442
2020-03-29,0.183862433862434
2020-03-30,0.243537414965986
2020-03-31,0.33831628638867
2020-04-01,0.285071942446043
2020-04-02,0.260481712756467
2020-04-03,0.283582089552239
2020-04-04,0.27236737925574
2020-04-05,0.153944562899787
2020-04-06,0.28555431131019
2020-04-07,0.271805273833671
2020-04-08,0.27906976744186
2020-04-09,0.303405572755418
2020-04-10,0.28042328042328
2020-04-11,0.251798561151079
2020-04-12,0.265895953757225
2020-04-13,0.221745350500715
2020-04-14,0.279270633397313
2020-04-15,0.32258064516129
2020-04-16,0.266566265060241
2020-04-17,0.246586345381526
2020-04-18,0.257518796992481
2020-04-19,0.266134880348078
2020-04-20,0.241727941176471
2020-04-21,0.222222222222222
2020-04-22,0.227329192546584
2020-04-23,0.248993288590604
2020-04-24,0.223255813953488
2020-04-25,0.213253012048193
2020-04-26,0.193892045454545
2020-04-27,0.173262972735268
2020-04-28,0.16597510373444
2020-04-29,0.19772583701832
2020-04-30,0.204881181759794
2020-05-01,0.145904023267087
2020-05-02,0.128108869075551
2020-05-03,0.116279069767442
2020-05-04,0.12062812276945
2020-05-05,0.105882352941176
2020-05-06,0.149944873208379
2020-05-07,0.109026369168357
2020-05-08,0.107449856733524
2020-05-09,0.0820620725933719
2020-05-10,0.113764927718416
2020-05-11,0.102173913043478
2020-05-12,0.0902455209024552
2020-05-13,0.0761467889908257
2020-05-14,0.0744554455445545
2020-05-15,0.0718232044198895
2020-05-16,0.0560215698022768
2020-05-17,0.0437743190661479
2020-05-18,0.04453125
2020-05-19,0.0411883862255233
2020-05-20,0.0441785549930971
2020-05-21,0.0407134548274525
2020-05-22,0.0464256368118324
2020-05-23,0.0309677419354839
2020-05-24,0.0336889387984278
2020-05-25,0.0306406685236769
2020-05-26,0.0211370262390671
2020-05-27,0.0261406844106464
2020-05-28,0.0234489496824621
2020-05-29,0.0189873417721519
2020-05-30,0.0289626119010005
2020-05-31,0.0134529147982063
2020-06-01,0.0192102454642476
2020-06-02,0.0333543108873505
2020-06-03,0.0191304347826087
2020-06-04,0.0241617357001972
2020-06-05,0.013419713095789
2020-06-06,0.0117911285794497
2020-06-07,0.0122532334921715
2020-06-08,0.0151006711409396
2020-06-09,0.010844306738962
2020-06-10,0.0074580484773151
2020-06-11,0.00896151818661044
2020-06-12,0.0142630744849445
2020-06-13,0.00932504440497336
2020-06-14,0.0167560321715818
2020-06-15,0.000395521064906371
2020-06-16,0.0058411214953271
2020-06-17,0.00652985074626866
2020-06-18,0.00318379160636758
2020-06-19,0.0116479723899914
2020-06-20,0.00467037901922041
2020-06-21,0.00755374782103428
2020-06-22,0.00696517412935323
2020-06-23,0.00657894736842105
2020-06-24,0.00331247699668752
2020-06-25,0.001127649977447
2020-06-26,0.00289558848577755
2020-06-27,0.00527797325826882
2020-06-28,0.00190294957183635
2020-06-29,0.00168236877523553
2020-06-30,0.00516262261228704
2020-07-01,0.00245098039215686
2020-07-02,0.0013259082471493
2020-07-03,0.00258453586043506
2020-07-04,0.00294353759700294
2020-07-05,0.0028735632183908
2020-07-06,0.00139958012596221
2020-07-07,0.00113442994895065
2020-07-08,0.0029130253849355
2020-07-09,0.00160470714094678
2020-07-10,0.00380630154366674
2020-07-11,0.00239152716091561
2020-07-12,0.00534308211473566
2020-07-13,0.00307062436028659
2020-07-14,0.001388246182323
2020-07-15,0.00162707452001302
2020-07-16,0.00423402617397998
2020-07-17,0.00399623883403855
2020-07-18,0.00606410626624314
2020-07-19,0.00677866195107574
2020-07-20,0.00412249705535925
2020-07-21,0.00754716981132075
2020-07-22,0.00278164116828929
2020-07-23,0.00438236099698713
2020-07-24,0.00512032770097286
2020-07-25,0.00669642857142857
2020-07-26,0.00164203612479475
2020-07-27,0.00132275132275132
2020-07-28,0.00134770889487871
2020-07-29,0.00672577193518802
2020-07-30,0.00499412455934195
2020-07-31,0.00824402308326463
2020-08-01,0.00486223662884927
2020-08-02,0.011127063890883
2020-08-03,0.00733197556008147
2020-08-04,0.00889748549323017
2020-08-05,0.0133807233953586
2020-08-06,0.0117375066690379
2020-08-07,0.00906790383804302
2020-08-08,0.0131521262604121
2020-08-09,0.0130434782608696
2020-08-10,0.00782726045883941
2020-08-11,0.0118667275216796
2020-08-12,0.0100405896176031
2020-08-13,0.0104910714285714
2020-08-14,0.0156062424969988
2020-08-15,0.0114503816793893
2020-08-16,0.0105160185864515
2020-08-17,0.00699488835082055
2020-08-18,0.0103791569582716
2020-08-19,0.00924556213017752
2020-08-20,0.00959980052362548
2020-08-21,0.0104427121635535
2020-08-22,0.015203955500618
2020-08-23,0.00889126941617568
2020-08-24,0.0104895104895105
2020-08-25,0.00814814814814815
2020-08-26,0.00536429143314652
