date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-09-11,0,0,0,0,0,0,25,0,10,0,0,0,0,0
2020-09-12,0,0,0,0,0,0,25,0,6,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,25,0,7,0,0,0,0,0
2020-09-14,5,0,0,0,0,0,26,0,10,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,22,0,9,0,0,0,0,0
2020-09-16,0,0,0,0,0,0,25,0,9,0,0,0,0,0
2020-09-17,0,0,0,0,0,0,27,0,9,0,0,0,0,0
2020-09-18,0,0,0,0,0,0,33,0,9,5,0,0,0,0
2020-09-19,0,0,0,0,5,0,35,0,10,5,0,0,0,0
2020-09-20,0,0,0,0,5,0,34,0,10,5,0,0,0,0
2020-09-21,0,0,0,0,0,0,40,0,12,5,0,0,0,0
2020-09-22,0,0,0,0,0,0,37,0,13,6,0,0,0,0
2020-09-23,5,0,0,0,0,0,40,0,18,7,0,0,0,0
2020-09-24,0,0,0,0,0,0,38,0,23,8,0,0,0,0
2020-09-25,5,0,0,0,0,0,41,0,20,11,0,0,0,0
2020-09-26,7,0,0,0,0,0,45,0,22,11,0,0,0,0
2020-09-27,5,0,0,0,7,0,46,0,24,11,0,0,0,0
2020-09-28,5,0,0,0,6,0,51,0,33,17,0,0,0,0
2020-09-29,0,0,0,0,6,0,51,0,34,16,0,0,0,0
2020-09-30,5,0,0,0,5,0,60,0,33,24,0,0,0,0
2020-10-01,7,0,0,0,5,0,73,0,38,21,0,0,0,0
2020-10-02,9,0,0,0,5,0,87,0,43,19,0,0,0,0
2020-10-03,10,0,0,0,9,0,94,0,44,21,0,0,5,0
2020-10-04,14,0,0,0,10,0,98,0,50,23,0,0,5,0
2020-10-05,15,0,0,0,9,0,95,0,59,23,0,0,6,0
2020-10-06,19,0,0,5,13,0,112,0,65,31,0,0,9,0
2020-10-07,23,0,0,8,16,0,144,0,72,35,0,0,11,0
2020-10-08,22,0,0,7,17,5,177,0,86,39,0,0,13,0
2020-10-09,23,0,5,5,17,7,189,0,86,43,0,0,14,0
2020-10-10,26,0,0,5,15,11,204,0,92,53,0,0,13,0
2020-10-11,25,0,0,0,18,11,214,0,103,47,0,0,14,0
2020-10-12,29,6,6,0,19,14,220,0,114,54,0,0,16,0
2020-10-13,35,6,6,6,24,17,248,5,109,53,0,0,17,0
2020-10-14,36,5,6,7,29,20,257,5,122,65,0,0,17,0
2020-10-15,40,5,6,11,28,21,276,5,124,64,0,0,19,0
2020-10-16,47,5,5,9,28,23,290,0,139,60,0,0,15,0
2020-10-17,50,0,7,12,28,27,306,0,151,65,0,0,16,0
2020-10-18,64,5,7,12,27,29,301,0,169,74,0,0,17,0
2020-10-19,62,5,5,15,28,29,322,0,185,74,0,0,23,0
2020-10-20,57,5,5,18,30,32,344,0,218,83,0,0,25,0
2020-10-21,61,5,7,22,25,30,374,0,220,92,0,0,30,0
2020-10-22,67,5,9,20,30,30,406,5,227,97,0,0,33,0
2020-10-23,71,5,13,21,33,29,412,0,232,106,0,0,45,0
2020-10-24,70,6,13,23,34,30,426,0,230,107,0,0,39,0
2020-10-25,72,6,13,26,39,30,435,0,243,110,0,0,35,0
2020-10-26,83,6,16,27,43,28,446,0,252,108,0,0,37,0
2020-10-27,85,7,12,28,46,28,479,0,250,118,0,0,43,0
2020-10-28,81,0,10,23,40,27,486,0,254,131,0,0,57,0
2020-10-29,83,5,10,24,45,23,499,0,256,143,0,0,60,0
2020-10-30,81,0,8,27,45,23,512,0,259,151,0,0,58,0
2020-10-31,82,0,9,43,34,24,511,0,243,145,0,0,57,0
2020-11-01,88,0,7,46,33,29,527,0,266,140,0,0,60,0
2020-11-02,102,0,7,48,40,28,530,0,277,137,0,0,58,0
2020-11-03,105,6,6,50,43,32,518,0,281,155,0,0,63,0
2020-11-04,105,0,8,51,41,36,493,0,273,181,0,0,60,0
2020-11-05,101,0,5,59,46,30,500,0,261,181,0,0,61,0
2020-11-06,98,0,5,58,36,30,493,5,275,173,0,0,60,0
2020-11-07,102,0,8,55,36,30,477,9,285,182,0,0,57,0
2020-11-08,102,0,10,57,33,30,477,9,290,179,0,0,54,0
2020-11-09,107,0,9,58,34,32,476,9,276,169,0,0,53,0
2020-11-10,108,0,10,57,36,37,481,8,273,171,0,0,55,0
2020-11-11,114,0,9,55,32,37,476,8,276,173,0,0,51,0
2020-11-12,108,0,8,52,33,36,473,8,267,166,0,0,52,0
2020-11-13,106,0,9,56,35,39,490,7,264,166,0,0,53,0
2020-11-14,96,0,10,53,35,42,495,0,248,160,0,0,52,0
2020-11-15,101,0,11,53,33,46,492,0,262,169,0,0,65,0
2020-11-16,102,6,11,54,30,46,476,0,259,171,0,0,67,0
2020-11-17,109,8,10,55,33,44,487,0,260,172,0,0,66,0
2020-11-18,111,9,10,50,38,48,486,0,252,164,0,0,68,0
2020-11-19,122,12,12,52,37,46,456,0,239,163,0,0,66,0
2020-11-20,124,11,8,54,36,46,471,0,247,154,0,0,80,0
2020-11-21,113,11,9,51,30,47,449,0,252,154,0,0,75,0
2020-11-22,114,11,8,52,26,48,431,0,252,150,0,0,75,0
2020-11-23,120,11,7,50,26,51,450,0,259,152,0,0,79,0
2020-11-24,117,13,7,48,30,49,432,0,254,160,0,0,83,0
2020-11-25,107,12,6,55,33,55,415,0,246,155,0,0,69,0
2020-11-26,107,12,9,50,33,55,404,0,238,148,0,0,68,0
