date,Dumfries and Galloway
2019-12-30,37
2020-01-06,58
2020-01-13,42
2020-01-20,42
2020-01-27,43
2020-02-03,44
2020-02-10,43
2020-02-17,39
2020-02-24,37
2020-03-02,40
2020-03-09,36
2020-03-16,41
2020-03-23,28
2020-03-30,73
2020-04-06,53
2020-04-13,42
2020-04-20,43
2020-04-27,45
2020-05-04,35
2020-05-11,39
2020-05-18,31
2020-05-25,33
2020-06-01,31
2020-06-08,37
2020-06-15,42
2020-06-22,32
2020-06-29,37
2020-07-06,37
2020-07-13,31
2020-07-20,31
2020-07-27,43
2020-08-03,33
2020-08-10,30
2020-08-17,43
2020-08-24,28
2020-08-31,42
2020-09-07,40
2020-09-14,38
2020-09-21,34
2020-09-28,40
2020-10-05,37
2020-10-12,42
2020-10-19,42
2020-10-26,62
2020-11-02,31
2020-11-09,35
2020-11-16,33
2020-11-23,39
2020-11-30,39
2020-12-07,38
2020-12-14,31
2020-12-21,45
2020-12-28,51
2021,260
2021-01-04,53
2021-01-11,70
2021-01-18,62
2021-01-25,75
