date,45-64 years
2020-03-16,1
2020-03-23,12
2020-03-30,30
2020-04-06,64
2020-04-13,46
2020-04-20,54
2020-04-27,38
2020-05-04,35
2020-05-11,25
2020-05-18,12
2020-05-25,9
2020-06-01,9
2020-06-08,2
2020-06-15,3
2020-06-22,3
2020-06-29,2
2020-07-06,0
2020-07-13,0
2020-07-20,1
2020-07-27,2
2020-08-03,0
2020-08-10,1
2020-08-17,0
2020-08-24,1
2020-08-31,0
2020-09-07,0
2020-09-14,2
2020-09-21,1
2020-09-28,1
2020-10-05,4
2020-10-12,9
2020-10-19,14
2020-10-26,13
2020-11-02,20
2020-11-09,32
2020-11-16,31
2020-11-23,34
2020-11-30,19
2020-12-07,24
2020-12-14,14
2020-12-21,16
2020-12-28,14
2021,187
2021-01-04,34
2021-01-11,37
2021-01-18,58
2021-01-25,58
