date,North Ayrshire
2020-03-16,1
2020-03-23,5
2020-03-30,10
2020-04-06,15
2020-04-13,13
2020-04-20,11
2020-04-27,13
2020-05-04,7
2020-05-11,8
2020-05-18,12
2020-05-25,6
2020-06-01,3
2020-06-08,1
2020-06-15,0
2020-06-22,1
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,1
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,1
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,4
2020-10-26,7
2020-11-02,6
2020-11-09,13
2020-11-16,12
2020-11-23,8
2020-11-30,12
2020-12-07,13
2020-12-14,11
2020-12-21,7
2020-12-28,6
2021,76
2021-01-04,19
2021-01-11,19
2021-01-18,22
2021-01-25,16
