date,Aberdeen City
2020-03-16,1
2020-03-23,0
2020-03-30,2
2020-04-06,12
2020-04-13,18
2020-04-20,15
2020-04-27,15
2020-05-04,15
2020-05-11,16
2020-05-18,13
2020-05-25,3
2020-06-01,5
2020-06-08,5
2020-06-15,1
2020-06-22,1
2020-06-29,0
2020-07-06,0
2020-07-13,1
2020-07-20,0
2020-07-27,0
2020-08-03,0
2020-08-10,0
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,1
2020-09-14,1
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,1
2020-10-19,3
2020-10-26,4
2020-11-02,1
2020-11-09,3
2020-11-16,5
2020-11-23,7
2020-11-30,9
2020-12-07,7
2020-12-14,12
2020-12-21,6
2020-12-28,8
2021,71
2021-01-04,20
2021-01-11,10
2021-01-18,27
2021-01-25,14
