date,City of Edinburgh
2020-03-16,1
2020-03-23,3
2020-03-30,17
2020-04-06,61
2020-04-13,64
2020-04-20,72
2020-04-27,61
2020-05-04,43
2020-05-11,39
2020-05-18,26
2020-05-25,13
2020-06-01,8
2020-06-08,6
2020-06-15,6
2020-06-22,2
2020-06-29,1
2020-07-06,3
2020-07-13,1
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,0
2020-08-17,1
2020-08-24,0
2020-08-31,0
2020-09-07,0
2020-09-14,0
2020-09-21,0
2020-09-28,0
2020-10-05,3
2020-10-12,5
2020-10-19,6
2020-10-26,4
2020-11-02,12
2020-11-09,8
2020-11-16,10
2020-11-23,6
2020-11-30,7
2020-12-07,19
2020-12-14,12
2020-12-21,11
2020-12-28,24
2021,136
2021-01-04,34
2021-01-11,39
2021-01-18,23
2021-01-25,40
