date,male___65-74 years
2019-12-30,116
2020-01-06,161
2020-01-13,132
2020-01-20,127
2020-01-27,118
2020-02-03,119
2020-02-10,144
2020-02-17,123
2020-02-24,119
2020-03-02,131
2020-03-09,138
2020-03-16,137
2020-03-23,113
2020-03-30,206
2020-04-06,208
2020-04-13,180
2020-04-20,175
2020-04-27,144
2020-05-04,144
2020-05-11,133
2020-05-18,133
2020-05-25,116
2020-06-01,116
2020-06-08,113
2020-06-15,89
2020-06-22,97
2020-06-29,118
2020-07-06,104
2020-07-13,101
2020-07-20,102
2020-07-27,109
2020-08-03,128
2020-08-10,106
2020-08-17,111
2020-08-24,126
2020-08-31,130
2020-09-07,115
2020-09-14,92
2020-09-21,111
2020-09-28,122
2020-10-05,81
2020-10-12,104
2020-10-19,144
2020-10-26,151
2020-11-02,125
2020-11-09,132
2020-11-16,133
2020-11-23,144
2020-11-30,150
2020-12-07,132
2020-12-14,121
2020-12-21,138
2020-12-28,129
2021,159
2021-01-04,198
2021-01-11,173
2021-01-18,160
2021-01-25,161
