day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,638113.078,638076,638163,146.91,104,187,0.0,0,0,0.0,0,0,0.0,0,0,25.501,7,44,0.0,0,0
1,637892.443,637817,637949,319.99,262,393,0.0,0,0,1.09,0,5,0.0,0,0,70.938,43,98,0.037,0,2
2,637580.321,637461,637664,557.948,477,666,0.0,0,0,4.173,0,13,0.0,0,0,140.572,92,194,0.133,0,2
3,637132.095,636976,637270,896.66,787,1042,0.0,0,0,10.169,2,22,0.0,0,0,242.012,190,310,0.321,0,3
4,636485.056,636252,636653,1383.214,1253,1535,0.0,0,0,20.608,8,40,0.0,0,0,388.809,324,473,0.635,0,5
5,635559.305,635272,635763,2075.585,1901,2279,0.0,0,0,37.273,20,60,0.0,0,0,600.998,503,721,1.182,0,6
6,634235.622,633851,634537,3061.203,2817,3358,0.0,0,0,63.165,40,103,0.0,0,0,906.261,785,1048,2.018,0,7
7,632348.563,631828,632777,4463.082,4099,4835,0.002,0,1,101.779,70,141,0.0,0,0,1343.394,1208,1534,3.199,0,10
8,629663.014,628892,630284,6452.731,5948,6986,0.004,0,1,159.472,121,208,0.0,0,0,1967.885,1765,2183,4.985,0,12
9,625853.547,624912,626670,9263.489,8603,9954,0.007,0,1,244.135,193,311,0.0,0,0,2862.506,2640,3171,7.569,1,18
10,620470.298,619069,621741,13229.235,12145,14292,0.021,0,1,367.355,310,448,0.0,0,0,4128.987,3823,4497,11.325,2,23
11,612900.165,611149,614578,18784.015,17420,19990,0.037,0,2,544.678,467,650,0.0,0,0,5927.804,5527,6408,16.589,5,31
12,602294.912,599742,604427,26544.555,24887,28415,0.056,0,2,799.45,701,918,0.0,0,0,8462.483,7877,9108,24.11,9,41
13,587563.232,584323,590597,37262.714,35017,39499,0.096,0,2,1163.071,1028,1312,0.0,0,0,12034.106,11250,12954,34.922,16,57
14,567284.49,562589,571460,51917.162,48716,55380,0.149,0,2,1679.739,1499,1863,0.0,0,0,17031.969,15911,18274,50.026,31,76
15,539727.428,533530,545461,71648.317,67426,76109,0.244,0,3,2411.845,2212,2688,0.0,0,0,23973.018,22420,25538,71.076,49,103
16,502991.775,494718,510302,97595.027,92268,103309,0.418,0,4,3440.501,3169,3777,0.0,0,0,33522.982,31566,35835,100.83,68,143
17,455248.092,444573,464579,130659.025,123991,138032,0.614,0,5,4880.53,4521,5304,0.0,0,0,46477.071,44033,49454,142.548,100,188
18,395437.622,382480,406551,170820.067,163299,179382,0.935,0,6,6877.349,6372,7379,0.0,0,0,63747.663,60531,67595,200.139,138,245
19,324201.171,309510,337309,216367.888,207932,225528,1.4,0,7,9613.024,8982,10288,0.0,0,0,86202.185,82118,91230,278.354,211,328
20,245148.583,229907,258953,262891.401,254744,271154,2.007,0,9,13316.668,12506,14240,0.001,0,1,114397.622,109316,120745,383.971,313,448
21,165607.397,151193,178739,302920.421,295849,309023,2.928,0,10,18231.579,17185,19365,0.006,0,1,148229.685,142178,155503,523.245,447,598
22,95648.671,84346,106574,327343.177,323208,329777,4.14,0,11,24601.262,23285,25979,0.008,0,1,186512.37,179636,194835,702.207,615,800
23,76644.716,66781,86317,297151.685,294565,298456,5.82,0,16,32618.112,30984,34353,0.015,0,1,226742.599,219950,234816,924.668,827,1048
24,57940.563,49953,65810,271207.054,269239,272905,8.185,1,18,42359.343,40458,44441,0.019,0,1,260796.567,254156,268259,1188.712,1068,1340
