day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809841.994,809794,809902,254.827,199,303,0.0,0,0,0.0,0,0,0.0,0,0,20.005,9,37,0.0,0,0
1,809472.627,809392,809571,559.639,477,632,0.0,0,0,8.924,0,22,0.0,0,0,49.039,21,76,0.853,0,5
2,808972.397,808834,809118,959.206,827,1087,0.0,0,0,30.772,9,56,0.0,0,0,86.033,58,122,3.223,0,12
3,808288.383,808101,808493,1495.543,1324,1642,0.0,0,0,68.932,41,102,0.0,0,0,134.025,92,182,7.809,0,19
4,807351.112,807066,807593,2220.479,2025,2444,0.0,0,0,128.682,89,178,0.0,0,0,198.193,142,249,15.801,5,34
5,806071.267,805751,806385,3202.703,2958,3451,0.091,0,2,217.448,168,277,0.0,0,0,284.5,213,358,27.504,10,44
6,804327.993,803867,804715,4533.132,4183,4899,0.346,0,3,346.175,271,416,0.0,0,0,399.524,330,500,44.099,24,64
7,801960.265,801207,802479,6330.038,5941,6936,0.834,0,4,528.21,412,634,0.0,0,0,556.266,470,636,67.383,43,98
8,798748.954,797789,799497,8758.143,8137,9490,1.641,0,6,782.755,644,901,0.001,0,1,767.516,662,910,99.322,67,142
9,794395.289,793058,795379,12040.447,11269,13000,2.81,0,9,1135.354,964,1282,0.005,0,1,1052.478,942,1190,143.259,108,184
10,788526.112,786879,789911,16451.677,15378,17586,4.599,0,13,1621.47,1420,1828,0.011,0,1,1436.742,1285,1630,203.067,156,251
11,780629.558,778332,782525,22365.28,20981,24191,7.378,1,18,2287.607,2041,2553,0.017,0,2,1956.808,1775,2220,284.591,221,345
12,770043.873,767156,772479,30269.715,28543,32531,11.2,2,23,3195.559,2905,3523,0.025,0,2,2653.364,2358,2970,395.559,312,464
13,755943.349,752018,759268,40751.619,38305,43691,16.514,6,31,4429.766,4062,4830,0.038,0,2,3587.95,3234,3970,546.509,461,634
14,737275.403,731966,741738,54562.862,51267,58485,23.86,9,42,6101.38,5667,6628,0.057,0,3,4826.794,4391,5280,748.669,654,858
15,712780.647,705873,718623,72563.9,68311,77762,34.018,17,58,8352.726,7746,8981,0.104,0,3,6473.227,6044,6973,1021.5,897,1149
16,681014.445,672348,688944,95704.631,89815,101988,47.92,27,78,11374.641,10616,12271,0.157,0,3,8634.132,8073,9281,1387.224,1230,1544
17,640475.425,629484,650511,124879.02,117639,132678,67.03,42,97,15412.259,14489,16542,0.263,0,3,11434.004,10617,12242,1872.595,1684,2067
18,589791.559,576408,602536,160744.042,151723,169979,92.092,56,128,20765.509,19513,22255,0.395,0,3,15003.988,14090,16006,2518.185,2288,2770
19,528179.797,512438,543279,203285.52,192945,214083,125.114,87,160,27801.856,26204,29689,0.627,0,4,19469.228,18348,20804,3366.822,3063,3681
20,455990.983,437843,473408,251370.624,239825,263062,168.718,128,215,36949.977,34792,39356,0.97,0,5,24897.364,23593,26357,4469.108,4101,4817
21,375386.14,355959,394206,302185.058,290545,313850,225.467,180,276,48682.764,45860,51807,1.51,0,8,31224.238,29747,33149,5880.749,5414,6318
22,290797.12,270614,309714,350960.582,340677,362025,296.603,240,360,63457.349,59734,67389,2.477,0,8,38254.201,36438,40088,7654.547,7168,8240
23,273239.69,253437,291924,326941.077,318462,336064,384.124,313,458,81649.574,77161,86501,3.99,0,12,45529.84,43991,47149,9827.83,9160,10507
24,252936.82,233905,271374,308518.433,301320,316462,489.41,404,561,103450.729,98103,109160,6.206,0,15,47897.023,46447,49322,12421.203,11731,13146
25,231482.177,213352,249436,293430.432,287342,299666,608.924,527,689,126782.549,120780,133061,9.981,2,22,47921.833,46512,49369,15216.053,14385,16112
26,209861.92,192699,227069,280290.1,275578,285371,739.099,647,820,150706.908,143978,157565,15.633,6,31,46897.077,45652,48159,18008.907,17082,18949
27,188709.326,172675,205020,268248.886,265003,271634,869.554,766,975,174881.52,167589,182295,24.067,11,40,45405.928,44356,46606,20614.809,19777,21563
28,168489.322,153313,183975,256694.49,254655,258490,990.404,890,1087,199206.719,191277,207531,36.385,21,58,43747.539,42874,44904,22860.474,21896,23941
29,149489.52,135474,163791,245284.065,243911,246503,1084.93,974,1186,223499.68,215039,232485,52.371,31,76,42034.367,41072,42865,24809.484,23844,25806
30,131918.889,119132,145121,233803.758,232006,235516,1149.829,1055,1283,247653.767,238671,257199,71.858,46,99,40285.054,39551,40970,26500.386,25569,27517
31,115867.481,104086,128139,222158.528,219674,224070,1189.582,1085,1323,271561.018,262371,281308,94.526,68,131,38525.955,37661,39250,27957.554,26859,28922
32,101384.898,90771,112503,210316.527,207172,212906,1211.468,1115,1324,295139.194,285590,305257,119.562,89,156,36758.09,36059,37524,29201.669,28174,30159
33,88439.06,79009,98435,198346.453,194317,201781,1222.99,1118,1333,318336.788,308279,328818,146.402,109,190,34948.266,34258,35591,30243.102,29284,31295
34,76973.48,68706,85779,186323.828,181813,190339,1227.724,1126,1342,341067.823,331036,351811,175.001,129,224,33108.257,32376,33867,31086.876,30254,31902
35,66899.263,59542,74790,174331.287,169469,178589,1228.313,1125,1341,363262.162,353306,373868,204.751,159,256,31261.515,30363,32007,31749.904,30911,32610
36,58101.708,51617,65062,162479.684,157260,167487,1227.74,1119,1338,384871.407,375056,395202,235.566,183,294,29407.742,28543,30154,32237.13,31526,33058
37,50462.86,44781,56557,150877.753,145476,156162,1225.57,1109,1337,405842.469,395927,416031,267.466,215,323,27549.619,26659,28610,32562.73,31833,33354
38,43856.372,38933,49187,139607.396,134053,145153,1222.188,1093,1334,426125.501,416664,436173,299.805,247,358,25722.793,24615,26614,32727.854,32136,33410
39,38159.168,33850,42892,128772.626,123193,134411,1218.646,1097,1332,445690.882,436662,455684,332.613,278,404,23929.384,23145,24847,32747.171,32051,33383
40,33267.372,29460,37387,118411.734,112954,123933,1214.224,1108,1317,464523.055,455653,474391,365.523,304,430,22179.943,21278,23185,32636.881,31989,33236
41,29063.917,25766,32664,108591.114,103273,114007,1208.509,1099,1314,482595.99,473931,491997,398.307,340,471,20500.173,19472,21420,32400.708,31718,32933
42,25458.168,22630,28609,99329.809,94243,104637,1203.117,1096,1304,499896.808,491686,508935,431.353,368,505,18891.323,18020,19654,32062.012,31473,32708
43,22369.063,19916,25111,90653.888,85901,95674,1197.608,1104,1302,516441.303,508435,524999,464.34,397,545,17351.398,16405,18267,31621.738,31025,32253
44,19721.678,17514,22121,82558.419,78010,87364,1191.561,1100,1292,532226.68,524560,540425,496.655,426,581,15903.921,15110,16881,31080.472,30573,31779
45,17450.228,15520,19669,75051.74,70691,79327,1184.619,1089,1280,547267.189,539826,555184,528.524,453,609,14538.642,13714,15433,30465.895,29985,31068
46,15497.04,13779,17469,68110.091,63999,72128,1177.761,1080,1282,561578.701,554345,569326,559.849,492,640,13261.083,12469,13969,29787.818,29313,30335
47,13812.483,12297,15535,61722.769,57847,65446,1171.278,1064,1271,575177.404,568182,582575,591.085,522,672,12071.173,11261,12813,29048.76,28571,29576
48,12361.891,10953,13853,55858.863,52361,59349,1164.156,1064,1264,588073.992,581245,595224,621.443,549,703,10968.154,10200,11689,28268.07,27789,28937
49,11108.243,9825,12399,50500.95,47283,53808,1157.36,1052,1253,600305.296,593715,607111,651.161,574,734,9945.988,9312,10712,27447.875,26818,27958
50,10023.192,8893,11220,45603.675,42670,48557,1150.057,1056,1255,611892.069,605840,618640,680.159,603,770,9013.451,8272,9718,26598.15,25944,27245
51,9079.656,8044,10116,41147.008,38460,43945,1142.983,1059,1240,622856.548,616965,629285,708.039,634,803,8158.55,7492,8802,25728.994,25207,26456
52,8259.079,7323,9168,37093.137,34646,39772,1135.565,1048,1236,633229.465,627728,639368,735.36,657,825,7374.037,6807,7950,24843.86,24329,25388
53,7541.865,6698,8378,33417.269,31214,35869,1127.856,1035,1220,643044.41,637950,648760,762.007,680,845,6654.731,6215,7189,23950.386,23409,24581
54,6914.207,6184,7700,30086.915,28053,32307,1120.384,1036,1214,652317.077,647451,657872,787.691,707,872,6007.065,5506,6488,23059.803,22400,23655
55,6364.713,5712,7068,27069.514,25195,29189,1112.399,1019,1215,661078.04,656428,666215,812.453,732,902,5417.315,4967,5861,22169.114,21572,22758
56,5878.651,5259,6509,24347.927,22569,26328,1104.329,1019,1205,669346.816,664861,674256,836.416,760,926,4880.088,4480,5212,21288.923,20701,21932
57,5451.048,4893,6007,21893.673,20246,23642,1096.143,1006,1193,677159.332,672995,681908,859.225,783,947,4392.012,4036,4786,20420.108,19846,21100
58,5070.941,4551,5597,19678.938,18252,21220,1088.224,996,1190,684539.904,680575,689185,881.245,802,975,3950.103,3557,4322,19559.305,19025,20196
59,4732.848,4219,5192,17686.314,16367,19071,1080.114,984,1180,691497.557,687818,695821,902.55,818,987,3554.046,3188,3873,18715.707,18181,19366
60,4432.775,3951,4865,15892.245,14699,17194,1071.636,976,1163,698063.013,694572,702092,922.843,838,1015,3192.936,2879,3534,17899.077,17245,18403
61,4165.008,3721,4584,14275.069,13225,15513,1063.108,972,1150,704256.28,700892,708104,942.266,855,1029,2874.602,2606,3171,17097.882,16494,17589
62,3925.422,3479,4331,12824.14,11854,13931,1054.899,958,1141,710102.028,706845,713702,960.862,869,1050,2582.186,2291,2870,16316.217,15777,16802
63,3710.321,3270,4069,11522.558,10612,12515,1046.632,950,1131,715610.15,712539,719089,978.908,888,1069,2317.638,2100,2580,15565.091,15072,16125
64,3516.822,3099,3856,10351.188,9507,11220,1038.098,943,1120,720807.645,717860,724226,995.819,911,1097,2086.048,1861,2344,14833.937,14328,15416
