Index,p_inf,p_hcw,c_hcw,d,q,p_s,rrd,lambda,T_lat,juvp_s,T_inf,T_rec,T_sym,T_hos,K,inf_asym,total_deaths_mean,total_deaths_variance
119,0.303151547,0.147012922,20.67149118,0.346290206,0.42571473,0.130180635,1,0.000657238,2.356486661,0.992236784,1.05613251,7.376675833,9.32636891,28.81024525,10000,0.2890517,8581.507,9002.051951
120,0.201087492,0.435748761,4.782722754,0.468428403,0.166789242,0.477521368,1,0.000412016,4.527234095,0.488558143,2.40885599,10.18363673,0.882851403,34.3389435,10000,0.728928686,40189.436,37767.881904
121,0.462055231,0.485260584,76.39988751,0.090783621,0.305946591,0.216753234,1,0.000793128,9.984227173,0.465237841,9.919243032,21.75672546,8.334975033,9.998916965,10000,0.203589046,24256.062,24871.120156000004
122,0.682490601,0.493803867,48.54902971,0.393123388,0.268240003,0.991006776,1,0.000294461,13.24466854,0.804077631,12.3825292,24.73459584,8.722436949,15.36621159,10000,0.857540909,109446.515,101543.887775
123,0.21407752,0.517295465,59.5018614,0.804483615,0.493979028,0.175660292,1,0.000753082,6.504064611,0.36257988,18.86165237,27.36371887,2.879321771,17.08294281,10000,0.415557005,17565.377,16793.688871
124,0.921892096,0.131677877,35.40477707,0.095115496,0.933894868,0.60866425,1,0.000447211,7.865657122,0.7909003,15.91201087,7.577687274,13.9667975,12.37728794,10000,0.812507903,67599.948,66995.57129600001
125,0.638631882,0.831114968,25.13599454,0.642338832,0.823653001,0.71347176,1,0.000693745,10.43805383,0.005312116,8.053461239,13.88875326,5.592289917,9.806007425,10000,0.046163121,77404.391,70455.38411900001
126,0.766947182,0.809170174,51.50245169,0.939383465,0.313206714,0.272983038,1,0.000993518,9.407376238,0.764447075,0.752371939,22.68337651,0.360452032,26.85248446,10000,0.865897626,30841.297,31420.200791000003
127,0.565351041,0.321449523,70.11077899,0.18065028,0.579050061,0.198734577,1,0.000868221,8.054816804,0.029316747,1.458633309,6.10915489,5.569319909,26.52345424,10000,0.525697057,21178.067,19308.848511
128,0.583935428,0.708027599,67.12237021,0.353693834,0.353254742,0.276466811,1,0.000457621,2.442833603,0.273157137,7.031785487,19.34348628,3.201589156,27.87611214,10000,0.943750481,30597.894,31969.028764
129,0.889364165,0.930772499,56.23049335,0.174887965,0.638251845,0.407992892,1,0.000404832,11.02489462,0.695562626,19.56092344,8.140680578,4.527076472,7.420391188,10000,0.069468886,45504.197,42999.434191
130,0.623609502,0.26435122,8.859581876,0.397245216,0.039191412,0.90972134,1,0.000113958,13.18015503,0.794896622,4.443434614,15.52848032,13.28285473,31.05396615,10000,0.081667144,100434.557,93937.700751
131,0.338012859,0.336498983,66.45224575,0.742783721,0.554438257,0.601635261,1,0.000923078,7.380889335,0.82141672,9.191596421,2.757332229,1.599803396,4.794352274,10000,0.31320687,60457.846,57319.680284
132,0.721033428,0.66699964,2.469500489,0.446649498,0.686551,0.637893071,1,0.000521021,3.255523598,0.27893875,14.20439777,14.59621791,3.787639409,19.9928477,10000,0.1005579,70173.086,63075.506604
133,0.688639859,0.781426157,43.92587478,0.585535636,0.417306381,0.583061378,1,0.000915213,2.662629398,0.909539193,20.63213703,11.28995476,5.720117581,3.845642275,10000,0.819422501,64959.329,56626.256759
134,0.423632423,0.022154476,61.20489656,0.272655211,0.121916448,0.892290137,1,0.000107605,8.586607772,0.302311855,18.71436651,6.541076283,5.957367449,8.72228691,10000,0.62494988,97999.492,88129.84993600001
135,0.552519646,0.532741898,71.27697968,0.749226842,0.585770842,0.707689937,1,3.32e-05,11.97649786,0.745060798,11.08477978,4.169945361,2.147762005,19.31108493,10000,0.782350566,77890.149,70458.996799
136,0.55939341,0.406637546,33.17077831,0.205007921,0.710302698,0.149652798,1,0.000509346,5.904432277,0.061664846,8.795243149,2.503231571,6.850164953,7.999624879,10000,0.344073606,14558.897,14290.208390999998
137,0.811978288,0.316685905,37.22399877,0.684648776,0.094615485,0.973940167,1,3.09e-05,13.81961973,0.841825555,6.013488916,2.03807999,6.465999563,10.87770495,10000,0.109356457,107603.714,103229.528204
138,0.05236422,0.472843273,78.96218986,0.515690228,0.80242656,0.040975476,1,0.000961885,3.54043743,0.210734446,16.65520511,24.04675582,13.14075358,27.54840892,10000,0.167400575,210.87,215.5171
139,0.504960444,0.091530432,47.52869414,0.522530181,0.046941947,0.227012865,1,0.000843441,0.329724429,0.107409613,19.29748546,8.765356707,4.37288716,17.39599123,10000,0.215292141,24909.068,24430.217375999997
140,0.375988905,0.413908554,9.1211967,0.46970718,0.175985053,0.037096394,1,0.00038344,6.849301794,0.307337348,12.03766851,15.33029193,9.585185478,28.85606199,10000,0.057321594,1578.135,1859.462775
