week commencing,Care Home
2019-12-30,306
2020-01-06,356
2020-01-13,320
2020-01-20,295
2020-01-27,279
2020-02-03,287
2020-02-10,258
2020-02-17,267
2020-02-24,267
2020-03-02,288
2020-03-09,260
2020-03-16,275
2020-03-23,261
2020-03-30,443
2020-04-06,602
2020-04-13,683
2020-04-20,690
2020-04-27,639
2020-05-04,489
2020-05-11,436
2020-05-18,351
2020-05-25,295
2020-06-01,263
2020-06-08,236
2020-06-15,236
2020-06-22,227
2020-06-29,182
2020-07-06,200
2020-07-13,219
2020-07-20,210
2020-07-27,214
2020-08-03,210
2020-08-10,201
2020-08-17,234
2020-08-24,206
2020-08-31,216
2020-09-07,217
2020-09-14,207
2020-09-21,201
2020-09-28,263
2020-10-05,221
2020-10-12,248
2020-10-19,254
2020-10-26,248
2020-11-02,272
2020-11-09,293
2020-11-16,319
2020-11-23,304
2020-11-30,297
2020-12-07,271
2020-12-14,293
2020-12-21,275
2020-12-28,252
2021,1850
2021-01-04,389
2021-01-11,307
2021-01-18,318
2021-01-25,315
2021-02-01,291
2021-02-08,230
