day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,632068.386,631974,632147,499.959,423,579,0.0,0,0,0.0,0,0,0.0,0,0,3.167,0,10,0.0,0,0
1,631381.682,631268,631512,1029.771,930,1118,0.0,0,0,0.168,0,3,0.0,0,0,9.063,2,22,9.692,2,22
2,630515.952,630354,630666,1662.599,1532,1810,0.0,0,0,0.65,0,5,0.0,0,0,17.474,5,33,35.588,18,59
3,629385.51,629119,629580,2468.601,2318,2684,0.0,0,0,1.497,0,7,0.0,0,0,29.015,10,49,84.618,50,117
4,627873.94,627613,628147,3538.849,3337,3727,0.0,0,0,2.931,0,12,0.0,0,0,44.196,23,67,164.309,121,211
5,625819.405,625510,626182,4997.135,4714,5223,1.147,0,6,7.723,0,20,0.0,0,0,64.226,38,91,279.388,222,341
6,622988.023,622589,623372,7021.11,6745,7391,6.045,0,18,22.505,6,44,0.03,0,2,91.504,62,120,435.206,361,504
7,619050.001,618604,619675,9860.33,9421,10237,17.165,5,33,53.234,24,90,0.178,0,3,128.205,95,165,641.117,544,737
8,613539.104,612892,614238,13864.032,13230,14392,35.321,12,58,104.386,62,150,0.65,0,5,178.791,139,225,915.219,790,1038
9,605775.797,604792,606667,19540.985,18782,20343,62.642,35,94,183.604,123,238,1.628,0,7,248.372,200,297,1284.481,1132,1431
10,594838.007,593539,596129,27570.823,26540,28686,101.667,71,138,299.279,212,373,3.476,0,10,346.183,288,402,1786.015,1594,1924
11,579460.216,577558,581352,38883.198,37422,40339,155.439,115,199,465.439,382,567,6.81,1,19,482.557,409,549,2475.696,2276,2649
12,558029.46,555533,560699,54616.276,52457,56458,226.381,179,278,699.231,597,809,12.703,3,26,674.376,582,745,3437.794,3178,3637
13,528585.901,525283,532081,76090.188,73470,78559,320.75,266,379,1028.533,909,1176,22.989,6,44,941.737,844,1045,4776.012,4402,5086
14,489087.95,484524,493837,104521.557,101096,107759,439.802,367,507,1486.939,1337,1655,40.455,23,60,1313.515,1193,1429,6655.957,6328,7016
15,437945.567,431716,444385,140484.246,135752,144705,590.259,510,681,2136.673,1966,2322,71.354,47,101,1820.997,1684,1956,9272.466,8770,9719
16,375033.055,367644,382885,183028.268,177624,187838,770.558,683,898,3054.973,2782,3289,125.432,90,164,2498.545,2320,2688,12897.665,12399,13479
17,302908.241,294735,312067,228642.103,222929,233650,971.051,875,1101,4363.714,4055,4676,219.31,174,288,3375.825,3175,3599,17840.451,17045,18517
18,227483.716,219541,236516,270965.531,266296,275346,1172.538,1074,1279,6235.774,5915,6602,379.943,305,451,4459.139,4211,4687,24409.262,23499,25446
19,157075.502,150143,165483,302153.876,298704,305293,1340.92,1226,1477,8903.783,8404,9378,645.589,566,743,5718.263,5440,6018,32865.271,31773,34066
20,99291.106,94137,105806,316238.085,314696,318085,1445.878,1341,1580,12654.572,11907,13437,1061.66,951,1176,7085.215,6778,7449,43289.482,41887,44962
21,57736.461,54275,62086,312051.479,310190,313883,1486.757,1371,1630,17838.629,16863,18550,1672.837,1511,1822,8464.791,8163,8795,55424.531,54031,57482
22,31317.612,29114,33873,293353.698,290465,296660,1501.149,1377,1632,24855.391,23740,25862,2519.734,2357,2702,9753.847,9456,10073,68649.254,66824,70288
23,19234.05,17645,20844,263020.41,259785,266337,1514.531,1385,1646,34062.721,32861,35226,3641.278,3422,3866,10879.489,10539,11260,82119.521,80331,83959
24,11552.241,10524,12589,232675.891,229175,236304,1527.722,1398,1684,45848.834,44369,47351,5086.07,4817,5471,11782.133,11443,12110,94774.281,92945,96528
25,6878.156,6075,7528,203707.969,200280,207171,1545.464,1401,1717,60422.254,58552,62467,6882.497,6543,7273,12478.779,12132,12840,105635.79,103591,106989
26,4108.986,3680,4594,177024.649,173407,180261,1566.845,1394,1799,77755.223,75455,80188,9031.815,8618,9463,12985.138,12602,13391,114079.253,112309,115539
27,2486.309,2203,2795,153043.621,149995,155975,1622.046,1428,1890,97597.96,95147,100306,11490.452,10949,12076,13322.782,12937,13711,119810.834,118445,120985
28,1534.317,1340,1764,131869.413,129166,134497,1668.046,1436,1978,119544.118,116664,122535,14217.495,13749,14934,13513.929,13126,13905,122869.08,121438,124284
29,971.157,852,1142,113360.784,110784,115718,1691.608,1459,2005,142998.448,139607,146448,17145.735,16544,17899,13579.075,13204,13952,123574.895,122271,124794
30,632.156,543,762,97309.897,95049,99520,1734.413,1480,2065,167416.328,164083,170374,20188.833,19586,21016,13539.411,13154,13903,122233.466,120923,123838
31,422.815,347,516,83450.324,81428,85298,1776.417,1504,2062,192216.836,189003,195402,23285.668,22699,24036,13414.407,13065,13763,119319.428,118157,120689
32,291.676,230,366,71514.363,69830,73180,1805.509,1586,2102,216958.859,213680,220156,26381.09,25813,27147,13222.02,12904,13581,115220.358,113643,116674
33,207.122,155,265,61259.321,59891,62812,1843.29,1628,2149,241294.764,238027,244600,29417.421,28816,30056,12972.998,12654,13347,110225.213,108618,111684
34,151.213,109,201,52454.576,51142,53848,1873.768,1642,2162,264928.006,261854,268801,32367.677,31703,33045,12679.297,12341,13068,104639.495,103222,106115
35,113.212,76,151,44904.097,43740,46141,1907.688,1672,2180,287672.257,284612,290627,35206.17,34603,35893,12354.478,12012,12702,98658.087,97207,100062
36,86.694,57,122,38442.557,37463,39493,1935.554,1733,2221,309340.835,306534,312363,37906.607,37225,38632,12001.487,11677,12348,92519.642,91105,93971
37,67.968,38,94,32896.447,32060,33766,1963.702,1771,2223,329876.746,327214,333163,40464.994,39797,41177,11630.903,11311,11986,86316.372,84783,87815
38,54.803,31,83,28152.007,27386,28928,1994.654,1793,2218,349182.182,346328,352058,42868.241,42204,43558,11248.693,10943,11553,80186.863,78882,81486
39,44.868,25,73,24093.089,23448,24772,2016.812,1838,2233,367268.223,364387,370338,45120.557,44399,45934,10860.914,10568,11150,74205.167,72953,75628
40,37.451,20,63,20620.399,20065,21175,2045.115,1867,2260,384127.751,381659,386564,47213.746,46426,48038,10467.359,10176,10787,68428.808,67278,69653
41,31.876,13,54,17645.355,17147,18150,2069.254,1892,2258,399769.319,397659,402070,49155.623,48412,49879,10074.265,9770,10422,62920.167,61712,64230
42,27.394,9,47,15098.206,14601,15552,2097.907,1917,2276,414253.991,412266,416493,50948.121,50191,51706,9683.232,9330,9994,57679.143,56539,58812
43,23.915,8,45,12918.29,12508,13434,2120.607,1943,2276,427601.06,425761,429783,52598.336,51841,53335,9297.441,8994,9586,52763.652,51398,53905
44,21.223,8,40,11051.576,10677,11445,2144.942,1974,2287,439865.823,438086,442032,54112.343,53372,54870,8918.706,8596,9207,48169.593,47180,49065
45,19.005,6,37,9456.754,9090,9848,2163.34,2013,2308,451137.903,449647,452827,55503.341,54752,56231,8548.755,8262,8817,43870.674,42920,45017
46,17.195,5,32,8090.226,7761,8422,2182.247,2039,2313,461448.328,459855,463019,56770.838,56027,57483,8187.552,7904,8443,39897.163,38869,40887
47,15.649,4,32,6922.333,6608,7232,2197.073,2071,2313,470856.621,469416,472295,57925.366,57169,58667,7836.551,7523,8126,36230.531,35217,37300
48,14.427,4,30,5922.816,5608,6197,2210.51,2095,2345,479456.402,477851,480934,58979.322,58172,59741,7496.515,7188,7778,32830.607,31955,33828
49,13.407,4,29,5067.367,4747,5366,2221.627,2099,2339,487279.175,485596,488585,59936.616,59155,60677,7167.949,6869,7454,29723.369,28996,30592
50,12.547,4,27,4335.468,4052,4609,2230.418,2105,2358,494408.204,493167,495759,60805.421,60068,61494,6848.899,6553,7153,26861.034,26020,27780
51,11.834,3,27,3709.235,3463,3961,2236.821,2113,2374,500871.557,499576,502253,61592.651,60888,62317,6542.48,6223,6854,24255.383,23504,24989
52,11.232,3,26,3173.648,2966,3420,2240.449,2087,2378,506740.903,505438,508044,62306.003,61586,63028,6247.186,5924,6520,21873.427,21279,22576
53,10.698,2,25,2715.56,2479,2982,2241.29,2074,2391,512058.767,510842,513319,62950.426,62248,63681,5964.013,5657,6229,19707.072,19138,20398
54,10.242,2,23,2324.73,2139,2550,2240.941,2082,2402,516870.754,515764,518143,63533.305,62790,64277,5690.346,5400,5946,17740.429,16958,18486
55,9.866,2,22,1988.163,1837,2202,2237.217,2096,2397,521235.442,520168,522440,64061.333,63343,64759,5428.919,5144,5686,15947.052,15310,16532
56,9.538,2,22,1700.922,1558,1895,2230.032,2097,2378,525174.698,524201,526273,64537.338,63811,65267,5177.93,4881,5407,14329.205,13703,14836
57,9.26,2,21,1455.609,1341,1633,2221.06,2080,2381,528732.761,527756,529742,64966.455,64225,65711,4937.268,4641,5155,12867.852,12305,13392
58,9.025,2,20,1245.475,1129,1395,2208.704,2070,2351,531953.711,530962,533052,65354.174,64638,66076,4706.723,4409,4921,11542.192,10877,12062
59,8.806,2,20,1065.534,950,1195,2193.335,2067,2338,534858.672,533938,535895,65703.701,64971,66407,4486.609,4212,4692,10347.706,9878,10863
60,8.623,1,20,911.07,797,1002,2176.861,2052,2313,537484.085,536485,538477,66019.312,65294,66732,4276.165,4007,4488,9265.092,8869,9664
61,8.467,1,20,779.607,693,864,2156.686,2041,2302,539847.094,538869,540860,66302.364,65582,67030,4074.45,3800,4276,8302.135,7868,8893
62,8.295,1,20,667.227,592,756,2134.4,2004,2281,541978.23,541120,542941,66558.65,65827,67250,3881.918,3607,4081,7435.398,7099,7830
63,8.159,1,20,570.952,496,648,2109.83,1988,2267,543908.435,543061,544774,66789.056,66084,67468,3698.24,3456,3896,6649.403,6289,7012
64,8.027,1,20,488.139,412,570,2082.33,1969,2220,545648.488,544899,546570,66998.495,66270,67698,3522.488,3286,3709,5941.852,5574,6324
65,7.917,1,20,417.623,354,486,2052.737,1936,2183,547217.2,546425,548099,67187.488,66451,67867,3355.568,3138,3542,5308.459,4999,5645
66,7.817,1,20,357.557,298,434,2020.04,1904,2145,548636.666,547869,549458,67358.236,66623,68040,3196.162,3001,3383,4739.104,4440,5037
67,7.737,1,20,305.794,247,371,1986.665,1870,2112,549920.61,549180,550795,67513.367,66770,68205,3043.512,2856,3230,4224.807,3951,4520
68,7.668,1,20,261.493,202,312,1949.877,1822,2073,551073.477,550349,551880,67653.407,66909,68344,2898.254,2705,3065,3772.313,3513,4012
69,7.598,1,20,223.785,168,276,1912.078,1790,2048,552114.058,551391,552913,67781.452,67055,68484,2759.793,2597,2924,3367.856,3140,3639
70,7.545,1,20,191.395,142,236,1871.993,1742,2000,553058.286,552364,553849,67898.526,67150,68595,2627.985,2466,2789,3002.007,2777,3253
71,7.495,1,20,163.618,123,210,1830.503,1713,1947,553910.961,553202,554767,68004.271,67283,68699,2502.551,2346,2664,2675.979,2465,2924
72,7.436,1,20,139.91,104,184,1787.037,1664,1927,554682.678,553937,555519,68101.304,67368,68791,2382.846,2219,2544,2384.961,2172,2634
73,7.392,1,20,119.491,86,156,1742.194,1635,1889,555385.937,554650,556231,68190.102,67451,68864,2267.974,2093,2424,2122.447,1957,2316
74,7.364,1,20,102.437,72,141,1696.206,1590,1830,556018.185,555290,556819,68271.245,67545,68955,2159.731,1990,2312,1891.16,1729,2087
75,7.336,1,20,87.452,60,127,1649.56,1541,1784,556593.918,555875,557384,68345.764,67627,69033,2056.089,1906,2200,1683.106,1511,1837
76,7.303,1,20,74.807,48,113,1601.805,1486,1729,557116.975,556350,557949,68414.725,67699,69094,1957.422,1808,2101,1496.753,1319,1720
77,7.273,1,20,64.13,38,92,1553.575,1438,1670,557592.687,556848,558410,68478.048,67758,69167,1863.263,1730,2001,1331.395,1174,1486
78,7.248,1,20,54.922,35,86,1505.322,1392,1621,558024.272,557253,558832,68536.12,67806,69232,1773.398,1625,1919,1185.724,1037,1364
79,7.228,1,20,47.09,28,76,1456.428,1357,1582,558418.887,557627,559239,68590.664,67869,69295,1687.942,1536,1850,1053.529,919,1183
80,7.213,1,20,40.207,20,64,1407.556,1306,1536,558775.885,558045,559546,68640.839,67917,69340,1606.827,1459,1756,938.713,798,1061
81,7.196,1,20,34.515,17,56,1358.282,1254,1482,559103.85,558421,559877,68687.932,67970,69385,1529.429,1385,1678,834.804,728,973
