age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,95898.74060804023,95255.04522613065,96601.97989949748,43928.67738693468,43131.07537688442,44767.0,676.2199396984923,608.7788944723618,751.0954773869347,1035535.9108241206,1034649.9899497487,1036375.4070351758,909.9518190954774,825.6381909547739,996.9497487437186,16254.258000000002,15920.180904522613,16571.638190954774,25560.067542713572,25128.78894472362,25999.984924623117,average
1,99.0,44487.89750753769,44152.9648241206,44857.68341708543,22138.439572864325,21673.291457286432,22601.100502512563,320.54940201005024,276.8241206030151,368.34170854271355,527146.336758794,526601.0301507538,527710.6130653266,1013.2857839195979,903.0653266331658,1128.0552763819096,2502.0162110552765,2383.5577889447236,2625.100502512563,14135.740005025127,13831.577889447237,14437.195979899498,average
2,99.0,47239.65612562814,46886.70351758794,47634.85427135678,23080.085547738694,22592.743718592967,23540.19095477387,336.5050753768844,291.95477386934675,386.1959798994975,548723.2980402011,548148.0854271357,549288.6783919598,1054.8639648241206,955.9145728643216,1166.356783919598,2607.071090452261,2477.959798994975,2726.8391959798996,14737.375914572864,14429.78391959799,15052.060301507538,average
3,99.0,57101.395281407036,56674.27638190955,57558.39698492462,28097.693180904524,27548.26633165829,28690.417085427136,359.9665728643216,312.6281407035176,410.7889447236181,667195.4767889448,666486.1859296482,667873.512562814,2572.02208040201,2414.547738693467,2720.180904522613,3176.153778894473,3047.1507537688444,3301.4874371859296,17941.510286432163,17582.934673366835,18294.53768844221,average
4,99.0,51574.33948743719,51196.93969849246,51983.29145728643,24647.841738693463,24157.472361809047,25164.954773869347,375.80965326633157,327.88442211055275,427.80904522613065,578687.0509246232,577922.3768844221,579416.8090452261,7307.820407035176,7003.21608040201,7554.849246231156,2784.591165829146,2664.0150753768844,2906.643216080402,15739.197613065326,15400.346733668342,16070.402010050251,average
5,99.0,49083.13812562814,48747.51256281407,49442.07537688442,20840.805226130655,20461.668341708544,21248.798994974873,476.4466934673367,421.99497487437185,540.2562814070352,473064.62590452266,472313.06532663316,473784.2361809045,16939.620427135676,16568.381909547737,17339.497487437187,2355.8731155778896,2240.165829145729,2472.477386934673,13311.423703517587,13018.984924623115,13609.467336683418,average
6,99.0,53906.226437185935,53550.909547738695,54304.51256281407,21935.077010050252,21502.015075376883,22358.256281407033,761.2612914572865,690.4070351758794,841.8291457286432,457036.5963216081,456144.3266331658,457982.73869346734,56217.81896482412,55594.97487437186,56821.53768844221,2478.2590653266334,2359.954773869347,2593.763819095477,14011.498743718594,13710.417085427136,14317.386934673366,average
7,99.0,9535.02775879397,9425.61809045226,9645.532663316582,3930.6952914572857,3788.105527638191,4092.407035175879,44.45920603015075,29.170854271356784,62.608040201005025,91466.96255778895,91263.1407035176,91667.23115577889,464.0376834170855,401.9497487437186,523.2713567839196,443.3246733668342,397.8040201005025,493.91959798994975,2505.1936582914573,2390.0804020100504,2620.5125628140704,average
,,51103.3026664573,50736.246231155776,51503.54082914573,23574.914369346734,23106.82977386935,24057.890703517587,418.90222927135676,369.95540201005025,473.61557788944725,547357.0322650755,546691.0251256281,548012.4032663316,10809.927641331657,10583.46105527638,11031.337311557787,4075.1933875628147,3936.348618090452,4211.483668341709,14742.750933417086,14436.61432160804,15050.193467336685,aoa
,,23425.811546628815,23280.893043295884,23585.960523802998,10916.896787287396,10736.488870151932,11105.620466456521,223.20203080136935,206.46066753652127,242.22619402934342,260654.30792276387,260488.90943781842,260804.0355292438,19182.432403943385,18998.80802668248,19361.95771240933,4987.563711571947,4905.4364963706785,5063.6850683804905,6335.264484654028,6246.974591601865,6424.8397628100865,std
