local authority,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S12000021,1208,1207,1323,1331,1373,1349,1477,1554,1411,1567,1501,1566,1537,1489,1427,1460,1396,1506,1435,1464,1562,1610,1568,1664,1671,1556,1518,1569,1347,1462,1531,1394,1395,1359,1336,1333,1439,1405,1409,1384,1316,1287,1515,1513,1590,1694,1804,1947,1933,2043,2037,2102,2072,2164,2250,2154,2134,2006,2010,2103,1994,1901,1917,1817,1810,1820,1724,1742,1707,1818,1914,2023,1487,1420,1438,1361,1231,1083,1164,980,941,813,778,671,639,584,570,421,321,297,1127
S12000023,178,207,180,208,193,215,222,249,226,244,248,255,242,246,211,220,229,215,197,205,186,202,214,231,218,254,230,245,261,225,254,270,233,269,213,246,234,228,244,265,222,207,242,253,252,286,287,301,330,319,349,364,377,378,354,381,331,356,347,335,309,350,313,307,294,331,288,316,280,309,292,333,243,236,261,245,253,161,215,181,180,150,122,133,119,87,77,76,88,59,199
S12000026,1017,1015,1127,1100,1227,1270,1236,1254,1183,1262,1262,1226,1238,1255,1232,1142,1191,1197,1196,1101,1076,1139,1152,1110,1076,1114,1026,957,1087,994,1038,1012,1082,1075,1108,1120,1168,1148,1249,1107,1028,1080,1238,1324,1370,1466,1672,1690,1694,1798,1840,1871,1902,1915,1880,1963,1849,1824,1819,1836,1760,1775,1683,1708,1613,1628,1554,1604,1629,1663,1779,1962,1422,1302,1320,1255,1059,975,1007,1002,907,821,715,680,618,534,451,469,392,331,1024
S12000027,216,247,257,237,238,285,269,284,285,282,241,283,301,264,254,262,243,241,274,221,221,231,243,249,260,244,269,251,267,256,291,316,282,254,245,251,270,293,278,289,235,312,263,290,300,335,324,330,329,319,350,333,359,341,375,355,341,355,305,301,315,291,322,329,282,270,277,284,286,270,273,303,210,215,201,230,203,159,169,139,141,127,112,120,92,79,64,62,51,56,162
S12000028,938,952,1061,1107,1039,1074,1087,1206,1159,1172,1182,1154,1108,1185,1121,1093,1094,1149,1172,1125,1196,1220,1151,1164,1241,1119,1118,1111,1076,1107,1119,1194,1069,1096,1084,1016,1194,1214,1200,1157,1052,1098,1172,1239,1273,1387,1496,1563,1588,1555,1713,1688,1691,1822,1844,1813,1783,1829,1692,1741,1757,1700,1612,1587,1645,1615,1565,1551,1563,1632,1624,1842,1397,1318,1327,1271,1117,999,992,913,944,858,784,736,609,604,507,476,383,311,1248
S12000029,3198,3358,3343,3472,3432,3533,3604,3669,3466,3593,3642,3550,3479,3380,3365,3176,3286,3395,3487,3484,3354,3544,3532,3545,3782,3737,3846,3724,3528,3514,3613,3577,3782,3842,3815,3835,4114,4264,4166,3895,3752,3643,3792,3960,4053,4269,4617,4831,4825,4933,5004,5054,4810,5068,5237,5095,4939,4929,4859,4746,4450,4424,4333,4056,4123,3880,3716,3573,3522,3573,3709,3878,2987,2716,2852,2660,2395,2239,2145,1994,1967,1803,1742,1458,1373,1254,1081,983,775,691,2331
S12000030,815,802,901,856,920,940,992,975,958,1000,1022,1053,1051,1065,1117,1047,977,1060,1250,1530,1672,1802,1603,1502,1332,1212,1337,1313,1351,1287,1125,1046,979,964,1009,987,1089,947,988,1100,1022,1033,1068,1065,1061,1219,1285,1331,1453,1396,1438,1337,1453,1528,1420,1429,1339,1344,1338,1198,1212,1181,1082,1064,1056,1070,982,1013,984,1002,1054,1232,888,760,874,800,722,664,667,660,554,592,498,498,376,373,357,244,212,206,720
S12000033,2304,2331,2470,2357,2289,2360,2388,2339,2246,2184,2177,2033,1938,1899,1777,1741,1742,1843,2186,2961,3455,4011,3845,3728,3586,4090,4841,5017,4773,4721,4405,4280,4172,3997,3640,3823,3600,3505,3344,3114,2859,2768,2773,2713,2666,2851,2822,2908,2675,2834,2862,2836,2795,2983,2838,3010,2921,2673,2716,2669,2627,2533,2512,2382,2290,2120,2141,2029,2025,2168,2051,2299,1669,1379,1416,1425,1395,1211,1268,1169,1184,1085,1012,954,853,769,763,587,536,467,1557
S12000034,2768,2777,2985,2958,3076,3005,3094,3302,3432,3383,3278,3117,3114,2945,2918,2881,2782,2779,2771,2539,2492,2375,2444,2664,2714,2620,2555,2640,2705,2729,2898,2960,3025,3193,3173,3290,3474,3522,3481,3367,3267,3332,3448,3381,3623,3819,3905,4107,3935,4147,3922,4140,4070,4148,4141,4116,3911,3778,3606,3532,3605,3420,3467,3308,3318,3056,3010,3046,3036,3165,3169,3396,2511,2247,2170,2083,1958,1696,1764,1597,1456,1349,1320,1147,1057,927,831,760,591,502,1955
S12000035,645,708,721,754,782,772,857,857,868,902,890,829,865,863,890,821,842,876,886,940,1002,976,979,935,940,910,828,837,805,793,723,754,752,792,803,770,813,899,900,869,872,904,910,940,934,1052,1130,1140,1210,1212,1312,1390,1340,1453,1400,1464,1394,1421,1384,1338,1325,1319,1330,1239,1239,1210,1245,1312,1241,1343,1320,1461,1081,1061,1050,954,863,803,809,751,707,664,567,570,454,411,406,355,289,225,808
