datazone,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01013252,2,5,1,2,8,2,11,7,11,2,5,12,14,9,7,10,6,14,5,11,6,3,7,7,6,6,5,4,9,2,9,6,7,8,2,6,6,20,4,9,9,7,9,4,5,14,8,10,10,10,7,12,5,7,8,13,10,10,5,9,7,9,16,11,10,3,8,2,12,6,10,7,9,6,6,5,0,5,7,2,4,5,3,3,2,2,2,1,0,1,0
S01013253,6,7,8,9,11,6,11,6,7,11,5,13,6,6,7,8,10,7,6,3,4,9,7,8,10,8,4,6,8,8,7,13,11,8,4,18,12,17,2,5,8,16,7,11,9,2,17,11,13,9,11,14,14,7,4,18,12,16,8,13,7,9,6,11,11,11,11,16,2,8,6,15,4,8,3,7,4,6,7,3,8,5,4,3,2,3,4,0,3,2,5
S01013254,10,7,7,6,5,8,11,3,13,13,5,5,10,9,10,3,6,8,5,2,5,7,6,12,4,9,7,10,5,6,16,13,11,13,9,10,8,6,6,9,7,12,7,4,7,8,4,20,5,6,6,9,9,8,5,9,8,9,7,7,8,13,12,6,4,4,10,6,4,5,9,9,4,3,5,5,8,10,8,4,5,1,2,3,1,1,3,0,1,1,3
S01013255,7,8,3,6,5,11,8,9,3,13,6,9,9,5,16,1,7,12,10,9,11,23,29,31,34,30,25,37,17,19,40,24,50,8,16,23,14,8,23,21,31,28,10,27,12,15,17,11,16,10,11,26,24,18,13,21,20,15,8,22,17,4,18,12,8,16,12,20,9,13,12,19,8,9,11,5,4,11,1,7,11,3,4,3,2,2,0,1,1,1,1
S01013256,4,10,7,7,9,5,4,13,12,11,15,6,15,7,11,3,10,17,11,15,8,10,9,6,14,14,2,13,7,9,8,6,8,9,10,7,9,5,5,15,11,9,11,8,14,21,12,8,16,23,21,13,10,6,11,10,5,9,9,6,9,5,13,9,10,6,15,7,9,9,6,7,5,13,10,7,10,10,2,7,4,3,8,7,2,5,3,7,1,2,13
S01013257,5,6,5,6,3,5,6,3,5,5,5,9,5,6,8,5,5,2,7,3,8,7,4,10,11,12,11,10,6,18,2,6,9,11,5,9,12,2,8,10,12,8,4,7,9,7,6,6,7,14,22,14,12,5,11,13,11,8,15,17,17,15,9,8,14,6,11,7,5,10,11,3,13,3,6,5,8,9,7,9,9,5,9,9,6,8,6,1,4,1,8
S01013258,8,5,7,2,9,7,8,8,7,12,10,9,9,10,6,8,8,7,9,6,2,7,11,3,8,4,4,13,9,4,13,5,11,8,5,12,5,6,7,7,7,7,11,6,11,11,9,14,3,6,11,6,4,11,9,6,15,9,12,11,13,16,8,12,18,7,8,24,21,9,18,9,11,5,7,5,7,3,10,5,3,3,5,3,6,5,1,5,2,2,3
S01013259,12,15,12,16,13,10,9,7,6,8,7,12,8,18,7,8,9,11,8,9,7,8,15,18,6,17,11,13,13,7,9,11,11,13,8,17,12,6,4,3,5,11,7,12,11,15,10,11,13,8,21,7,17,14,7,9,7,7,4,11,6,6,12,6,15,8,9,16,12,6,10,3,6,6,13,10,9,11,1,3,5,3,6,3,3,4,2,1,2,0,3
S01013260,12,7,10,19,19,9,11,5,14,12,19,5,18,16,13,13,7,15,9,15,9,3,12,17,11,9,13,11,10,11,9,11,13,4,10,21,15,13,10,10,3,11,10,12,9,12,19,20,16,14,13,8,10,8,16,17,17,6,11,14,9,14,9,7,8,14,12,7,9,9,1,9,4,6,8,5,7,4,3,2,3,2,0,0,0,2,2,2,3,1,6
S01013261,10,21,6,12,5,12,6,7,8,20,8,18,17,8,12,10,12,12,13,8,7,12,12,9,11,14,15,8,12,7,16,5,10,14,8,7,6,14,7,3,3,6,11,21,9,22,11,4,13,13,16,19,15,15,13,12,9,12,8,8,12,8,8,11,13,7,7,7,5,6,6,2,6,1,1,6,4,5,7,4,3,1,2,4,2,2,3,4,0,1,4
S01013262,6,3,3,7,10,10,12,4,11,7,5,4,10,8,4,13,5,10,5,11,8,7,5,7,0,6,3,11,16,9,7,8,6,9,8,4,8,4,8,8,9,2,5,8,9,6,14,9,6,11,13,10,9,13,8,11,12,10,9,3,5,7,6,3,9,5,12,10,13,6,10,10,6,7,6,1,5,9,4,4,2,2,5,4,3,1,2,0,1,1,2
S01013263,2,2,3,6,5,4,3,2,5,6,8,7,7,8,10,9,14,14,10,11,10,6,7,7,4,4,4,4,7,0,5,4,5,3,1,5,5,2,5,3,7,2,4,8,6,10,10,14,7,15,13,19,10,12,12,6,8,9,10,12,17,10,7,7,9,11,6,3,4,5,6,6,7,4,0,4,7,3,4,3,3,1,2,3,1,2,3,1,0,1,2
S01013264,6,4,6,4,6,6,4,7,7,9,10,9,8,14,5,13,12,9,8,4,6,6,3,3,6,6,4,9,2,5,1,5,4,5,9,5,6,12,7,5,4,9,3,9,9,6,6,8,6,16,17,12,6,5,3,11,10,12,7,2,8,3,6,5,5,5,1,5,8,7,6,2,2,3,0,4,3,1,1,1,0,0,1,0,0,0,1,1,1,0,1
S01013265,7,3,5,7,9,9,4,9,2,7,9,7,7,14,15,14,23,18,14,14,12,6,17,6,14,15,5,1,8,4,5,6,6,2,5,4,2,5,6,10,5,4,8,15,6,14,16,15,14,23,22,9,20,14,9,28,16,15,16,7,8,7,4,2,4,9,5,4,3,2,4,0,1,2,1,2,3,2,0,6,0,3,1,0,1,0,0,1,0,0,1
S01013266,6,5,5,9,2,7,4,6,8,10,3,9,14,10,15,10,11,8,9,13,0,5,9,7,8,10,6,3,2,4,3,2,4,8,8,10,7,3,4,4,4,13,14,6,14,14,12,14,9,16,17,16,13,4,15,5,5,11,9,8,4,6,5,6,7,1,2,4,4,1,3,3,6,6,5,2,2,0,3,2,1,2,2,2,0,1,0,0,0,0,1
