datazone,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006506,3,9,8,9,11,9,10,14,11,11,8,9,11,9,6,7,10,3,4,2,1,6,7,3,6,10,22,13,18,10,9,15,6,24,15,11,20,14,12,11,9,7,10,14,16,15,20,10,14,16,13,6,10,10,17,14,13,8,14,11,16,10,8,15,9,7,11,10,1,11,13,12,6,9,11,7,5,1,3,4,7,4,3,1,1,6,3,1,3,2,6
S01006507,6,9,6,9,6,9,10,8,8,7,16,6,10,1,4,7,4,8,2,9,4,11,5,10,5,13,16,15,5,8,10,5,6,10,9,5,5,6,12,9,8,11,10,6,5,8,7,12,5,8,14,8,10,18,15,11,17,9,6,17,11,14,13,20,9,8,12,19,11,15,20,21,11,4,10,7,6,9,8,6,5,9,3,3,6,5,1,4,0,1,1
S01006508,7,6,4,4,6,3,6,8,4,7,3,3,5,6,6,3,1,6,5,3,2,6,8,6,8,13,14,9,15,12,20,8,10,7,7,13,4,14,11,9,7,8,2,14,12,5,19,6,8,6,10,9,13,16,7,11,8,12,9,10,3,13,7,7,6,12,8,4,10,4,3,5,2,3,3,0,7,4,0,4,0,1,1,0,1,4,0,1,1,2,4
S01006509,5,2,5,5,11,4,9,5,3,7,5,8,11,5,8,7,8,7,4,2,0,1,3,1,3,2,5,9,5,12,8,5,5,5,6,10,7,2,11,12,3,7,10,5,7,9,11,6,3,7,4,6,9,6,6,7,8,3,6,8,5,7,11,8,5,7,10,8,13,9,10,11,0,2,4,5,4,3,5,6,4,3,3,1,4,1,2,1,2,3,4
S01006510,5,7,5,8,3,5,8,3,7,6,7,8,6,6,5,7,5,9,13,6,4,4,8,6,6,5,12,13,9,7,10,9,3,10,7,0,9,11,6,6,3,4,9,8,6,14,10,13,9,8,14,9,12,12,7,14,12,5,15,8,10,3,11,5,4,8,6,8,3,8,2,6,5,8,7,12,6,6,5,7,7,7,1,4,3,5,1,1,6,8,21
S01006511,5,5,13,3,5,5,7,7,6,10,3,11,7,7,4,8,7,10,3,4,3,14,8,7,6,11,9,5,6,11,5,10,8,10,3,2,12,6,8,3,9,8,7,11,4,4,10,9,6,9,12,14,12,13,14,10,18,10,5,11,15,20,16,7,10,12,9,13,10,8,9,14,12,13,8,5,7,11,8,14,8,3,9,2,4,2,4,4,2,4,10
S01006512,8,2,7,3,0,6,1,10,2,10,12,12,11,14,10,13,10,17,6,1,4,2,3,5,2,2,4,5,5,4,3,4,3,5,4,4,4,4,1,9,5,10,7,7,9,5,11,10,15,6,7,10,13,9,12,13,12,11,3,9,9,4,7,3,4,8,15,2,5,2,3,4,4,5,4,0,1,2,1,2,3,3,1,1,2,1,1,2,1,0,3
S01006513,7,6,3,6,9,10,10,7,14,7,11,15,9,4,8,6,5,15,1,4,6,4,4,4,5,1,4,3,2,7,4,6,9,9,5,8,13,9,13,19,11,9,6,8,7,5,8,4,5,19,7,9,5,21,16,16,8,9,9,9,7,9,13,16,9,6,17,8,6,8,7,11,6,7,16,10,7,17,6,16,7,12,13,12,4,7,6,6,8,9,49
S01006514,5,8,17,10,9,8,16,18,10,14,22,15,6,19,19,29,14,24,11,12,5,20,12,15,18,18,17,15,10,13,6,16,13,11,16,16,8,23,20,12,10,12,12,10,10,17,13,21,17,22,21,18,13,21,17,11,19,15,15,11,15,13,13,11,13,12,6,5,11,3,7,13,14,7,8,15,11,8,4,9,6,4,6,2,3,4,5,8,5,5,32
S01006515,4,6,3,6,8,7,14,9,7,18,14,14,11,16,12,9,13,20,16,7,13,3,9,6,2,8,10,10,10,6,12,6,8,4,3,3,5,17,8,10,10,15,12,4,9,20,11,22,14,16,14,15,25,17,6,16,8,17,12,11,8,10,12,10,16,5,9,9,17,7,5,4,11,2,6,8,1,5,3,7,3,5,3,2,1,0,2,0,1,0,4
S01006516,3,4,3,4,5,8,4,10,6,5,8,9,8,11,7,4,8,22,11,13,15,17,10,7,6,16,8,15,8,7,6,8,4,1,6,12,11,4,5,1,13,6,7,7,7,12,7,14,10,6,8,11,13,17,9,8,6,5,2,9,9,9,8,5,9,10,9,3,8,4,8,11,5,3,6,6,5,5,3,4,10,5,3,4,1,1,4,2,2,0,5
S01006517,10,8,10,18,16,5,17,14,9,20,16,18,19,15,23,14,9,21,9,9,9,6,4,8,12,14,10,19,14,11,10,8,11,17,7,20,7,14,11,11,21,11,16,21,14,16,13,12,5,23,19,16,7,14,21,33,24,18,24,16,17,16,18,8,13,17,21,18,14,15,13,11,14,10,7,14,12,6,6,3,5,6,3,4,1,1,4,2,3,6,12
S01006518,5,3,4,8,4,11,2,9,6,11,11,6,5,16,11,14,13,10,3,8,2,3,4,2,3,6,3,7,3,3,1,2,3,7,5,5,13,16,7,7,4,4,7,7,5,3,14,7,7,12,7,12,8,12,11,19,16,13,5,15,16,9,11,6,10,9,16,16,8,8,5,9,9,7,12,5,11,9,7,4,6,4,3,1,7,2,0,3,6,3,1
S01006519,1,5,8,8,8,14,18,11,15,18,19,13,12,24,18,10,17,18,8,10,2,8,14,10,8,8,5,6,12,5,4,3,5,15,5,6,4,6,8,12,16,13,11,17,22,9,11,14,15,13,17,25,15,14,12,15,18,14,8,11,13,7,20,19,11,9,9,11,9,8,9,16,7,4,12,11,13,2,7,3,4,2,3,0,3,3,1,1,7,1,19
S01006520,5,5,12,13,13,10,10,9,19,16,17,28,15,24,17,13,17,16,9,7,13,5,6,7,3,2,9,5,5,11,3,2,7,6,7,4,7,12,11,7,18,10,16,18,15,31,13,15,20,15,21,23,12,12,19,12,11,19,16,12,7,4,7,5,7,6,5,3,3,6,3,9,3,5,2,5,3,7,0,0,1,2,1,1,1,1,0,1,0,0,1
S01006521,4,5,7,9,12,9,18,13,20,8,7,11,14,11,14,23,5,6,8,1,4,6,3,1,10,3,9,7,13,5,13,5,6,6,14,5,12,17,7,13,7,11,10,16,16,18,13,4,12,19,9,16,17,20,11,21,12,14,9,11,11,4,7,13,14,8,9,5,12,12,7,7,6,5,2,3,3,3,5,3,4,1,3,1,0,0,1,0,2,1,2
S01006522,5,8,15,9,13,12,13,13,10,10,13,2,14,9,10,5,10,6,4,2,2,8,4,15,2,6,10,5,7,5,2,6,9,9,7,14,5,9,8,12,13,6,13,10,4,7,19,10,7,7,11,13,9,11,8,15,7,10,15,11,9,12,9,7,8,10,10,5,6,8,6,4,5,1,6,5,3,4,3,2,5,5,2,1,3,3,2,1,2,1,2
S01006523,8,10,8,7,13,7,12,11,16,12,9,12,13,11,5,16,13,10,15,3,3,6,7,12,7,15,9,10,7,12,15,13,12,4,13,11,7,12,12,3,7,10,15,11,10,16,16,8,15,10,15,11,19,16,6,13,17,17,18,13,20,18,17,11,7,12,13,6,11,11,7,14,15,7,7,6,11,6,10,5,15,7,6,10,5,4,6,8,2,6,9
S01006524,4,6,15,10,10,7,9,16,13,9,7,10,8,13,11,8,6,15,8,12,10,17,10,9,16,18,21,21,11,17,12,16,12,10,1,11,10,14,11,3,17,17,15,15,13,11,17,13,13,8,9,18,15,22,10,10,14,16,18,12,11,8,18,10,17,13,13,10,9,16,9,12,6,12,5,11,10,4,6,13,14,15,5,13,6,1,10,9,10,8,37
S01006525,2,3,8,6,8,10,16,11,22,7,11,15,13,9,16,7,9,12,8,10,3,8,8,8,3,5,13,11,10,7,5,5,6,10,10,4,17,7,8,16,11,7,11,14,12,11,22,11,13,22,12,13,13,11,7,12,9,9,10,13,14,4,8,12,9,7,11,12,10,7,12,12,6,12,8,13,9,7,10,5,8,6,8,15,5,5,8,12,4,5,15
S01006526,9,9,10,7,5,9,3,10,1,11,8,7,9,6,2,4,5,6,7,9,17,27,34,25,19,6,23,16,23,33,17,21,34,16,25,20,13,18,9,13,7,11,10,12,16,5,14,8,1,0,14,8,4,6,5,16,11,9,16,8,13,11,6,14,3,8,8,1,7,6,3,5,9,1,8,3,7,5,4,8,3,3,5,9,4,9,10,7,6,3,4
S01006527,14,11,8,9,10,9,13,7,9,7,14,9,12,13,8,6,9,6,10,7,12,12,9,10,12,7,10,10,15,3,25,16,9,10,7,12,11,18,10,14,9,9,10,12,3,15,7,11,10,10,18,14,10,9,7,10,12,12,12,6,8,5,5,8,11,7,7,4,5,2,4,10,4,6,1,4,3,2,4,4,4,2,2,4,1,2,2,0,3,2,8
S01006528,14,10,17,14,9,10,14,15,11,14,14,8,13,12,9,9,11,10,5,24,34,38,19,29,37,15,34,45,15,35,36,38,26,18,17,27,20,21,15,17,28,15,7,8,5,12,0,14,6,6,11,16,8,15,8,12,7,14,7,4,9,5,12,10,9,10,7,12,4,7,7,3,1,8,7,6,10,9,12,5,7,12,6,2,4,3,3,0,2,0,4
S01006529,13,10,4,11,10,9,5,1,14,6,8,12,1,7,5,6,4,5,8,7,13,20,27,32,19,31,20,26,37,23,15,19,32,24,15,24,29,17,12,15,7,14,12,6,8,19,5,14,3,9,14,8,6,11,9,14,2,13,12,1,16,4,9,12,11,6,5,13,7,10,6,10,6,10,5,8,2,3,2,5,6,4,3,3,3,3,1,4,3,4,1
S01006530,5,8,6,4,7,9,9,6,13,7,7,6,7,3,7,10,6,11,4,8,8,21,23,17,4,9,34,19,6,21,18,12,29,12,16,21,17,14,6,7,1,13,7,7,7,7,10,8,5,11,14,8,2,3,4,14,10,10,10,11,11,10,17,3,5,6,7,13,7,9,4,6,5,5,3,5,3,6,4,5,3,5,4,3,1,2,1,1,4,5,3
S01006531,10,8,12,12,8,7,7,6,4,4,7,4,10,5,8,13,7,7,11,12,12,21,21,8,21,11,16,23,31,31,22,21,16,20,14,19,16,7,4,21,12,9,7,12,13,3,14,8,9,10,15,14,6,14,13,4,5,14,9,6,13,5,7,8,11,3,15,13,9,10,8,12,7,9,1,7,3,5,4,7,6,7,7,8,4,4,7,3,3,2,2
S01006532,2,8,4,6,5,9,3,8,8,4,8,8,7,10,3,6,6,4,6,3,5,4,4,8,6,1,14,22,12,9,12,6,13,3,12,12,6,7,14,12,4,18,4,11,11,12,16,11,3,9,11,14,5,13,5,8,9,11,9,6,8,6,6,8,7,12,3,11,5,9,6,16,4,6,10,9,13,8,16,6,6,7,7,5,12,10,3,3,8,6,54
S01006533,15,6,14,10,7,6,5,11,14,13,3,9,2,6,7,6,2,3,5,4,6,8,9,3,6,11,8,9,6,8,17,16,3,13,7,8,6,9,10,10,9,17,11,14,15,9,19,7,3,7,8,12,16,10,13,5,17,11,8,9,9,16,16,6,10,9,1,6,10,6,5,0,4,7,6,6,8,2,4,8,2,6,2,3,1,4,1,7,2,2,8
S01006534,9,9,12,5,10,4,13,6,10,18,18,10,20,13,16,15,8,14,8,6,7,15,4,4,2,9,12,7,17,19,13,24,14,13,10,13,20,9,13,15,14,11,19,13,13,13,14,17,20,24,9,10,16,22,15,15,16,11,9,22,17,11,10,9,9,8,12,11,10,14,10,13,5,7,2,9,7,3,4,8,3,6,2,6,4,2,7,4,1,0,0
S01006535,8,11,5,4,2,7,4,16,8,9,4,14,10,6,3,8,4,6,3,5,12,10,19,17,13,19,24,28,24,21,29,32,31,28,19,23,26,23,16,15,11,23,17,14,14,13,13,19,12,19,7,18,3,5,14,11,11,6,11,7,11,12,9,16,7,12,8,5,8,3,11,6,7,1,4,5,5,4,4,2,2,2,8,4,4,3,2,0,0,0,6
S01006536,9,1,4,6,3,7,10,10,0,5,1,5,4,2,9,1,5,4,3,3,6,7,5,12,17,19,27,36,40,34,35,39,23,61,28,36,38,27,23,20,15,5,7,10,10,15,4,8,18,18,9,10,13,5,15,11,15,9,5,11,0,13,12,6,8,1,3,5,4,7,10,9,6,4,7,2,6,3,3,5,4,5,2,2,0,0,6,0,1,0,6
S01006537,8,16,8,12,8,6,3,10,15,8,10,6,11,8,4,5,10,9,5,7,4,4,8,8,4,9,11,7,10,7,18,6,10,14,13,11,7,9,15,17,11,12,11,5,6,10,16,16,15,22,5,5,8,14,15,12,14,13,15,12,9,14,15,7,8,9,11,8,6,13,14,8,14,10,8,11,16,9,11,8,14,9,13,8,8,8,17,6,5,10,21
S01006538,1,4,7,4,4,12,7,8,9,5,2,4,7,3,6,6,3,10,4,1,1,2,4,2,3,9,11,7,7,2,12,2,9,3,4,4,4,8,3,2,16,5,10,6,9,5,12,6,7,5,5,7,10,8,14,12,6,8,10,5,13,4,9,9,12,8,2,6,6,6,6,10,11,5,8,3,5,1,3,4,4,3,4,3,7,5,4,4,1,1,4
S01006539,7,9,4,3,12,9,8,11,10,6,8,6,9,6,4,4,8,4,5,7,5,1,9,6,4,4,6,12,7,6,12,10,15,12,14,9,15,10,11,12,7,12,10,13,13,6,15,11,15,6,5,12,9,7,7,5,9,9,9,13,14,15,11,6,7,7,8,7,6,10,15,12,3,9,8,8,5,6,5,10,3,1,2,6,11,9,6,2,6,5,31
S01006540,6,11,10,7,10,5,8,14,8,6,6,11,7,4,3,5,7,6,7,2,3,9,9,7,10,9,12,15,16,19,22,21,22,17,25,10,11,11,10,12,13,14,20,15,13,18,8,18,15,10,11,14,6,7,23,12,9,10,15,17,14,8,8,8,12,18,13,8,6,5,10,12,7,2,5,6,11,6,3,4,5,6,4,5,5,3,8,4,8,2,11
S01006541,6,8,10,11,8,8,8,15,13,10,10,4,9,7,5,4,6,7,5,4,2,8,3,5,8,6,7,10,4,9,8,7,9,11,14,6,23,16,10,8,5,12,18,19,10,17,11,14,6,6,6,9,18,11,12,10,9,7,12,14,9,7,14,2,16,12,7,9,7,13,11,10,4,10,6,9,9,8,12,5,7,8,13,6,6,9,9,4,6,7,33
S01006542,13,10,19,7,12,15,15,12,7,16,8,5,8,9,17,5,11,11,8,6,3,5,7,14,3,7,13,10,10,19,10,16,17,12,14,21,12,17,23,12,10,20,17,12,16,22,15,12,21,21,24,17,14,27,13,12,19,23,19,6,15,16,7,16,12,8,22,13,13,12,20,10,14,11,12,7,10,13,15,18,10,20,9,7,8,18,9,5,8,3,5
S01006543,4,5,7,9,6,3,14,11,12,10,9,8,7,10,7,7,5,2,2,4,6,6,6,10,2,5,11,12,11,9,10,7,10,5,9,6,15,5,10,14,5,9,11,7,9,10,13,17,16,5,11,18,11,7,17,9,9,13,15,14,15,8,11,9,9,3,14,7,11,9,7,7,12,10,8,8,13,6,5,9,2,8,7,8,5,9,3,5,7,5,13
S01006544,12,17,10,10,12,4,25,21,14,15,13,9,10,10,10,11,7,6,5,3,5,10,8,5,10,17,20,24,26,20,26,19,21,24,19,34,21,26,22,32,13,20,34,25,23,27,17,14,11,22,13,14,6,16,20,23,16,11,19,17,20,21,13,14,4,12,8,8,11,18,13,8,6,4,9,11,8,1,1,11,5,10,8,11,4,4,5,8,3,4,36
S01006545,12,4,16,12,18,8,13,5,11,15,3,2,7,8,6,6,5,8,5,11,9,6,8,15,9,15,14,25,21,11,32,16,20,19,23,9,15,13,21,13,11,7,17,16,8,11,10,10,11,12,26,15,14,20,11,19,12,20,15,18,17,17,22,19,14,10,10,12,7,16,15,13,16,11,6,9,7,7,11,7,10,15,9,14,7,3,6,4,6,3,13
S01006546,4,5,8,7,6,4,3,5,6,3,6,5,3,8,3,8,7,0,8,6,1,2,5,5,4,7,8,21,5,6,8,11,12,5,2,6,9,7,7,17,5,7,9,6,6,5,6,7,5,6,13,7,14,7,7,11,17,9,14,12,6,4,10,8,3,3,14,12,7,6,9,10,4,7,9,13,9,7,4,2,6,7,2,3,3,2,2,0,7,3,0
S01006547,22,22,28,29,38,24,13,25,18,16,17,17,22,17,17,8,10,11,5,7,4,8,8,11,15,8,19,27,20,18,14,32,28,33,21,29,17,18,31,27,25,12,20,22,20,22,24,18,10,14,23,17,15,18,16,19,21,14,10,15,16,18,20,17,15,9,14,6,15,20,12,11,12,10,10,10,8,5,11,4,6,11,4,3,6,8,7,7,4,4,17
S01006548,8,5,7,5,9,4,2,7,8,6,4,5,4,6,8,6,1,7,2,2,0,8,2,9,2,2,3,6,2,3,9,15,10,1,8,6,12,12,7,7,3,5,7,6,3,2,11,14,9,7,8,9,15,12,17,14,5,6,5,18,6,6,10,7,4,9,2,15,10,13,9,10,12,11,12,9,8,9,9,6,5,8,12,8,8,5,4,5,0,4,4
S01006549,8,10,13,6,7,11,8,8,7,12,10,16,7,8,5,5,9,8,6,4,5,6,8,6,5,2,10,9,6,6,9,12,7,10,18,2,9,14,13,6,16,12,5,8,4,12,20,12,9,13,17,16,15,14,8,13,17,7,15,7,12,14,16,8,17,16,11,8,13,10,10,12,7,4,10,7,12,8,4,4,6,4,5,2,1,2,4,2,4,2,3
S01006550,4,6,9,8,10,7,7,11,6,11,6,11,11,4,11,7,3,3,0,4,5,4,8,2,0,7,9,12,16,9,13,3,11,12,5,19,5,0,7,8,11,12,10,8,6,7,9,14,5,17,9,14,9,13,18,18,12,15,21,10,15,20,18,21,18,11,10,12,22,16,14,12,11,6,9,4,10,9,16,12,11,10,12,12,10,7,7,5,2,7,16
S01006551,3,8,10,6,5,14,7,9,6,4,6,1,2,1,7,10,6,10,1,4,0,6,12,1,4,10,12,9,5,8,10,9,4,8,5,16,7,10,12,9,8,10,5,6,4,20,9,16,7,7,15,11,9,9,16,15,11,7,10,10,8,10,14,8,6,6,1,14,3,9,7,6,9,7,5,4,12,12,7,4,6,5,7,5,6,7,3,4,2,0,3
S01006552,10,10,10,7,10,7,5,7,8,6,14,12,7,10,5,2,11,3,6,3,0,6,11,12,9,13,10,13,18,15,9,17,11,22,19,13,15,19,19,15,13,16,13,2,10,18,16,7,8,14,21,12,10,16,10,6,12,14,22,6,14,15,8,14,13,9,17,13,7,15,4,17,7,13,7,7,6,5,6,6,7,4,5,2,5,2,1,2,2,2,7
S01006553,6,5,7,10,2,5,9,11,4,10,8,4,13,14,6,8,11,7,8,6,2,4,12,10,7,13,16,7,7,15,13,12,7,5,5,7,9,19,9,6,7,11,13,11,13,6,8,17,13,7,8,7,15,6,12,16,15,16,14,13,6,16,6,11,16,19,12,15,14,14,10,15,7,17,13,9,15,17,10,12,10,7,7,6,8,4,4,9,5,5,2
S01006554,12,10,8,9,17,6,9,13,6,1,6,11,2,5,4,1,8,6,5,1,6,5,7,10,9,20,17,18,11,15,10,9,17,21,14,14,15,16,14,18,8,2,8,16,4,10,9,8,2,9,8,5,6,6,8,9,9,8,10,10,11,11,10,8,6,14,7,7,3,8,10,10,6,10,7,9,3,2,4,6,8,4,4,6,4,4,3,7,5,3,13
S01006555,16,3,4,5,1,12,12,2,9,10,6,11,5,7,6,3,3,7,8,6,9,5,11,5,7,19,13,6,10,17,12,21,9,21,24,10,21,10,20,6,12,10,11,19,18,17,9,7,10,10,6,15,8,6,5,14,2,6,9,9,8,9,6,7,3,7,2,3,7,7,14,3,6,3,6,2,4,2,3,4,5,1,2,1,2,2,2,3,1,1,1
S01006556,13,9,3,10,6,9,8,8,18,6,6,11,9,8,2,6,11,10,4,10,8,8,10,9,6,12,18,15,12,9,12,5,18,8,17,8,15,12,15,9,8,7,12,2,4,11,9,16,10,13,14,13,9,10,5,15,11,7,10,4,9,15,5,14,7,7,7,6,10,9,2,9,6,1,2,8,7,8,7,7,5,5,6,7,8,5,4,10,6,2,7
S01006557,8,10,8,5,7,5,12,14,9,7,5,6,12,9,10,7,5,2,0,1,7,6,8,7,8,7,10,15,18,20,13,13,11,3,10,18,17,5,11,8,7,3,9,4,4,16,6,2,4,15,10,2,5,7,7,16,17,10,3,5,8,8,4,9,7,11,6,10,15,12,8,14,8,5,3,4,2,1,4,2,2,1,6,2,3,1,1,2,0,2,6
S01006558,4,6,1,6,3,3,4,5,6,2,9,0,3,3,2,2,5,2,3,2,1,7,8,14,8,10,9,9,16,12,8,12,12,9,10,22,11,25,9,4,6,6,8,4,14,9,9,8,4,6,6,8,5,5,9,3,9,7,8,10,2,13,6,6,2,4,7,5,3,9,7,9,3,4,6,2,4,4,6,0,5,3,3,1,3,9,0,0,3,0,3
S01006559,5,5,6,4,3,11,3,3,10,5,4,11,4,12,5,2,9,9,8,6,2,6,6,2,5,6,12,10,16,5,20,8,9,6,4,12,10,13,16,6,7,8,4,6,4,6,7,6,12,10,10,9,9,9,7,8,11,4,14,5,7,6,11,12,12,7,14,5,5,3,10,10,4,4,5,3,6,0,1,2,2,4,6,4,1,1,2,0,3,1,0
S01006560,4,11,14,14,13,8,18,18,9,14,17,8,15,15,14,6,9,10,9,3,4,6,13,10,23,12,13,13,11,10,18,14,5,16,13,26,18,13,20,3,18,7,14,14,7,19,7,19,15,33,18,8,15,10,11,22,16,14,9,8,9,9,8,12,8,9,12,12,13,8,11,14,6,4,4,13,6,4,5,0,7,7,5,3,1,7,4,3,5,4,10
S01006561,10,10,8,12,7,6,10,6,9,3,18,10,10,15,9,7,6,9,1,8,9,4,6,6,6,7,9,9,6,9,0,8,2,14,7,10,16,18,15,12,5,9,8,6,10,9,16,14,8,4,14,11,16,12,8,17,10,8,15,11,10,12,7,7,2,9,10,19,9,14,11,5,4,5,5,3,6,6,5,4,3,1,4,1,4,4,3,2,3,1,5
S01006562,7,12,13,14,11,18,18,12,11,9,7,10,10,16,8,13,7,10,7,8,11,9,1,4,6,5,12,13,14,7,13,6,14,8,9,21,6,10,15,17,11,27,9,22,14,15,13,18,17,11,8,18,17,22,13,20,9,8,12,24,15,13,9,14,18,17,10,13,9,9,6,10,10,7,8,8,7,5,7,6,13,6,5,4,4,4,4,5,1,5,3
S01006563,4,6,13,4,10,8,2,9,11,17,10,19,8,10,11,9,6,6,0,2,4,5,9,4,8,5,17,8,7,6,4,13,13,10,5,17,9,3,13,9,7,17,10,14,8,8,10,8,14,5,16,8,9,3,8,7,0,9,5,7,3,7,9,8,4,2,7,8,8,5,4,8,2,8,2,4,9,1,7,8,3,9,1,6,3,1,6,3,0,0,4
S01006564,4,7,10,5,6,6,11,11,7,14,4,4,11,4,7,2,4,4,4,3,9,11,14,22,31,29,27,38,34,30,36,34,32,30,19,19,27,14,20,13,17,7,5,15,17,4,15,9,9,14,15,15,6,12,10,12,11,9,17,10,7,4,7,9,9,4,9,3,5,12,5,3,4,5,5,4,4,3,3,4,3,2,7,3,9,4,3,0,1,0,0
S01006565,8,4,5,8,2,11,8,3,3,4,2,3,5,1,1,1,4,3,14,27,44,50,59,56,44,46,35,42,41,38,31,18,31,12,23,12,14,5,11,5,6,4,6,7,9,14,6,8,12,15,7,5,13,1,9,7,7,7,4,7,1,4,7,1,5,3,2,7,5,7,4,3,4,0,2,4,4,3,1,1,2,1,1,0,0,1,0,1,0,2,0
S01006566,9,8,6,8,8,10,2,1,2,3,1,1,1,3,3,3,6,6,6,2,10,24,12,16,20,15,29,28,30,27,36,9,28,17,29,34,21,15,14,18,14,5,8,6,3,6,9,9,2,8,6,7,4,9,7,7,6,4,7,4,4,8,8,9,5,7,1,5,8,6,6,7,5,6,4,1,4,4,2,1,0,1,0,2,3,1,1,0,1,0,1
S01006567,3,6,5,2,7,2,6,4,3,0,2,2,0,3,2,3,1,3,3,9,21,33,25,29,34,32,25,43,38,25,31,18,21,7,6,10,12,7,2,2,7,6,5,2,9,5,8,11,7,4,14,8,4,3,12,15,12,8,4,4,10,4,5,10,1,4,5,7,6,2,3,8,2,6,4,2,1,3,7,2,1,3,4,2,2,0,4,1,2,4,2
S01006568,5,5,5,4,5,7,0,4,3,8,5,10,3,4,3,3,1,3,3,8,9,17,25,25,30,36,46,36,54,61,50,39,35,47,11,25,20,12,26,7,15,6,4,1,11,18,5,8,5,12,8,5,8,10,5,11,1,3,4,4,10,9,10,6,6,4,9,4,4,1,4,1,1,0,3,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,3
S01006569,3,8,4,4,4,2,3,3,7,5,4,0,5,1,4,2,1,1,2,2,3,9,14,18,7,19,27,25,13,18,19,12,15,17,13,8,19,10,11,9,6,6,5,9,10,4,6,4,8,1,3,4,7,8,5,9,8,3,5,4,11,7,3,7,4,4,6,2,5,4,2,4,3,3,4,3,6,1,3,1,3,0,2,0,3,1,1,0,0,0,2
S01006570,5,13,7,9,4,7,10,0,8,12,3,6,4,7,9,6,5,8,5,5,3,5,8,6,2,8,10,14,18,21,27,23,16,28,15,13,14,16,6,11,5,8,10,3,9,5,13,20,8,16,11,13,12,8,7,11,17,10,6,11,4,14,11,6,4,3,5,9,2,5,2,4,7,6,4,5,5,1,2,3,1,2,1,4,5,2,2,0,4,1,2
S01006571,5,6,5,2,8,13,9,7,11,10,8,16,15,13,12,14,6,6,5,1,12,12,8,15,5,8,21,26,17,11,13,14,23,12,2,8,9,26,26,15,16,9,6,13,13,11,22,15,18,8,11,15,16,18,16,12,9,5,9,12,10,11,5,10,7,8,5,14,3,11,8,7,5,5,8,2,7,7,5,0,2,2,4,2,4,4,3,3,1,1,5
S01006572,8,4,1,10,6,11,9,6,14,13,14,26,10,14,8,12,9,12,8,3,8,8,4,10,11,18,7,14,25,9,11,11,10,8,8,7,18,9,13,21,7,14,7,14,15,13,20,11,18,4,11,18,26,23,14,15,19,22,19,14,19,7,14,14,10,5,6,13,9,6,13,12,8,12,5,7,4,4,6,8,8,8,4,5,6,3,3,2,4,0,4
S01006573,7,9,9,7,12,7,6,7,10,6,14,12,12,19,14,14,16,5,9,5,8,8,12,3,8,14,17,13,8,5,2,11,4,8,8,7,8,4,11,7,13,10,14,10,5,17,10,18,23,12,13,14,11,23,13,19,22,12,14,6,11,5,11,12,1,7,3,2,3,7,7,6,2,4,5,6,0,2,1,2,5,3,3,2,2,1,0,0,0,1,1
S01006574,10,16,9,10,12,7,18,16,20,12,16,14,6,11,6,12,11,22,9,7,12,14,11,17,6,12,13,12,8,9,6,18,19,16,16,14,18,12,11,17,10,8,13,15,18,12,18,19,6,21,20,22,14,12,10,17,23,16,21,14,12,12,11,10,7,14,10,5,8,12,12,8,12,1,4,6,3,5,6,5,7,3,4,4,6,3,5,4,3,9,23
S01006575,10,14,15,10,8,15,15,6,14,16,5,15,5,7,7,6,8,9,12,4,12,13,5,15,11,23,19,17,15,18,28,30,24,11,22,16,11,28,13,21,12,5,19,10,22,21,10,5,6,16,8,17,12,17,12,20,19,14,12,10,9,11,15,3,5,5,7,5,7,4,6,14,5,4,5,8,6,4,4,5,5,1,4,3,4,1,2,0,4,2,3
S01006576,5,6,7,7,15,16,13,7,11,7,5,9,4,4,9,10,8,8,4,1,4,9,7,11,5,5,18,21,17,19,12,21,10,16,10,18,10,16,19,14,9,13,5,12,11,26,10,9,7,12,19,7,8,10,6,3,9,10,7,10,6,14,9,6,3,6,4,6,3,2,4,0,5,1,4,3,5,1,4,1,1,0,1,0,3,0,3,1,0,2,3
S01006577,7,7,10,7,6,7,12,6,8,10,11,5,6,8,8,13,6,3,5,7,3,12,9,11,7,18,24,34,18,30,38,25,18,9,18,22,5,20,17,27,7,9,7,9,9,5,7,10,9,17,9,8,3,12,6,8,9,11,7,12,10,9,8,9,5,5,9,3,7,1,2,4,4,2,4,0,2,5,6,3,4,2,1,1,2,3,0,0,0,1,6
