intermediate zone,males___AGE0,males___AGE1,males___AGE2,males___AGE3,males___AGE4,males___AGE5,males___AGE6,males___AGE7,males___AGE8,males___AGE9,males___AGE10,males___AGE11,males___AGE12,males___AGE13,males___AGE14,males___AGE15,males___AGE16,males___AGE17,males___AGE18,males___AGE19,males___AGE20,males___AGE21,males___AGE22,males___AGE23,males___AGE24,males___AGE25,males___AGE26,males___AGE27,males___AGE28,males___AGE29,males___AGE30,males___AGE31,males___AGE32,males___AGE33,males___AGE34,males___AGE35,males___AGE36,males___AGE37,males___AGE38,males___AGE39,males___AGE40,males___AGE41,males___AGE42,males___AGE43,males___AGE44,males___AGE45,males___AGE46,males___AGE47,males___AGE48,males___AGE49,males___AGE50,males___AGE51,males___AGE52,males___AGE53,males___AGE54,males___AGE55,males___AGE56,males___AGE57,males___AGE58,males___AGE59,males___AGE60,males___AGE61,males___AGE62,males___AGE63,males___AGE64,males___AGE65,males___AGE66,males___AGE67,males___AGE68,males___AGE69,males___AGE70,males___AGE71,males___AGE72,males___AGE73,males___AGE74,males___AGE75,males___AGE76,males___AGE77,males___AGE78,males___AGE79,males___AGE80,males___AGE81,males___AGE82,males___AGE83,males___AGE84,males___AGE85,males___AGE86,males___AGE87,males___AGE88,males___AGE89,males___AGE90+,females___AGE0,females___AGE1,females___AGE2,females___AGE3,females___AGE4,females___AGE5,females___AGE6,females___AGE7,females___AGE8,females___AGE9,females___AGE10,females___AGE11,females___AGE12,females___AGE13,females___AGE14,females___AGE15,females___AGE16,females___AGE17,females___AGE18,females___AGE19,females___AGE20,females___AGE21,females___AGE22,females___AGE23,females___AGE24,females___AGE25,females___AGE26,females___AGE27,females___AGE28,females___AGE29,females___AGE30,females___AGE31,females___AGE32,females___AGE33,females___AGE34,females___AGE35,females___AGE36,females___AGE37,females___AGE38,females___AGE39,females___AGE40,females___AGE41,females___AGE42,females___AGE43,females___AGE44,females___AGE45,females___AGE46,females___AGE47,females___AGE48,females___AGE49,females___AGE50,females___AGE51,females___AGE52,females___AGE53,females___AGE54,females___AGE55,females___AGE56,females___AGE57,females___AGE58,females___AGE59,females___AGE60,females___AGE61,females___AGE62,females___AGE63,females___AGE64,females___AGE65,females___AGE66,females___AGE67,females___AGE68,females___AGE69,females___AGE70,females___AGE71,females___AGE72,females___AGE73,females___AGE74,females___AGE75,females___AGE76,females___AGE77,females___AGE78,females___AGE79,females___AGE80,females___AGE81,females___AGE82,females___AGE83,females___AGE84,females___AGE85,females___AGE86,females___AGE87,females___AGE88,females___AGE89,females___AGE90+
S02001797,19,16,15,15,12,17,23,19,19,9,19,11,12,17,23,12,9,17,14,19,15,11,18,16,12,20,16,13,11,12,22,23,9,4,23,12,22,12,14,13,6,13,17,13,21,21,29,16,39,25,34,17,23,24,25,24,25,21,26,22,20,32,30,20,22,21,35,19,23,25,22,20,21,17,13,13,4,10,4,13,6,7,5,6,9,8,5,1,4,2,11,13,13,13,19,16,12,15,13,6,15,12,19,19,16,14,18,9,12,20,11,11,11,12,18,16,21,16,20,11,29,17,22,21,18,19,17,20,20,21,27,24,18,19,8,26,19,23,21,18,25,38,33,29,21,37,35,23,26,33,30,20,23,23,22,33,35,23,23,28,24,15,19,18,13,19,14,9,15,10,8,8,8,9,14,4,6,9,9,4,5,21
S02001798,32,34,32,29,39,23,38,32,28,21,32,31,23,16,24,19,17,19,26,21,18,29,22,19,28,17,24,29,30,27,24,23,36,36,15,33,33,27,29,19,22,27,27,31,29,17,20,18,38,46,48,36,26,25,26,21,30,28,34,33,21,30,29,20,41,19,22,23,18,25,18,26,13,16,28,14,12,15,12,9,10,7,12,9,6,4,1,2,4,3,8,23,18,17,25,23,31,34,26,28,39,25,19,22,22,24,16,14,16,17,37,14,7,27,30,27,34,22,23,35,35,31,30,39,31,34,36,33,36,28,24,25,27,26,24,26,25,30,21,25,29,30,25,25,39,38,33,40,35,26,37,26,29,34,22,25,16,23,16,20,27,29,29,21,17,16,13,15,10,13,8,9,11,9,3,8,11,5,7,5,7,10
S02001799,28,18,27,25,29,41,23,35,15,26,25,22,13,23,17,19,19,25,21,26,18,16,17,15,32,23,27,39,16,38,23,27,23,26,20,17,24,11,13,15,17,20,23,17,21,23,31,20,34,30,38,39,32,33,30,32,31,27,37,28,43,34,28,40,20,22,29,28,29,25,20,28,25,14,19,17,13,16,13,16,11,10,7,11,13,3,6,3,3,2,15,20,34,20,21,20,21,23,24,21,26,27,26,24,13,15,20,20,8,24,23,26,18,29,24,42,22,36,32,16,21,34,23,33,24,15,30,14,22,33,22,29,16,26,20,18,22,34,28,29,28,39,34,23,42,32,30,24,26,35,25,30,15,36,31,32,29,28,24,21,28,30,36,29,18,30,27,14,23,12,15,8,23,10,10,16,8,11,10,8,2,29
S02001800,38,20,27,26,30,26,35,32,35,42,21,38,39,23,27,24,33,22,19,20,26,15,29,20,17,28,22,27,27,23,25,20,24,14,26,25,16,32,34,24,24,20,24,27,23,31,31,37,30,22,31,25,21,33,24,14,27,40,21,25,24,18,16,12,18,12,11,18,23,19,12,26,20,10,15,18,12,9,14,12,7,3,12,6,5,4,2,1,4,1,4,29,17,32,21,30,25,34,27,24,31,42,25,23,29,24,27,27,24,30,13,16,29,29,22,23,27,21,22,43,33,30,30,40,25,23,40,26,35,34,41,23,26,24,19,28,32,38,40,25,15,33,34,28,22,29,26,31,29,19,23,21,37,21,26,19,20,23,19,13,18,19,25,20,25,13,26,6,20,23,19,8,10,14,9,7,4,5,1,3,2,7
S02001801,7,11,11,18,9,12,12,14,21,9,13,13,12,14,15,15,12,14,16,10,11,12,9,9,19,11,19,8,9,7,10,16,12,9,10,18,20,16,14,7,8,18,7,8,13,12,17,14,21,19,15,8,6,15,16,12,8,10,19,6,12,14,8,14,14,18,10,12,9,21,15,10,9,10,9,8,9,12,9,9,9,6,8,7,10,7,6,3,3,4,5,13,8,9,13,9,14,10,8,15,14,7,8,16,14,17,6,9,26,15,17,10,13,9,11,10,4,11,14,7,6,12,13,21,10,16,9,14,12,14,15,11,11,14,11,4,17,21,11,17,21,23,10,15,17,9,21,15,15,14,15,12,13,18,12,20,12,12,12,13,7,11,18,17,9,10,18,17,8,17,18,8,15,10,11,9,13,10,6,9,6,15
S02001802,31,28,21,28,23,27,24,33,20,27,34,26,21,30,34,23,32,22,18,33,17,24,20,29,26,20,32,31,36,22,27,18,35,17,15,26,19,37,28,26,28,31,27,24,27,18,36,32,31,27,27,31,30,34,39,28,33,23,33,28,22,24,30,13,33,20,14,14,19,18,25,26,21,25,19,21,9,8,25,9,13,12,5,11,10,9,3,4,1,1,8,30,27,37,32,18,27,27,30,22,38,19,29,29,21,24,30,28,21,27,22,16,27,32,20,39,28,24,27,25,33,28,27,28,31,26,13,39,39,31,27,33,24,26,41,24,28,32,39,32,39,37,33,31,37,43,39,31,31,25,29,23,26,27,23,36,24,14,23,31,27,31,32,20,21,18,19,18,22,16,17,22,22,12,6,13,8,9,6,11,4,4
S02001803,26,21,30,29,23,31,33,15,20,6,27,29,24,22,15,17,25,21,21,24,22,25,24,25,32,22,34,10,36,19,25,35,12,20,14,28,28,24,31,18,17,21,16,18,4,17,20,24,20,16,27,25,18,20,32,27,15,17,28,24,12,20,17,19,18,15,15,15,18,17,13,17,11,12,14,11,10,7,6,13,8,5,3,4,9,8,3,1,3,1,3,16,17,22,24,24,18,24,22,18,19,14,19,16,21,19,16,8,22,23,25,12,20,14,34,27,33,15,32,17,20,36,25,18,21,22,22,12,18,24,23,15,14,23,12,14,24,14,21,22,15,26,33,24,23,33,23,22,18,20,21,20,21,17,15,17,13,18,20,16,18,17,21,12,15,13,8,12,10,14,12,7,10,11,10,3,3,7,4,9,2,19
S02001804,12,19,11,18,15,13,13,16,13,14,12,21,17,10,13,24,14,9,15,25,20,20,21,14,19,27,14,20,15,11,14,14,18,14,23,16,11,22,11,23,12,18,14,16,13,18,15,24,23,32,41,29,24,25,45,34,23,29,38,20,45,32,31,24,21,26,20,32,17,27,39,19,24,16,21,22,11,10,14,13,4,7,6,1,9,7,8,3,2,6,7,11,10,13,10,15,18,14,21,16,19,19,20,12,16,14,17,9,17,13,23,21,13,28,14,15,21,13,22,6,17,26,17,19,8,14,15,11,23,22,24,10,13,27,13,17,20,23,26,26,30,36,26,30,32,41,29,37,34,38,38,29,25,28,39,24,21,25,43,27,24,29,26,12,22,17,15,13,8,9,12,12,11,13,5,10,5,4,4,7,5,11
S02001805,23,23,19,23,36,24,30,24,27,29,39,41,29,44,41,41,37,34,34,34,25,29,31,26,24,27,37,21,31,24,37,25,42,30,33,16,34,43,27,28,29,32,21,26,25,37,36,26,32,30,43,46,30,20,42,38,29,34,28,27,24,44,33,32,34,20,33,23,30,32,25,25,24,16,16,26,30,16,16,13,8,9,17,15,2,9,6,6,4,2,12,23,24,18,28,22,25,38,30,36,39,43,33,34,32,31,23,30,31,25,20,25,14,30,30,19,14,23,22,25,40,18,23,27,33,28,31,52,39,23,41,22,31,28,35,26,30,41,43,36,49,45,35,46,31,34,24,44,35,27,33,33,37,33,22,35,35,32,26,37,33,31,41,28,21,33,25,23,22,21,14,24,13,17,14,12,11,2,6,9,1,18
S02001806,15,9,14,17,17,16,12,24,20,16,10,24,18,19,19,18,16,21,13,15,18,8,10,12,24,10,18,14,12,17,11,10,13,20,4,14,12,22,20,16,17,15,11,11,23,13,16,20,9,22,19,19,15,24,15,17,18,27,22,18,9,13,18,10,26,11,16,17,14,12,15,17,22,12,13,10,9,9,3,6,14,21,4,5,10,8,10,4,3,5,3,19,9,18,15,6,15,13,18,13,9,22,13,14,13,23,12,15,13,5,15,11,19,7,9,11,18,13,30,10,24,2,14,9,16,13,18,17,30,25,22,15,9,20,15,20,20,24,15,17,17,23,20,25,16,11,16,17,17,17,17,17,18,23,20,6,17,7,21,18,14,15,19,16,17,21,12,10,10,12,13,10,14,18,13,13,10,4,13,7,11,25
