intermediate zone,males___AGE0,males___AGE1,males___AGE2,males___AGE3,males___AGE4,males___AGE5,males___AGE6,males___AGE7,males___AGE8,males___AGE9,males___AGE10,males___AGE11,males___AGE12,males___AGE13,males___AGE14,males___AGE15,males___AGE16,males___AGE17,males___AGE18,males___AGE19,males___AGE20,males___AGE21,males___AGE22,males___AGE23,males___AGE24,males___AGE25,males___AGE26,males___AGE27,males___AGE28,males___AGE29,males___AGE30,males___AGE31,males___AGE32,males___AGE33,males___AGE34,males___AGE35,males___AGE36,males___AGE37,males___AGE38,males___AGE39,males___AGE40,males___AGE41,males___AGE42,males___AGE43,males___AGE44,males___AGE45,males___AGE46,males___AGE47,males___AGE48,males___AGE49,males___AGE50,males___AGE51,males___AGE52,males___AGE53,males___AGE54,males___AGE55,males___AGE56,males___AGE57,males___AGE58,males___AGE59,males___AGE60,males___AGE61,males___AGE62,males___AGE63,males___AGE64,males___AGE65,males___AGE66,males___AGE67,males___AGE68,males___AGE69,males___AGE70,males___AGE71,males___AGE72,males___AGE73,males___AGE74,males___AGE75,males___AGE76,males___AGE77,males___AGE78,males___AGE79,males___AGE80,males___AGE81,males___AGE82,males___AGE83,males___AGE84,males___AGE85,males___AGE86,males___AGE87,males___AGE88,males___AGE89,males___AGE90+,females___AGE0,females___AGE1,females___AGE2,females___AGE3,females___AGE4,females___AGE5,females___AGE6,females___AGE7,females___AGE8,females___AGE9,females___AGE10,females___AGE11,females___AGE12,females___AGE13,females___AGE14,females___AGE15,females___AGE16,females___AGE17,females___AGE18,females___AGE19,females___AGE20,females___AGE21,females___AGE22,females___AGE23,females___AGE24,females___AGE25,females___AGE26,females___AGE27,females___AGE28,females___AGE29,females___AGE30,females___AGE31,females___AGE32,females___AGE33,females___AGE34,females___AGE35,females___AGE36,females___AGE37,females___AGE38,females___AGE39,females___AGE40,females___AGE41,females___AGE42,females___AGE43,females___AGE44,females___AGE45,females___AGE46,females___AGE47,females___AGE48,females___AGE49,females___AGE50,females___AGE51,females___AGE52,females___AGE53,females___AGE54,females___AGE55,females___AGE56,females___AGE57,females___AGE58,females___AGE59,females___AGE60,females___AGE61,females___AGE62,females___AGE63,females___AGE64,females___AGE65,females___AGE66,females___AGE67,females___AGE68,females___AGE69,females___AGE70,females___AGE71,females___AGE72,females___AGE73,females___AGE74,females___AGE75,females___AGE76,females___AGE77,females___AGE78,females___AGE79,females___AGE80,females___AGE81,females___AGE82,females___AGE83,females___AGE84,females___AGE85,females___AGE86,females___AGE87,females___AGE88,females___AGE89,females___AGE90+
S02001236,16,17,28,24,22,24,22,28,18,28,27,25,25,20,19,32,22,30,22,15,8,24,17,24,17,23,40,32,27,39,33,32,30,31,26,24,28,29,27,28,21,19,33,34,28,28,42,40,26,34,31,30,42,44,39,32,39,28,27,33,35,40,46,39,23,32,38,34,26,31,30,38,13,24,22,19,15,19,9,16,16,11,8,5,8,6,1,4,6,9,13,23,23,20,17,20,17,29,27,23,30,27,32,36,28,24,20,23,30,15,12,10,20,25,14,19,33,42,37,36,25,32,24,11,40,25,21,33,28,34,31,23,36,22,31,31,32,46,26,34,26,43,32,37,40,39,48,49,30,31,41,34,31,27,26,24,30,33,30,27,26,30,35,27,20,25,17,21,17,21,27,18,19,13,7,13,18,11,10,9,11,36
S02001237,16,12,22,25,20,24,26,27,26,37,36,33,25,33,40,39,28,55,26,17,25,24,26,24,27,23,23,28,16,20,22,23,23,18,16,25,19,29,30,29,31,23,23,25,20,36,23,32,19,47,38,27,27,43,36,43,39,38,27,25,23,31,31,25,26,23,38,17,26,15,27,25,22,16,17,25,16,15,7,10,13,12,13,9,6,4,6,9,3,10,27,13,20,14,19,27,14,35,31,20,27,35,38,28,32,29,23,21,47,22,28,23,26,13,16,16,34,26,34,28,24,16,21,22,24,21,34,25,38,27,24,34,30,30,25,27,34,29,41,32,39,31,42,36,47,33,41,26,26,35,31,33,26,33,25,34,27,24,26,30,22,13,25,28,13,26,28,20,26,15,29,18,20,15,15,4,9,15,9,16,10,75
S02001238,18,24,41,35,40,47,62,44,65,51,40,57,52,62,47,47,43,48,38,25,18,26,26,24,23,33,41,19,37,36,34,28,32,25,34,22,35,45,24,28,37,24,40,63,42,50,54,31,54,47,56,66,51,63,42,50,54,52,51,59,57,28,47,40,45,41,50,38,38,34,28,40,22,25,21,32,27,17,21,20,26,19,9,15,12,8,11,10,14,8,18,16,21,36,35,41,33,36,49,56,40,54,40,42,55,55,49,47,45,25,28,21,35,30,40,29,30,38,53,31,29,21,24,28,42,28,38,40,48,48,45,56,54,58,45,55,56,71,51,48,59,45,65,57,55,42,67,50,60,48,39,44,38,50,43,38,33,36,30,30,42,30,43,35,28,33,27,36,25,27,15,31,23,22,27,18,11,17,25,19,17,68
S02001239,31,27,30,21,26,22,22,27,25,23,33,20,29,18,18,23,21,26,22,25,41,64,59,42,63,49,77,90,62,75,70,67,68,44,41,57,52,55,35,57,34,38,25,28,25,35,20,31,20,21,45,38,15,36,21,32,26,33,27,19,38,14,19,18,23,19,29,32,14,24,15,24,18,18,8,11,8,13,15,14,8,12,11,9,5,7,8,9,6,2,4,34,29,27,36,23,31,29,18,27,26,25,26,23,28,21,25,21,19,23,42,55,75,74,79,49,30,60,49,65,71,63,60,78,56,53,66,54,40,21,30,30,33,28,29,27,26,30,32,14,25,41,30,21,22,25,38,21,39,39,17,32,26,37,37,27,21,20,24,25,20,17,22,14,21,17,22,20,17,15,20,21,21,16,20,12,16,16,6,15,14,18
S02001240,20,20,24,12,16,20,17,20,15,30,15,20,24,13,17,17,13,13,14,10,18,17,19,24,12,28,36,51,53,53,59,80,53,70,38,41,46,42,41,38,38,38,25,35,29,28,31,26,28,36,25,31,25,26,38,22,27,21,18,25,25,29,29,20,22,16,10,19,23,16,15,21,12,13,15,13,15,11,15,13,7,10,6,9,10,7,4,5,1,4,20,23,15,15,19,11,13,18,31,25,19,19,26,19,24,21,19,12,18,11,11,18,27,22,20,32,31,49,51,46,38,47,37,31,48,38,51,50,33,35,34,15,36,33,27,34,34,35,36,28,41,19,33,28,29,24,28,41,27,24,30,20,29,24,25,19,26,17,19,14,23,27,23,14,12,14,18,24,9,16,16,10,16,15,11,11,12,15,9,11,4,54
S02001241,16,20,23,23,22,25,15,25,25,16,16,19,23,13,12,11,16,14,14,9,11,15,7,13,19,15,23,30,26,23,44,26,36,34,34,17,30,34,23,19,20,23,41,31,25,27,31,32,27,27,16,19,20,19,32,23,22,22,20,33,29,29,25,12,31,24,14,19,15,18,31,20,17,14,17,8,16,9,17,14,12,8,14,10,19,14,15,7,11,6,26,12,28,16,14,20,15,19,33,30,19,20,12,20,15,10,13,18,22,12,12,4,9,26,15,10,22,24,21,18,20,28,20,29,23,36,23,30,20,26,32,32,32,28,27,26,29,31,33,31,22,16,28,31,28,39,28,25,25,41,28,30,19,32,20,24,30,27,19,16,29,25,32,22,22,18,29,30,21,17,17,21,19,22,18,18,20,29,13,15,19,74
S02001242,26,19,34,23,26,20,31,30,32,27,16,11,6,24,18,20,23,17,12,12,12,13,18,23,15,23,30,47,38,34,53,36,29,29,36,41,30,32,42,43,32,37,36,38,35,38,28,33,33,34,50,38,30,46,30,36,30,42,50,33,41,44,30,37,21,11,35,31,27,29,38,20,23,22,19,22,24,12,16,13,10,27,6,22,8,18,6,7,7,6,15,19,22,26,22,28,14,39,24,18,32,23,18,29,21,25,17,12,10,16,18,12,16,16,26,13,28,36,45,35,31,33,33,51,36,31,35,42,36,41,45,12,26,52,28,27,37,33,27,31,32,37,33,29,31,38,38,43,34,32,34,32,22,33,29,21,25,33,21,22,32,26,28,29,21,25,26,23,22,20,34,23,33,29,21,19,18,19,15,24,12,52
S02001243,33,25,36,33,47,44,20,36,25,36,26,33,30,22,28,16,22,16,11,16,10,17,28,19,9,17,34,40,29,32,35,44,35,45,33,40,27,30,49,36,41,39,32,22,24,42,44,35,22,21,55,44,39,41,34,37,25,31,40,29,37,43,39,47,36,28,24,39,39,38,23,42,29,23,22,21,21,19,20,15,15,20,13,11,12,17,13,7,3,5,20,22,36,41,28,32,23,22,31,28,19,31,29,23,24,25,22,18,26,9,8,4,21,21,22,26,25,29,36,38,27,29,44,36,41,43,45,38,43,40,36,35,28,28,30,23,39,45,46,26,51,38,35,34,41,51,48,53,32,43,37,34,40,47,28,37,32,31,29,31,45,33,26,29,28,31,20,35,29,33,21,26,22,32,21,24,14,13,18,11,14,30
S02001244,22,16,12,25,7,14,17,19,21,18,10,22,24,15,16,13,24,18,13,8,14,6,32,17,19,19,44,31,28,33,39,36,34,21,40,32,38,34,37,26,20,14,26,29,23,36,14,30,17,23,27,24,23,14,13,34,28,22,26,21,24,27,14,24,21,31,18,12,28,29,18,24,16,18,13,12,18,11,11,15,12,5,8,12,9,6,5,8,5,5,7,33,21,18,14,26,23,33,29,25,16,21,21,17,28,12,12,14,14,12,16,18,22,16,24,18,52,30,30,30,43,21,24,28,37,30,25,39,28,32,21,22,19,27,23,20,24,27,20,22,31,19,18,20,21,24,36,26,25,20,20,18,32,17,25,18,27,16,29,21,21,26,27,17,18,18,20,13,19,17,16,18,13,17,10,16,10,9,23,12,8,22
S02001245,17,24,35,26,24,25,29,38,21,30,35,36,30,39,32,22,23,25,16,18,15,21,18,17,30,21,33,40,38,29,36,27,29,43,24,48,37,44,43,21,23,29,27,32,34,21,34,38,29,34,43,22,41,31,25,41,25,23,27,26,29,31,16,24,20,26,32,33,20,28,26,27,15,14,16,14,16,8,18,4,12,12,5,5,6,11,6,5,4,1,16,17,26,20,28,23,29,26,15,35,20,30,22,20,32,17,17,19,21,12,11,16,16,25,23,26,24,39,22,32,20,27,34,26,20,24,60,33,38,45,30,31,45,26,34,23,45,28,35,41,35,29,40,30,30,31,36,30,27,36,39,17,29,34,35,26,22,28,29,27,20,23,29,14,18,14,19,22,12,13,16,21,18,19,14,10,15,13,8,11,10,9
S02001246,12,21,26,18,17,25,18,13,16,20,8,11,14,12,22,12,14,15,15,25,34,54,66,89,83,94,105,106,132,117,127,61,98,80,64,81,82,38,41,46,23,23,18,20,30,24,28,33,27,50,37,31,24,16,31,47,33,21,21,33,20,29,28,26,19,11,15,11,20,18,13,14,10,15,10,8,7,5,10,5,9,4,8,4,8,2,6,3,2,2,4,25,30,16,22,19,20,22,13,17,26,13,15,15,11,7,8,8,13,22,31,65,95,91,83,85,91,94,120,96,103,103,92,80,78,52,40,45,41,49,19,47,19,25,23,38,32,34,36,24,20,27,26,30,35,24,25,29,23,26,11,27,21,23,22,15,18,22,26,15,19,13,16,16,11,16,12,17,11,9,8,1,6,8,7,14,7,5,0,7,5,6
S02001247,14,23,13,16,18,19,17,13,24,34,31,27,23,24,20,28,17,20,18,9,12,9,16,25,21,23,30,30,28,22,15,22,35,25,17,18,26,17,30,27,21,25,20,26,26,27,36,33,37,22,24,30,28,40,18,31,40,38,32,25,28,17,24,25,16,22,12,19,12,15,17,18,16,12,9,10,7,10,9,5,10,6,3,5,9,6,5,2,1,4,9,16,12,11,13,20,19,25,23,31,7,21,41,20,33,20,24,25,25,13,7,28,33,19,20,9,29,28,35,30,12,17,32,21,19,17,18,27,34,31,33,25,16,20,26,25,26,34,30,28,23,31,39,39,36,35,32,33,17,31,21,24,18,17,21,9,12,12,15,11,21,23,15,11,10,13,11,7,8,9,10,12,10,12,8,9,5,6,7,7,7,24
S02001248,31,29,32,20,26,40,40,25,33,28,24,26,23,24,21,23,17,22,20,12,18,33,36,46,27,59,95,117,99,114,105,119,103,77,102,95,61,102,75,73,34,40,39,46,54,60,34,41,26,44,36,45,38,47,32,32,40,38,34,35,27,36,39,28,28,22,31,15,20,15,13,24,17,9,14,12,3,6,8,8,7,8,9,5,5,4,5,0,7,3,8,23,26,32,25,28,37,34,12,23,25,19,21,19,18,26,26,17,25,13,13,28,47,36,74,47,59,102,94,72,90,88,105,67,74,67,74,49,84,49,48,37,38,26,46,41,45,31,24,30,42,27,24,29,40,43,44,54,27,36,29,33,31,31,22,8,15,23,17,18,12,16,19,12,10,15,13,17,16,14,15,10,7,4,6,10,8,7,5,4,4,25
S02001249,8,9,12,8,12,6,19,9,18,6,10,7,9,6,3,13,3,6,11,23,44,64,64,51,75,71,75,97,100,86,88,73,53,50,40,50,48,46,38,36,42,33,20,39,16,22,26,18,9,23,28,19,24,14,12,16,18,17,17,8,20,18,25,17,13,21,11,15,13,15,14,15,10,9,2,6,8,2,4,3,3,3,4,4,2,2,4,2,0,1,5,14,8,16,17,7,20,6,10,8,11,4,8,6,12,5,4,4,5,10,47,74,81,79,69,68,70,78,59,84,74,70,55,45,37,18,25,19,28,21,14,23,23,15,13,8,17,15,13,21,14,16,12,10,10,11,25,13,6,14,10,2,8,6,17,7,11,14,7,6,12,13,13,9,7,4,5,4,4,6,4,3,3,5,8,4,4,4,5,4,1,13
S02001250,13,13,6,6,12,8,9,4,9,7,5,1,9,4,3,4,3,8,6,18,31,42,50,66,55,59,65,80,72,61,54,60,43,39,39,38,28,32,31,27,20,19,22,12,14,14,12,6,13,20,19,8,9,10,9,8,17,12,12,8,4,14,4,11,6,4,3,2,11,7,6,7,3,3,2,0,0,2,2,0,1,3,1,1,1,1,0,0,1,1,2,9,7,7,7,7,5,9,10,9,6,4,5,5,1,3,2,4,8,8,26,48,58,51,52,46,61,50,41,53,37,42,26,32,23,16,21,16,20,30,10,17,11,12,24,10,3,8,13,10,5,9,5,12,9,7,5,7,8,11,4,7,9,5,6,2,4,8,3,2,5,6,7,4,1,1,0,0,2,0,0,1,0,1,0,0,1,1,1,0,1,1
S02001251,26,20,19,20,25,7,24,23,15,11,22,18,11,14,13,9,7,15,12,4,11,14,32,25,48,56,70,84,120,134,104,131,113,84,120,99,92,68,65,66,40,43,38,39,55,37,36,18,33,26,23,29,30,25,22,31,28,21,22,25,19,16,20,11,13,13,14,13,17,21,9,10,12,7,11,6,9,6,4,1,4,2,2,1,4,3,5,3,1,1,10,23,30,28,15,17,21,15,19,19,23,10,16,4,10,10,14,10,10,8,18,23,43,52,45,62,63,79,100,80,73,76,85,79,97,50,54,36,35,39,41,48,20,33,25,32,25,24,21,16,22,23,22,21,21,26,20,17,16,14,29,25,16,7,11,12,9,11,15,14,16,11,8,18,4,6,6,16,6,11,7,10,4,9,7,5,6,3,2,2,2,22
S02001252,19,19,27,19,18,20,20,22,18,24,24,28,20,21,13,11,6,9,17,21,12,35,26,23,34,29,66,74,50,60,64,43,41,52,53,53,48,46,55,52,44,24,46,30,38,42,34,42,34,42,32,29,30,42,35,29,35,28,32,33,28,33,36,21,30,17,21,22,11,20,29,26,15,6,15,15,14,7,18,14,8,10,11,8,10,17,11,6,5,6,9,18,25,29,35,18,26,15,16,22,10,19,12,19,14,18,14,15,17,21,30,18,39,28,38,26,28,43,47,46,48,57,57,58,60,46,45,36,33,36,28,31,41,33,29,32,37,22,20,33,32,19,38,31,29,29,39,27,30,37,34,36,24,30,22,21,21,20,19,17,15,22,28,11,14,16,20,24,14,24,20,13,20,24,21,15,18,22,11,11,10,37
S02001253,27,27,15,31,40,24,23,27,16,14,26,14,10,12,19,23,13,8,14,8,23,17,19,14,11,34,42,27,25,40,27,40,36,14,44,22,32,28,31,14,26,20,18,30,24,25,19,30,24,26,19,31,37,33,19,12,32,26,29,30,26,19,28,21,15,17,13,11,13,22,13,20,12,14,13,19,17,11,13,9,22,15,13,6,11,7,2,4,1,3,10,27,19,22,19,18,14,18,24,27,24,20,16,29,13,10,17,23,6,13,10,11,26,27,33,18,19,36,28,33,30,21,37,41,32,35,42,22,23,39,24,21,19,33,17,24,27,30,19,33,27,16,20,32,43,42,29,29,33,26,40,24,34,22,16,22,18,15,19,21,22,19,23,21,14,18,18,12,21,25,14,17,25,18,17,16,14,13,10,9,7,23
S02001254,39,32,40,46,31,28,29,28,25,22,29,22,24,18,25,24,28,19,22,12,8,19,16,19,18,37,44,52,56,49,54,50,39,46,31,42,35,50,39,33,42,40,31,25,41,32,22,38,29,32,24,44,27,26,32,42,27,34,31,24,42,36,23,19,38,20,20,5,21,19,22,31,13,15,9,9,11,16,9,8,9,13,8,9,11,7,6,8,8,4,5,48,28,45,26,29,22,25,26,26,31,23,29,25,21,26,25,21,13,22,12,28,23,13,31,41,48,44,55,54,46,33,39,51,50,53,45,67,46,38,29,45,32,25,24,25,35,30,35,33,28,39,39,32,39,41,40,40,31,40,25,28,28,33,26,25,17,22,14,31,28,18,18,19,13,14,15,15,18,18,16,17,21,11,12,9,8,14,8,11,2,5
S02001255,22,19,22,24,24,28,20,23,21,25,23,25,14,30,20,25,15,18,17,15,18,15,16,13,15,22,12,45,24,34,36,35,35,28,35,29,28,35,16,24,22,42,24,22,28,33,31,31,34,36,40,49,24,28,33,40,44,27,32,24,32,36,32,27,15,21,12,19,26,13,16,17,6,9,9,12,11,6,5,7,6,7,3,1,4,5,3,3,1,1,5,19,18,18,25,23,22,20,28,16,16,20,21,13,17,16,14,23,25,22,11,15,22,21,21,24,21,34,20,38,44,36,33,26,28,36,34,32,27,34,41,26,34,23,21,28,25,39,29,39,36,45,29,37,37,33,32,39,33,37,40,29,31,27,16,25,22,10,16,27,18,12,20,11,8,15,7,7,6,5,9,8,9,10,8,3,5,3,2,2,3,7
S02001256,9,16,21,18,17,24,8,16,15,12,17,11,9,16,8,10,10,16,10,7,9,12,14,19,18,25,32,29,32,41,20,36,41,28,19,29,23,22,24,18,25,16,26,25,21,23,35,25,13,18,23,28,34,28,21,35,26,22,30,34,21,31,25,22,21,20,23,27,16,25,13,16,19,14,20,13,14,15,7,7,7,5,8,7,4,3,9,1,3,2,3,13,21,11,15,16,21,13,12,15,19,17,17,22,10,10,14,10,17,18,10,13,19,17,20,16,29,23,37,33,41,25,15,37,33,17,27,27,25,23,32,16,23,20,25,15,31,23,40,23,23,33,22,34,24,38,35,28,31,29,30,27,19,32,32,21,24,19,23,16,25,21,29,22,16,11,9,10,9,13,15,11,7,7,11,4,5,6,2,1,2,15
S02001257,34,29,37,31,23,28,27,24,32,31,22,17,10,10,9,21,25,24,16,18,19,20,24,36,37,66,83,82,57,97,42,103,52,66,66,51,53,60,55,41,39,59,37,38,43,47,26,53,34,28,31,32,35,39,53,63,43,32,33,45,34,29,26,25,31,30,19,34,13,22,17,21,15,14,6,7,12,13,7,7,7,12,11,5,8,11,6,4,2,3,9,28,25,29,28,28,22,27,35,31,31,25,26,24,13,13,14,18,24,9,21,19,30,31,46,29,50,36,62,44,58,34,47,51,64,48,52,39,38,48,29,37,29,35,35,27,26,20,40,30,24,44,29,44,29,34,29,41,52,23,40,28,18,29,25,19,25,24,18,17,20,20,16,19,9,9,18,20,15,11,10,15,11,9,10,12,10,11,8,3,9,29
S02001258,38,34,43,38,35,23,30,37,25,28,19,23,28,22,20,33,22,14,29,33,18,30,12,15,15,32,40,38,48,35,29,37,43,41,26,41,40,39,42,35,33,34,26,25,40,19,23,28,38,20,36,24,24,26,28,30,30,27,33,30,25,25,27,20,18,19,21,8,14,18,17,19,12,16,7,16,12,6,12,7,11,3,6,3,5,9,6,3,4,3,2,22,35,30,30,32,37,35,41,21,19,42,19,41,19,23,21,21,19,24,15,26,33,22,35,25,32,37,29,57,51,43,30,37,40,37,30,20,35,32,38,33,27,30,19,23,35,32,32,42,41,34,14,32,31,28,32,22,29,18,23,24,26,11,18,29,18,23,25,13,16,19,22,17,14,20,11,17,6,13,9,12,10,7,19,7,8,8,5,4,5,13
S02001259,20,6,12,8,10,14,9,9,11,0,7,4,5,2,5,3,5,10,13,24,60,86,70,73,73,92,78,76,71,66,56,62,49,51,34,35,17,25,13,27,12,19,7,28,17,22,15,17,14,14,14,17,18,10,13,23,9,20,13,16,12,16,13,14,12,19,9,10,7,7,5,13,4,4,5,6,5,6,4,5,3,2,4,0,6,3,8,5,0,1,1,6,7,16,12,11,9,8,8,8,6,10,6,8,6,0,2,2,6,11,37,71,86,54,58,63,44,50,37,40,38,36,42,26,29,22,16,16,14,18,10,9,10,7,10,13,8,10,14,8,5,12,15,6,9,8,12,16,9,8,16,5,13,13,5,15,8,8,15,6,6,13,14,10,3,6,10,9,5,10,7,9,7,11,6,7,4,4,3,3,3,16
S02001260,10,15,9,11,15,7,18,13,10,3,3,0,6,3,3,6,3,8,26,94,137,135,107,117,95,95,71,64,64,72,58,53,45,40,21,33,29,16,28,33,28,25,14,23,25,24,20,17,14,12,18,19,9,16,6,11,19,10,9,10,4,11,11,18,6,6,12,8,10,10,5,9,8,4,4,1,1,1,2,2,3,1,2,0,1,2,0,1,1,2,4,8,16,8,10,5,14,13,12,8,11,5,1,4,8,4,4,6,11,40,122,202,152,167,99,93,85,71,57,63,53,53,40,40,21,19,25,18,27,18,20,21,14,13,15,4,9,13,15,13,11,8,15,9,10,8,12,9,18,9,8,6,15,6,5,9,5,12,4,6,7,5,3,4,1,2,0,1,2,4,5,3,3,3,3,2,2,0,3,3,3,22
S02001261,17,24,25,29,29,30,20,12,16,16,12,19,14,10,9,11,12,14,80,152,192,164,155,159,134,146,129,128,136,133,128,80,76,72,65,72,60,47,58,43,49,44,46,35,27,41,51,42,27,37,25,24,22,33,34,37,23,25,25,22,26,14,13,12,28,20,10,18,18,18,13,13,11,7,12,9,6,2,5,10,5,5,4,1,3,4,2,3,3,1,12,21,21,22,26,11,10,22,19,15,7,10,14,8,6,19,6,10,18,123,235,206,208,184,151,140,116,141,110,93,101,66,54,48,37,50,40,28,20,26,29,27,22,37,30,16,24,36,24,30,24,30,23,17,28,20,21,23,27,16,17,24,17,19,11,9,15,21,16,17,18,12,16,11,7,5,13,6,12,9,6,10,3,9,10,13,7,6,2,0,4,19
S02001262,19,18,20,12,26,12,21,17,16,9,9,14,13,10,12,13,14,6,7,22,28,35,43,49,38,38,66,59,60,100,69,59,36,52,30,52,50,36,22,30,40,29,44,14,24,18,17,15,20,15,33,22,18,16,22,19,22,11,26,24,13,14,14,28,15,10,13,9,11,10,9,7,12,7,2,9,7,3,10,2,5,4,4,3,2,3,0,1,1,1,5,21,17,21,17,16,24,12,11,23,14,9,12,9,16,12,7,9,9,9,8,33,43,54,45,53,42,49,56,62,46,66,33,57,42,50,46,36,22,36,32,26,27,34,16,16,27,15,23,22,14,19,14,23,22,17,14,23,14,16,19,7,12,24,11,13,16,15,7,14,10,4,16,9,8,3,12,8,9,6,11,2,4,6,6,4,1,6,5,5,7,8
S02001263,26,24,26,30,18,29,18,36,23,17,17,19,19,25,10,17,16,15,35,88,132,205,182,144,137,108,84,77,86,74,59,66,67,43,47,38,35,24,35,32,26,32,26,18,19,19,33,22,43,31,15,21,21,26,21,22,27,17,19,13,15,7,17,12,21,12,13,10,12,15,10,17,10,7,5,9,9,3,8,5,8,4,5,5,3,2,0,2,1,0,4,24,28,24,18,16,20,33,25,13,17,22,19,17,7,17,13,8,17,55,107,187,192,176,126,94,106,80,76,70,44,33,49,44,38,31,31,31,36,29,33,30,36,33,28,14,17,37,29,18,16,16,15,7,14,11,16,16,11,16,24,10,14,13,16,17,11,10,13,10,13,10,17,7,4,6,8,6,8,2,3,10,2,8,5,3,0,3,2,2,5,7
S02001264,18,21,17,14,13,14,15,7,9,7,9,16,8,15,5,3,8,13,36,85,133,91,93,64,56,57,49,74,59,62,60,48,29,51,37,33,33,47,36,37,26,40,30,30,32,23,22,29,17,22,31,24,18,5,15,27,30,10,21,17,17,12,31,20,18,17,26,22,24,23,7,19,12,9,2,7,6,7,6,9,6,6,5,5,11,4,5,4,3,1,4,16,15,18,17,17,18,9,12,15,11,9,14,4,14,9,7,11,7,62,152,148,120,88,81,73,52,59,61,44,46,42,34,32,20,36,27,22,9,27,25,6,10,20,23,29,14,18,11,17,17,11,18,19,29,15,22,21,10,21,15,27,18,18,24,14,12,21,14,17,23,10,18,12,11,13,11,7,5,7,9,11,4,8,10,6,8,7,5,6,3,11
S02001265,21,15,20,12,20,17,17,15,16,25,7,13,6,15,3,9,21,11,112,176,115,86,98,84,79,56,47,42,44,40,48,30,28,28,14,28,30,25,12,19,23,36,13,20,22,11,23,13,8,12,10,11,12,15,19,23,18,10,9,14,15,21,15,6,11,17,9,11,6,9,11,16,8,7,16,7,4,10,5,12,5,6,7,1,4,0,1,5,0,1,5,19,23,25,18,8,23,14,13,14,8,17,4,13,10,8,9,11,7,166,245,167,111,89,84,55,45,48,41,44,35,32,26,17,23,19,23,17,18,21,27,17,23,16,28,24,27,17,22,8,21,18,15,13,26,20,17,16,20,16,15,16,5,23,11,11,10,8,15,12,12,9,10,11,10,13,11,8,7,7,16,8,10,7,8,7,5,1,6,4,4,7
S02001266,40,47,49,47,53,45,37,36,29,28,36,24,27,26,14,19,19,16,21,22,26,25,34,30,30,36,67,88,57,76,60,66,50,56,39,48,62,60,38,50,44,47,48,39,28,45,41,43,31,32,42,54,37,36,40,33,32,28,30,21,24,25,25,26,30,29,20,26,25,15,10,16,12,11,13,22,7,12,8,9,9,9,5,12,1,1,4,6,1,2,7,37,58,55,48,42,49,42,42,39,41,22,22,19,35,20,29,14,19,28,22,34,58,38,47,37,49,62,54,33,58,66,42,73,51,51,49,54,41,44,33,37,30,28,40,24,42,34,32,40,33,28,29,32,25,37,35,27,36,21,22,23,27,23,21,24,22,16,18,20,24,16,25,17,13,16,10,7,8,14,7,11,14,5,4,7,1,9,2,3,1,9
S02001267,26,20,29,34,23,31,23,34,28,17,23,22,25,13,27,9,12,15,5,16,12,28,15,18,38,34,33,68,66,55,28,58,56,46,44,35,38,31,22,46,36,23,25,23,41,33,18,25,25,29,25,11,17,21,25,22,30,25,33,19,21,17,20,25,14,9,13,20,21,21,17,17,25,10,5,6,8,8,12,7,9,3,6,5,8,6,7,6,1,0,12,30,23,30,22,30,34,38,29,21,26,27,2,13,16,16,16,17,10,17,22,30,21,31,31,35,39,44,41,51,29,42,42,31,37,44,40,27,38,27,24,29,16,14,20,28,25,20,17,13,25,25,22,23,22,32,22,26,28,16,11,15,15,21,22,16,11,10,8,17,15,15,13,14,11,6,11,10,9,8,6,4,10,17,12,6,10,5,12,7,7,30
S02001268,50,37,38,33,20,25,26,28,34,28,34,19,8,20,16,8,9,15,18,23,30,46,56,48,52,48,79,88,88,103,76,77,64,58,49,55,58,59,54,48,36,42,38,30,34,37,38,31,40,36,36,37,34,48,26,33,37,39,20,35,39,33,31,37,31,23,26,17,28,32,30,34,22,14,23,15,14,14,3,17,17,11,12,17,14,9,10,3,5,2,13,31,37,31,36,23,43,29,23,20,13,19,21,30,15,24,21,11,23,12,36,33,57,64,66,55,49,51,87,55,87,65,58,36,60,43,54,71,33,40,37,32,40,29,27,27,29,47,48,36,25,28,27,34,43,36,35,44,32,46,37,34,35,30,40,42,36,34,27,31,29,33,35,26,14,30,27,18,29,16,27,18,16,13,21,19,16,16,22,15,8,15
S02001269,32,40,29,34,31,35,34,27,22,17,27,24,22,24,20,18,29,15,28,19,18,20,25,22,21,61,48,45,53,53,59,42,56,44,31,34,54,53,38,35,24,38,34,31,30,46,32,33,28,20,40,39,25,27,32,23,30,31,29,28,41,28,22,34,31,22,30,19,18,24,26,28,21,21,21,24,27,6,18,22,25,21,13,13,8,13,15,10,2,3,10,29,21,23,28,34,34,25,38,38,21,23,22,21,23,18,10,20,16,22,17,21,31,27,31,37,44,81,62,53,53,62,56,41,38,41,41,37,38,31,30,37,25,36,34,32,22,25,44,36,41,35,25,31,38,30,31,35,25,32,33,39,29,23,24,19,37,28,26,26,27,43,47,25,31,25,21,21,28,32,31,24,34,19,24,26,19,19,14,13,14,30
