day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,638124.962,638081,638161,147.349,115,186,0.0,0,0,0.0,0,0,0.0,0,0,9.185,1,19,0.0,0,0
1,637946.801,637891,638001,299.4,256,351,0.0,0,0,0.711,0,6,0.0,0,0,26.167,12,42,0.45,0,5
2,637737.284,637660,637826,470.317,408,540,0.0,0,0,2.801,0,11,0.0,0,0,50.205,27,72,1.687,0,7
3,637482.384,637371,637577,672.021,604,767,0.0,0,0,6.652,0,15,0.0,0,0,82.198,48,113,4.126,0,13
4,637169.966,637024,637301,914.119,814,1032,0.0,0,0,13.063,4,28,0.0,0,0,123.121,86,165,8.264,1,20
5,636781.139,636635,636970,1211.942,1071,1326,0.0,0,0,22.592,8,40,0.0,0,0,174.91,132,224,14.233,4,28
6,636301.017,636104,636532,1576.031,1403,1724,0.002,0,1,36.253,20,54,0.0,0,0,239.338,192,295,22.833,10,39
7,635704.143,635473,635992,2026.473,1811,2219,0.003,0,1,54.907,35,80,0.0,0,0,319.449,257,397,34.261,16,56
8,634965.965,634685,635312,2579.454,2323,2806,0.015,0,2,80.013,50,110,0.0,0,0,419.28,342,515,49.473,28,75
9,634053.42,633660,634439,3259.708,2975,3509,0.044,0,2,112.633,75,157,0.0,0,0,543.511,464,639,69.295,43,101
10,632931.13,632433,633356,4093.116,3768,4436,0.106,0,2,155.259,117,197,0.001,0,1,696.335,598,810,94.478,60,129
11,631549.434,630929,632088,5114.834,4739,5524,0.204,0,3,209.981,161,266,0.002,0,1,885.583,769,1028,126.656,91,174
12,629851.775,629121,630499,6365.747,5893,6869,0.383,0,4,279.826,226,342,0.002,0,1,1117.721,985,1295,166.761,122,223
13,627767.518,626962,628581,7897.496,7263,8526,0.641,0,4,368.409,303,451,0.002,0,1,1403.751,1207,1585,217.137,159,273
14,625214.668,624244,626218,9769.336,8982,10522,0.962,0,6,480.327,399,576,0.002,0,1,1753.527,1559,1966,280.205,221,341
15,622090.006,620875,623325,12054.413,11090,12967,1.433,0,7,620.65,524,725,0.002,0,1,2184.043,1969,2432,358.154,296,428
16,618282.352,616797,619668,14828.629,13842,15901,2.088,0,9,795.196,668,915,0.004,0,1,2711.937,2458,3011,455.36,371,540
17,613641.331,611722,615355,18202.332,16971,19574,2.972,0,9,1012.314,887,1151,0.005,0,1,3356.881,3011,3676,572.845,488,677
18,608005.635,605775,610050,22284.086,20803,23883,4.171,0,12,1283.062,1132,1438,0.006,0,1,4144.454,3748,4518,719.293,618,825
19,601165.859,598528,603538,27223.875,25574,29113,5.733,0,16,1617.722,1453,1814,0.01,0,1,5104.516,4615,5530,897.675,784,1005
20,592905.384,589755,595745,33167.433,31190,35433,7.58,1,17,2029.895,1842,2232,0.017,0,1,6271.537,5778,6771,1115.666,978,1276
21,582956.628,579337,586189,40299.715,38099,42787,10.169,2,21,2537.561,2326,2779,0.023,0,1,7684.932,7126,8260,1382.301,1247,1536
22,571038.226,566634,574837,48795.948,46185,51831,13.259,5,24,3162.042,2910,3446,0.029,0,1,9398.12,8729,10059,1708.131,1526,1896
23,567706.273,563171,571575,47999.334,45504,50981,17.149,4,33,3925.978,3614,4266,0.042,0,1,11455.647,10696,12246,2104.025,1876,2347
24,563675.256,558846,567598,47974.001,45435,51042,21.881,7,40,4861.355,4518,5276,0.055,0,2,13302.197,12427,14184,2587.038,2341,2806
25,559034.007,553992,563203,48557.375,46030,51577,27.862,11,45,5949.358,5536,6438,0.072,0,2,15006.652,14126,15926,3140.49,2845,3412
26,553835.704,548489,558174,49649.804,47144,52793,35.101,14,56,7182.205,6700,7690,0.106,0,2,16612.606,15635,17666,3751.368,3438,4075
27,548125.122,542435,552574,51161.199,48740,54446,43.949,19,64,8556.855,7983,9204,0.151,0,2,18155.75,17104,19252,4412.978,4015,4780
28,541936.634,535913,546683,53022.704,50399,56385,54.994,30,83,10071.099,9406,10846,0.201,0,2,19668.321,18631,20860,5114.764,4664,5544
29,535295.896,528998,540323,55174.992,52499,58501,68.197,43,98,11728.577,10964,12500,0.275,0,3,21167.904,19990,22453,5851.298,5355,6342
30,528198.241,521519,533461,57607.32,54974,61058,83.923,54,117,13531.42,12680,14431,0.354,0,3,22672.954,21422,24098,6616.916,6098,7151
31,520677.595,513677,526163,60253.823,57661,63857,102.567,70,137,15483.253,14576,16562,0.467,0,3,24204.152,22967,25610,7408.25,6842,7966
32,512729.556,505355,518628,63103.11,60256,66696,124.234,92,160,17595.245,16594,18837,0.618,0,4,25766.911,24423,27268,8217.177,7633,8833
33,504362.238,496591,510617,66133.348,63183,69888,148.385,105,189,19873.312,18692,21249,0.796,0,5,27365.481,25910,28920,9039.714,8382,9671
34,495582.623,487463,502162,69315.425,66250,73220,175.6,137,229,22321.028,21017,23859,0.997,0,5,29020.691,27437,30652,9874.658,9223,10585
35,486392.47,477845,493326,72644.923,69534,76516,205.821,162,259,24947.914,23484,26629,1.303,0,6,30722.491,29040,32447,10723.461,9997,11497
36,476802.4,467978,484071,76087.202,72812,79946,238.227,192,292,27762.271,26232,29666,1.673,0,7,32484.863,30712,34162,11586.157,10864,12348
37,466819.684,457631,474196,79632.646,76257,83559,272.339,216,329,30766.593,29081,32864,2.111,0,7,34307.878,32518,36082,12461.603,11736,13311
38,456459.897,447012,464180,83258.435,79774,87044,307.293,251,378,33969.901,32139,36312,2.599,0,8,36191.213,34432,38003,13352.222,12576,14165
39,445731.63,435904,453838,86941.929,83591,90572,343.003,277,419,37375.548,35444,39830,3.227,0,9,38139.134,36311,40182,14257.231,13379,15130
40,434659.297,424711,443195,90656.734,87043,94374,378.917,316,446,40995.161,38872,43704,3.966,0,10,40147.841,38315,42149,15178.526,14236,16158
41,423253.233,412949,432219,94393.113,90824,98331,414.253,347,490,44837.189,42512,47752,4.841,0,13,42207.302,40359,44417,16119.099,15130,17137
42,411538.052,400922,420731,98124.376,94596,101829,448.973,376,528,48896.647,46422,51917,5.898,0,15,44322.84,42441,46599,17078.824,16052,18140
43,399541.646,388543,408992,101819.07,98377,105297,482.064,408,552,53187.118,50440,56484,7.094,0,19,46486.918,44416,48614,18062.698,16983,19131
44,387294.348,375789,396838,105453.334,102240,109079,513.58,430,580,57713.043,54865,61210,8.471,0,22,48689.218,46571,50795,19069.75,17976,20310
45,374825.371,363329,384436,109002.775,105903,112373,542.52,450,615,62474.718,59454,66295,10.011,2,24,50928.844,48790,53067,20098.315,18905,21300
46,362171.198,350583,371929,112435.82,109308,115835,569.472,492,643,67478.04,64266,71582,11.718,3,27,53199.822,51010,55358,21151.0,19919,22399
47,349374.512,337724,359160,115714.441,112519,119079,594.098,516,662,72729.27,69176,77023,13.638,4,29,55495.606,53405,57898,22224.096,21013,23544
48,336473.399,324577,346234,118823.103,115743,121996,616.766,538,684,78233.488,74478,82733,15.676,5,33,57795.791,55590,60230,23319.258,22083,24631
49,323513.613,311454,333167,121729.082,118851,124795,636.733,555,719,83984.45,80003,88615,17.931,6,33,60098.427,57824,62429,24436.888,23136,25795
50,310535.028,298523,320207,124411.834,121524,127105,654.51,584,727,89991.43,85789,94852,20.357,7,35,62378.438,60030,64830,25573.975,24182,27058
51,297588.471,285782,307252,126836.486,124210,129342,669.774,593,749,96243.849,91864,101457,23.044,8,38,64642.522,62238,66990,26727.485,25308,28147
52,284718.054,273029,294414,128970.927,126443,131206,683.058,597,758,102753.56,98098,108099,25.784,12,43,66867.254,64522,69275,27891.13,26549,29322
53,271977.286,260531,281708,130792.905,128592,132867,694.634,619,769,109514.589,104569,115124,28.715,13,47,69045.303,66755,71464,29064.647,27661,30555
54,259399.367,248165,269013,132304.085,130247,134258,704.31,633,776,116524.867,111350,122447,31.862,16,51,71156.745,68874,73436,30242.172,28778,31659
55,247028.32,236107,256454,133486.313,131697,135511,712.748,639,785,123777.083,118401,129909,35.254,19,54,73186.318,71115,75237,31418.769,29929,32833
56,234914.273,224393,244232,134309.309,132924,135985,719.643,648,801,131275.256,125773,137680,38.765,21,60,75128.446,73178,77202,32588.682,31045,33999
57,223084.504,212989,232282,134778.964,133561,136161,725.635,652,799,139003.149,133321,145645,42.446,23,64,76965.123,75091,78945,33743.27,32260,35163
58,211578.097,201734,220554,134887.921,133717,136080,730.481,645,807,146962.128,140990,154091,46.373,25,70,78687.013,76811,80740,34876.824,33450,36216
59,200411.666,190737,209057,134640.32,133508,135804,734.573,647,812,155140.91,148944,162228,50.629,27,75,80286.617,78439,81998,35989.451,34596,37441
60,189633.069,180275,198069,134026.073,132605,135298,737.767,644,821,163526.634,157095,170822,54.825,32,78,81746.171,79767,83582,37069.241,35710,38567
61,179254.176,170385,187363,133066.354,131279,134540,740.516,647,822,172110.059,165556,179598,59.135,35,84,83056.502,81181,84785,38113.265,36716,39598
62,169292.065,160644,177176,131769.135,129871,133467,742.686,652,830,180885.487,173970,188586,63.868,38,89,84207.8,82476,85676,39114.47,37798,40454
63,159762.841,151569,167404,130151.095,127969,131995,744.525,652,819,189827.542,182717,197700,68.725,42,96,85200.97,83588,86503,40068.542,38773,41407
64,150672.082,142870,158028,128228.13,125834,130459,746.294,663,828,198938.364,191784,207008,73.624,50,109,86017.193,84395,87290,40959.054,39727,42267
65,142028.168,134629,148968,126026.564,123340,128356,747.553,671,829,208189.048,201206,216396,78.792,52,114,86661.508,85336,87709,41792.923,40593,42917
66,133825.486,126679,140351,123569.545,120832,125809,748.258,671,824,217564.635,210265,225856,84.115,56,120,87132.23,85846,88141,42559.955,41377,43675
67,126064.444,119273,132219,120879.251,117881,123210,748.608,663,825,227063.732,219697,235413,89.631,57,127,87418.192,86233,88449,43249.871,42202,44248
68,118742.709,112457,124570,117971.768,114788,120372,749.366,658,824,236647.809,229166,244962,95.376,63,133,87542.167,86394,88394,43868.929,42901,44853
69,111843.436,105869,117288,114889.305,111608,117403,749.637,654,837,246317.966,238964,254796,101.301,69,136,87485.592,86518,88341,44408.396,43364,45330
70,105360.138,99641,110592,111655.351,108295,114443,749.432,658,830,256044.122,248666,264603,107.186,77,142,87256.116,86308,88129,44860.251,43949,45687
71,99281.56,93943,104333,108287.907,104874,111019,749.369,654,834,265816.926,258246,274530,113.131,82,150,86864.48,85873,87887,45225.724,44408,46031
72,93589.464,88543,98318,104818.625,101361,107669,748.792,657,822,275613.187,268215,284344,119.3,87,155,86311.162,85215,87336,45507.737,44752,46361
