day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,637772.386,637706,637844,471.281,408,532,0.0,0,0,0.0,0,0,0.0,0,0,3.186,0,10,0.0,0,0
1,637222.705,637122,637320,939.393,848,1038,0.0,0,0,0.226,0,3,0.0,0,0,9.162,1,20,22.264,6,43
2,636623.761,636483,636747,1419.012,1306,1549,0.0,0,0,0.968,0,6,0.0,0,0,17.591,7,33,75.319,43,111
3,635967.594,635805,636103,1915.6,1790,2069,0.0,0,0,2.275,0,9,0.0,0,0,28.416,12,49,161.65,118,209
4,635248.083,635054,635407,2434.388,2275,2603,0.0,0,0,4.358,0,13,0.0,0,0,41.796,25,68,283.202,219,342
5,634460.787,634206,634668,2978.954,2810,3153,0.029,0,2,7.825,0,20,0.0,0,0,57.488,32,78,440.866,379,512
6,633601.002,633341,633874,3551.737,3348,3771,0.203,0,3,13.534,3,26,0.0,0,0,75.47,48,102,635.666,548,717
7,632666.857,632372,632998,4151.589,3942,4358,0.722,0,5,23.647,9,44,0.0,0,0,95.579,64,127,866.051,751,962
8,631647.822,631309,631983,4785.588,4469,5058,1.817,0,7,39.952,21,65,0.0,0,0,117.814,85,155,1133.736,986,1263
9,630543.109,630195,630882,5453.195,5127,5712,3.856,0,13,65.859,36,96,0.002,0,1,142.465,109,183,1437.354,1314,1621
10,629343.435,628989,629739,6162.22,5812,6430,7.24,1,16,104.143,72,142,0.004,0,1,169.615,137,213,1776.07,1631,1983
11,628048.119,627630,628451,6908.971,6601,7176,11.995,2,26,158.793,114,205,0.01,0,1,198.785,155,249,2147.515,1983,2321
12,626649.075,626214,627111,7696.753,7404,7974,18.624,7,32,232.758,184,288,0.021,0,1,230.903,188,295,2550.788,2388,2736
13,625138.67,624654,625643,8531.291,8180,8857,27.611,13,44,328.911,263,400,0.043,0,1,265.511,212,327,2986.417,2797,3200
14,623510.927,622930,624056,9412.73,9081,9846,38.823,22,61,451.142,382,527,0.065,0,1,302.677,253,359,3454.442,3250,3674
15,621761.221,621145,622340,10344.513,9980,10758,52.327,28,78,602.522,518,690,0.122,0,2,342.197,283,408,3955.728,3737,4185
16,619882.288,619222,620477,11327.231,10966,11789,68.353,46,96,786.255,699,883,0.197,0,3,385.042,316,469,4490.321,4259,4728
17,617870.154,617192,618470,12362.423,11979,12826,86.672,56,116,1005.376,895,1109,0.293,0,3,431.239,370,499,5058.303,4779,5319
18,615714.328,614972,616341,13457.62,13021,13987,107.313,78,142,1261.481,1152,1379,0.421,0,4,480.38,407,544,5664.033,5327,5938
19,613412.226,612639,614085,14609.566,14113,15173,130.505,95,168,1559.512,1413,1688,0.59,0,5,532.1,460,605,6303.002,5971,6599
20,610956.854,610017,611664,15818.39,15336,16429,155.528,123,202,1903.452,1729,2065,0.81,0,6,587.536,515,680,6978.524,6678,7266
21,608338.867,607304,609123,17091.594,16595,17746,182.997,144,235,2295.396,2127,2484,1.073,0,6,646.047,562,736,7692.798,7269,8020
22,605555.374,604416,606462,18425.768,17934,19069,212.371,174,262,2737.843,2543,2918,1.435,0,8,707.933,620,802,8446.623,8059,8842
23,604743.45,603582,605617,17718.252,17184,18422,243.207,202,303,3235.083,3034,3422,1.839,0,9,771.382,681,862,9240.19,8794,9639
24,603874.806,602664,604714,17123.978,16621,17832,275.16,231,332,3790.527,3551,4016,2.329,0,9,825.102,732,933,10057.567,9624,10481
25,602975.468,601749,603852,16612.853,16148,17288,308.013,258,364,4409.739,4158,4682,2.915,0,9,870.679,778,963,10818.742,10384,11297
26,602058.366,600812,602942,16161.423,15687,16787,341.731,286,399,5091.976,4819,5357,3.613,0,11,909.41,810,1002,11490.696,11017,11996
27,601129.771,599850,602029,15754.244,15301,16370,375.676,317,434,5839.73,5509,6129,4.434,0,12,942.589,846,1035,12064.241,11542,12596
28,600192.619,598860,601159,15390.698,14923,15981,408.915,351,469,6658.215,6239,6958,5.438,0,14,971.047,876,1077,12540.069,12050,13142
29,599248.516,597923,600197,15065.726,14641,15629,442.117,379,503,7549.401,7107,7933,6.581,1,16,994.93,895,1099,12913.199,12402,13447
30,598300.844,596942,599244,14770.442,14330,15255,473.046,395,543,8509.936,8033,9013,7.832,2,19,1014.784,908,1127,13188.196,12712,13818
31,597354.711,595969,598302,14498.857,14070,14975,501.81,410,573,9541.215,9103,10064,9.258,2,21,1031.771,920,1167,13373.154,12973,13974
32,596408.238,595006,597402,14251.091,13823,14764,528.152,457,602,10634.185,10170,11193,10.994,3,23,1044.075,948,1181,13472.311,13037,14053
33,595465.981,594030,596441,14018.384,13581,14466,550.853,475,623,11778.273,11278,12360,12.695,4,24,1054.105,952,1182,13502.683,13093,14108
34,594528.294,593053,595515,13800.556,13386,14286,570.465,484,652,12964.388,12505,13554,14.618,4,28,1062.293,957,1187,13473.964,13006,14194
35,593598.257,592120,594574,13591.203,13151,14073,586.854,493,667,14183.473,13697,14767,16.627,6,30,1069.623,952,1196,13398.023,12910,14105
36,592677.359,591176,593688,13392.121,12956,13925,599.763,522,683,15423.579,14929,16001,18.75,7,33,1073.994,945,1196,13289.375,12860,13966
37,591765.311,590255,592809,13199.71,12787,13699,610.17,535,695,16677.364,16135,17277,20.97,8,40,1077.068,941,1204,13151.475,12698,13674
38,590863.214,589368,591930,13013.18,12553,13503,618.686,537,703,17938.86,17398,18565,23.221,9,44,1078.223,945,1205,12993.146,12573,13497
39,589969.714,588423,591067,12834.36,12335,13279,624.263,546,701,19200.651,18620,19923,25.522,9,46,1078.389,956,1194,12822.739,12389,13308
40,589086.952,587549,590199,12658.336,12206,13062,628.026,558,714,20458.452,19817,21216,27.885,12,46,1076.997,964,1193,12641.133,12251,13112
41,588213.306,586586,589361,12487.269,12004,12953,630.681,558,711,21702.212,21048,22380,30.231,15,49,1075.435,959,1201,12460.708,12049,12929
42,587353.514,585709,588509,12316.219,11909,12780,631.818,550,718,22935.496,22282,23709,32.503,16,52,1072.895,952,1196,12279.609,11843,12764
43,586501.46,584851,587717,12151.477,11705,12611,632.103,550,720,24156.091,23530,24976,34.8,19,54,1069.297,956,1198,12099.776,11652,12615
44,585662.344,583939,586826,11986.11,11582,12476,632.307,555,719,25358.63,24671,26271,37.146,20,56,1065.148,960,1195,11921.755,11544,12354
45,584833.89,583084,586012,11824.304,11413,12266,632.1,557,715,26549.649,25842,27429,39.366,20,59,1060.097,969,1184,11746.066,11307,12171
46,584016.904,582220,585201,11666.035,11246,12084,631.237,559,718,27724.478,27010,28669,41.519,23,64,1054.685,961,1169,11575.213,11109,12038
47,583209.039,581431,584408,11510.198,11113,11973,630.458,552,712,28880.421,28088,29848,43.705,23,68,1047.743,938,1174,11409.577,11007,11869
48,582411.783,580598,583623,11359.174,10975,11889,629.027,538,714,30021.653,29137,30996,45.828,28,74,1041.061,940,1144,11246.084,10798,11756
49,581626.057,579814,582834,11207.825,10786,11727,628.197,555,715,31144.862,30301,32223,48.015,28,75,1033.537,924,1141,11086.681,10547,11592
50,580851.191,579010,582093,11059.958,10633,11520,626.817,546,711,32253.723,31403,33409,50.095,29,77,1026.356,904,1145,10928.898,10404,11427
51,580085.696,578271,581358,10913.187,10485,11372,625.378,547,714,33343.804,32509,34526,52.141,32,80,1017.997,905,1125,10775.757,10307,11248
52,579330.529,577527,580582,10768.404,10390,11197,624.195,539,712,34419.002,33564,35645,54.159,33,81,1009.797,889,1125,10626.327,10176,11053
53,578585.719,576752,579870,10624.249,10237,11044,623.133,526,709,35479.344,34577,36683,56.102,33,81,1002.019,889,1117,10480.06,10012,10975
54,577849.195,576011,579116,10483.258,10119,10878,622.217,524,709,36526.453,35645,37768,58.06,34,84,992.461,870,1101,10337.591,9847,10766
55,577122.921,575275,578378,10343.419,9941,10733,621.139,538,710,37558.618,36642,38816,60.003,36,85,982.959,870,1096,10200.4,9719,10625
