day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809416.321,809335,809513,646.793,560,718,0.0,0,0,0.0,0,0,0.0,0,0,38.498,19,60,0.0,0,0
1,808675.078,808528,808797,1258.546,1151,1416,0.0,0,0,7.866,1,20,0.0,0,0,103.968,71,133,11.506,1,25
2,807891.297,807740,808030,1855.585,1727,2003,0.0,0,0,29.319,12,48,0.0,0,0,188.543,124,227,40.427,20,68
3,807051.658,806853,807228,2450.836,2291,2622,0.0,0,0,68.244,42,96,0.0,0,0,288.492,221,353,89.554,55,124
4,806149.734,805948,806376,3053.271,2867,3219,0.0,0,0,127.244,89,167,0.0,0,0,398.908,338,483,160.891,116,205
5,805180.418,804930,805384,3666.073,3464,3876,0.021,0,1,209.883,150,267,0.0,0,0,518.839,440,603,254.992,193,318
6,804140.906,803860,804399,4289.818,4074,4504,0.129,0,2,317.376,248,381,0.0,0,0,648.607,572,730,371.457,295,438
7,803025.449,802712,803284,4930.577,4691,5148,0.476,0,4,453.591,388,527,0.0,0,0,784.695,679,884,510.146,419,598
8,801831.605,801476,802119,5588.062,5346,5835,1.187,0,6,621.567,556,725,0.001,0,1,927.307,831,1031,669.555,574,752
9,800559.164,800173,800893,6262.319,5975,6505,2.54,0,14,824.139,729,939,0.001,0,1,1076.344,989,1219,849.35,744,967
10,799201.851,798784,799584,6956.431,6704,7223,4.594,0,15,1065.078,929,1183,0.008,0,1,1231.277,1127,1375,1045.527,949,1164
11,797760.385,797377,798147,7669.076,7337,7975,7.798,0,19,1347.299,1202,1484,0.017,0,1,1390.969,1264,1529,1259.24,1148,1398
12,796229.51,795702,796696,8405.321,8058,8773,12.048,3,25,1674.341,1527,1815,0.032,0,1,1555.605,1419,1691,1487.19,1343,1615
13,794612.22,794092,795068,9158.488,8802,9542,17.749,6,35,2048.27,1861,2220,0.047,0,2,1727.008,1579,1891,1727.879,1549,1881
14,792903.723,792313,793355,9928.818,9518,10396,24.987,10,45,2472.731,2299,2671,0.083,0,2,1905.222,1760,2049,1978.796,1773,2127
15,791100.559,790406,791606,10721.808,10275,11287,33.964,17,55,2951.577,2755,3174,0.109,0,3,2086.505,1935,2231,2241.689,2042,2437
16,789202.57,788503,789756,11534.968,11063,12037,44.335,26,67,3486.262,3264,3723,0.16,0,3,2273.361,2111,2453,2514.216,2333,2693
17,787207.374,786510,787781,12367.445,11958,12879,56.437,33,81,4079.685,3858,4300,0.24,0,3,2465.932,2277,2643,2798.085,2614,2983
18,785112.433,784394,785748,13220.949,12780,13714,70.214,40,95,4732.768,4490,5004,0.339,0,4,2663.824,2428,2851,3090.988,2909,3298
19,782917.306,782227,783576,14093.815,13654,14497,85.589,54,116,5448.333,5161,5732,0.475,0,4,2868.233,2675,3109,3393.127,3202,3618
20,780618.733,779824,781359,14990.286,14493,15426,102.394,72,138,6228.235,5955,6515,0.636,0,4,3074.625,2851,3286,3702.932,3502,3934
21,778216.966,777367,778934,15900.882,15358,16353,120.798,90,156,7074.649,6775,7364,0.847,0,6,3289.97,3085,3495,4022.629,3805,4243
22,775707.184,774795,776492,16835.606,16389,17261,141.212,106,185,7990.895,7660,8316,1.115,0,6,3508.681,3331,3692,4349.87,4134,4615
