age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,97005.77143718592,96424.57788944723,97659.54773869347,26971.44644723618,26423.9648241206,27532.065326633165,947.8150351758794,861.8793969849246,1040.8743718592964,1014928.5966984923,1014037.2010050251,1015794.4221105528,921.2777587939698,838.678391959799,1005.9045226130653,1830.0295075376887,1761.4472361809046,1899.4874371859296,23454.90997487437,23072.251256281408,23825.909547738695,average
1,99.0,45067.00266834171,44749.94974874372,45450.98492462312,13594.309572864322,13263.341708542714,13906.201005025127,410.0387336683417,353.4170854271357,469.2110552763819,513480.84092964826,512910.2713567839,514035.30150753766,959.4703065326634,863.1105527638191,1060.8844221105528,651.8698693467337,615.6683417085427,690.0954773869347,12114.650130653265,11853.814070351758,12374.613065326634,average
2,99.0,47858.3842160804,47537.497487437184,48216.10552763819,14171.537396984926,13844.185929648242,14499.48743718593,433.25584924623115,377.02010050251255,493.678391959799,534456.9489899498,533781.175879397,534991.5376884422,997.9956834170854,894.6884422110553,1086.819095477387,679.6463015075377,642.3718592964824,717.8894472361809,12630.406628140705,12369.683417085427,12887.492462311558,average
3,99.0,57846.838180904524,57469.85427135678,58306.88944723618,17251.95327638191,16863.48743718593,17628.909547738695,461.34106532663316,399.83417085427135,523.7236180904523,649920.8948140704,649152.2412060301,650594.6633165829,2433.0089748743717,2292.3366834170856,2578.4924623115576,827.687150753769,785.0804020100503,869.0301507537688,15376.052155778896,15085.979899497488,15667.86432160804,average
4,99.0,52279.48425125628,51947.281407035174,52666.24120603015,15133.584241206028,14802.673366834171,15477.75879396985,485.90598994974874,423.45226130653265,553.2311557788945,563731.4305829145,563024.6030150753,564445.1507537689,6914.681844221106,6674.462311557789,7169.331658291458,726.2324623115578,688.6532663316583,765.0854271356784,13488.18638693467,13226.125628140704,13755.814070351758,average
5,99.0,49823.72959798996,49519.65326633166,50137.93969849246,12794.670829145729,12515.226130653265,13057.346733668342,630.7653417085427,560.608040201005,704.7185929648241,460792.9541005025,460064.3567839196,461507.91959798994,16018.089175879393,15550.572864321608,16429.899497487437,614.195417085427,576.5276381909548,653.1608040201005,11407.94024120603,11166.417085427136,11647.854271356784,average
6,99.0,54734.08764321609,54408.37185929648,55070.27135678392,13465.099,13177.859296482413,13737.261306532664,1005.8807135678393,917.3316582914573,1097.6984924623116,446102.78470854275,445232.62814070354,447046.3266331658,53138.07098994975,52473.884422110554,53737.572864321606,645.9456030150753,609.572864321608,684.2814070351759,12007.777829145729,11760.954773869347,12267.175879396986,average
7,99.0,8289.637557788945,8158.140703517588,8423.462311557789,2416.01683919598,2271.889447236181,2560.2663316582916,64.35368844221107,43.42713567839196,87.99497487437186,90400.62278391959,90158.55778894473,90644.96984924623,444.42657286432154,383.23115577889445,507.00502512562815,115.5488040201005,101.64824120603015,130.69849246231155,2146.5550351758798,2043.713567839196,2252.9095477386936,average
,,51613.116944095476,51276.91582914573,51991.43027638191,14474.827200376885,14145.32851758794,14799.912060301507,554.9195521356785,492.1212311557789,621.3913316582914,534226.8842010051,533545.1293969849,534882.5364321608,10228.377663316583,9996.370603015077,10446.988693467336,761.3943894472362,722.6212311557789,801.2160804020101,12828.309797738693,12572.367462311558,13084.954145728643,aoa
,,24043.44956549744,23921.95811005676,24183.909560884968,6702.201796812683,6590.315114336402,6818.400443808459,305.53292860893873,285.1719486582816,326.8778412479096,255203.10099801168,255041.369566469,255348.54472622086,18126.426235161543,17920.891201963797,18307.591095602944,480.8330505177637,466.26541292270406,495.2031588897497,5821.022769014832,5745.038189015623,5893.099888182393,std
