day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,632366.085,632309,632414,202.777,162,254,0.0,0,0,0.0,0,0,0.0,0,0,8.53,1,19,0.0,0,0
1,631939.64,631851,632047,485.185,413,557,0.0,0,0,1.852,0,8,0.0,0,0,21.194,8,40,7.26,0,19
2,631289.367,631170,631433,908.292,805,1015,0.0,0,0,6.492,0,16,0.0,0,0,39.912,22,74,26.118,10,51
3,630247.762,630059,630456,1598.768,1443,1734,0.0,0,0,15.451,4,31,0.0,0,0,66.445,40,101,62.652,38,92
4,628543.609,628268,628824,2748.249,2482,2978,0.0,0,0,29.91,13,55,0.0,0,0,108.705,79,142,126.004,85,171
5,625681.386,625242,626117,4719.469,4392,5084,1.086,0,7,56.317,31,81,0.0,0,0,175.526,129,234,226.555,170,273
6,620796.403,620042,621486,8132.998,7530,8657,5.853,0,21,106.038,69,145,0.021,0,1,286.936,233,352,381.999,320,461
7,612374.32,611164,613604,14082.401,13197,15002,16.048,6,33,193.664,142,242,0.1,0,2,474.639,407,543,628.567,533,719
8,597826.016,595617,599930,24406.054,22879,26033,33.729,14,54,340.009,285,414,0.323,0,3,800.122,703,901,1034.815,913,1136
9,572833.639,569288,576588,42140.591,39366,44528,63.042,38,95,587.446,488,671,0.855,0,4,1363.21,1224,1509,1717.392,1553,1894
10,530850.718,524967,537091,71650.835,67245,75671,110.13,75,146,1005.366,873,1145,2.044,0,7,2334.097,2114,2525,2881.028,2672,3106
11,463350.444,453836,472767,118002.506,111790,124611,186.513,136,230,1715.388,1559,1875,4.961,0,13,3975.333,3671,4268,4881.739,4536,5230
12,363594.138,350020,376290,182998.14,174879,191780,307.838,253,376,2920.92,2700,3145,11.906,2,23,6638.928,6103,7024,8292.38,7646,8795
13,236745.879,220919,251282,255977.747,248067,264226,496.689,406,572,4950.643,4625,5329,29.844,14,47,10667.368,9913,11241,13998.545,13038,14770
14,112291.52,100117,124205,305110.273,301746,307733,772.371,675,863,8292.186,7733,8795,76.953,48,109,15993.467,15159,16626,23161.378,21775,24383
15,32330.649,26845,38299,295314.402,289846,300677,1130.032,1034,1246,13591.769,12679,14346,200.671,147,268,21615.265,20781,22258,36847.129,34815,38713
16,4750.017,3474,6187,236034.472,228046,243350,1482.236,1356,1611,21544.705,20344,22660,509.181,421,586,25708.455,25087,26287,55098.276,52540,57543
17,295.71,65,559,171080.17,164338,177612,1652.072,1517,1784,32828.817,31123,34363,1183.237,1050,1340,27125.056,26496,27762,76089.157,73552,78806
18,11.923,0,69,121049.629,116402,126074,1621.962,1481,1771,48097.521,45903,50352,2389.346,2202,2610,26286.749,25671,26860,96408.637,94237,98974
19,1.304,0,18,85454.407,82048,88982,1694.314,1549,1816,67964.561,65220,70845,4181.743,3887,4470,24137.669,23512,24681,112629.924,110688,114582
