day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,1266573.671,1266535,1266615,166.142,123,206,0.0,0,0,0.0,0,0,0.0,0,0,1.377,0,8,0.0,0,0
1,1266378.465,1266318,1266448,330.403,273,395,0.0,0,0,0.05,0,1,0.0,0,0,3.987,0,13,2.012,0,8
2,1266160.349,1266086,1266241,503.075,433,575,0.0,0,0,0.243,0,4,0.0,0,0,7.507,0,16,7.347,1,19
3,1265909.823,1265815,1266013,693.292,594,781,0.0,0,0,0.577,0,4,0.0,0,0,12.173,1,23,17.402,5,32
4,1265616.416,1265497,1265728,909.269,799,1026,0.0,0,0,1.092,0,6,0.0,0,0,18.333,4,31,33.549,14,59
5,1265272.838,1265149,1265406,1156.791,1053,1278,0.042,0,2,2.132,0,9,0.0,0,0,25.53,9,41,56.326,32,90
6,1264869.714,1264713,1265023,1441.575,1286,1621,0.315,0,4,5.002,0,16,0.0,0,0,34.271,16,53,85.997,52,127
7,1264393.618,1264177,1264579,1773.944,1592,1950,1.07,0,6,11.503,0,27,0.001,0,1,44.847,24,70,121.748,83,157
8,1263833.474,1263555,1264051,2160.737,1981,2358,2.361,0,9,22.555,8,45,0.004,0,1,57.687,33,83,164.942,123,222
9,1263172.309,1262866,1263451,2614.62,2382,2835,4.415,0,13,39.639,17,67,0.008,0,1,72.796,45,104,215.312,169,273
10,1262393.881,1262024,1262733,3146.073,2900,3382,7.096,1,20,64.434,34,102,0.013,0,1,90.613,60,124,273.942,222,346
11,1261478.321,1261036,1261911,3767.01,3437,4093,10.645,2,24,97.834,63,141,0.022,0,1,111.385,80,145,342.439,281,421
12,1260398.781,1259800,1260958,4497.65,4073,4927,14.934,2,31,141.026,97,188,0.04,0,1,135.712,99,173,422.893,341,494
13,1259132.229,1258415,1259837,5349.456,4824,5839,20.191,7,42,195.932,139,248,0.057,0,1,164.365,125,204,518.456,437,621
14,1257640.722,1256853,1258423,6352.422,5779,6846,26.752,12,48,264.46,202,329,0.08,0,2,198.62,153,245,629.461,519,724
15,1255889.04,1254950,1256754,7526.284,6883,8090,34.512,17,54,351.257,282,432,0.109,0,2,238.121,180,289,757.942,651,865
16,1253830.442,1252884,1254863,8904.4,8143,9532,43.56,20,65,455.218,373,556,0.14,0,3,285.306,231,349,910.208,793,1036
17,1251416.531,1250285,1252528,10513.61,9694,11246,54.135,32,84,582.337,478,684,0.182,0,3,340.518,284,409,1088.782,935,1210
18,1248583.083,1247286,1249825,12403.46,11439,13199,66.528,41,99,735.785,616,853,0.245,0,3,405.297,342,485,1297.784,1126,1458
19,1245256.706,1243699,1246715,14617.283,13458,15584,81.444,54,120,920.48,782,1054,0.318,0,4,481.191,407,562,1541.809,1377,1716
20,1241355.695,1239583,1242984,17209.503,15981,18363,98.421,66,133,1142.247,1010,1290,0.412,0,4,570.184,493,657,1826.866,1648,2011
21,1236784.875,1234779,1238608,20242.502,18979,21582,118.313,82,151,1405.774,1230,1568,0.551,0,4,675.119,579,785,2162.493,1912,2355
22,1231436.026,1229023,1233559,23787.193,22393,25351,141.588,101,184,1719.219,1499,1916,0.702,0,4,797.288,685,916,2553.016,2301,2814
23,1228333.782,1225679,1230689,24786.585,23174,26472,168.918,126,213,2092.482,1880,2297,0.877,0,4,939.715,824,1074,3009.561,2679,3297
24,1224686.163,1221818,1227262,26243.07,24553,27985,200.651,151,250,2531.271,2283,2783,1.118,0,6,1083.559,942,1242,3545.56,3204,3938
25,1220535.485,1217413,1223398,28072.593,26234,29942,236.904,191,283,3052.891,2719,3338,1.395,0,6,1231.326,1091,1396,4137.929,3762,4535
26,1215900.716,1212535,1219081,30227.946,28300,32114,278.169,221,338,3664.625,3306,3980,1.707,0,7,1386.023,1249,1579,4773.984,4324,5267
27,1210783.705,1207197,1214289,32673.197,30619,34884,325.773,258,393,4383.986,3981,4762,2.058,0,9,1549.961,1368,1767,5437.929,4989,5902
28,1205185.282,1201258,1209105,35382.748,33173,37820,380.976,301,443,5226.049,4748,5648,2.507,0,10,1725.937,1535,1960,6118.858,5666,6670
29,1199093.338,1194542,1203439,38347.855,35897,40915,442.239,359,508,6205.609,5619,6700,3.054,0,10,1914.506,1700,2187,6811.179,6328,7541
30,1192491.971,1187536,1197206,41561.438,38879,44387,507.471,427,580,7324.806,6726,7902,3.714,0,11,2116.034,1899,2363,7526.62,6863,8156
31,1185356.449,1179900,1190600,45025.871,42080,48161,575.165,502,666,8583.187,7885,9336,4.449,0,12,2332.026,2099,2597,8275.698,7595,8902
32,1177660.817,1171719,1183441,48742.767,45498,52252,643.722,569,735,9982.035,9280,10908,5.329,0,16,2565.307,2320,2869,9072.546,8301,9745
33,1169382.294,1162849,1175619,52714.862,49350,56541,714.936,615,808,11535.463,10739,12543,6.316,0,17,2816.572,2589,3106,9915.896,9186,10615
34,1160482.241,1153344,1167212,56953.551,53402,61054,786.247,693,897,13251.146,12290,14306,7.511,0,19,3085.809,2840,3417,10814.114,9998,11763
35,1150925.914,1143236,1158269,61475.008,57494,65744,857.928,760,966,15131.202,14045,16394,8.83,0,20,3374.281,3089,3728,11779.37,10863,12652
36,1140689.305,1132142,1148603,66277.463,62054,70978,930.474,832,1047,17193.202,15833,18479,10.287,0,25,3684.251,3379,4045,12813.621,11875,13738
37,1129731.086,1120537,1138246,71381.723,66971,76387,1003.151,899,1111,19445.794,18102,21008,11.966,0,27,4017.974,3639,4425,13926.36,12918,14878
38,1118013.491,1108245,1127176,76784.45,71951,81877,1074.931,965,1196,21910.992,20318,23660,13.847,1,28,4374.901,3960,4764,15111.18,14054,16297
39,1105514.052,1094971,1115352,82497.502,77303,87916,1148.135,1027,1282,24595.673,22867,26326,15.962,3,31,4754.518,4312,5143,16379.022,15246,17480
40,1092185.862,1080925,1102810,88533.27,83107,94275,1220.758,1108,1345,27514.344,25507,29515,18.256,7,34,5162.835,4743,5581,17742.669,16454,19130
41,1078005.616,1066003,1089482,94886.493,89187,100905,1293.236,1161,1442,30692.046,28445,32876,20.758,9,37,5598.166,5170,6059,19194.297,17858,20769
42,1062948.876,1050018,1075184,101551.936,95460,107917,1365.937,1249,1493,34146.966,31712,36628,23.577,11,42,6060.216,5660,6532,20738.978,19253,22480
43,1046984.946,1033116,1060043,108538.587,102190,115028,1437.6,1287,1575,37891.759,35305,40421,26.647,12,45,6551.246,6103,7077,22382.401,20893,24116
44,1030093.043,1015188,1043930,115833.12,109232,122773,1508.311,1365,1649,41948.84,39197,44769,29.865,14,52,7075.298,6610,7610,24129.7,22583,25827
45,1012251.039,996310,1026842,123437.883,116577,130615,1579.061,1438,1731,46336.83,43161,49447,33.497,17,56,7629.706,7104,8202,25989.987,24163,27995
46,993461.431,976430,1008988,131317.578,123975,138873,1650.17,1505,1817,51075.139,47560,54639,37.362,19,63,8216.08,7687,8802,27957.587,25977,29931
47,973715.268,955932,989963,139453.991,132028,147118,1720.143,1578,1868,56193.231,52216,59886,41.733,20,69,8834.871,8258,9477,30033.37,28063,32137
48,953006.819,934318,970180,147833.832,140073,155872,1788.124,1651,1918,61719.512,57702,65817,46.477,22,75,9486.563,8907,10158,32210.576,30194,34353
49,931357.542,911961,949453,156415.819,148297,164692,1855.073,1718,2000,67662.68,63207,72333,51.54,24,81,10173.635,9532,10860,34513.478,32403,36735
50,908782.469,888515,927867,165162.744,156866,173605,1923.425,1774,2106,74060.732,69299,79247,57.11,28,90,10894.644,10253,11579,36916.476,34716,39303
51,885308.339,864039,905083,174035.002,165680,182926,1987.737,1836,2151,80924.888,75801,86557,63.223,32,95,11649.114,10956,12328,39439.788,37125,41793
52,860968.58,838894,881457,182989.971,174551,191840,2052.139,1875,2195,88266.127,82602,94041,69.623,38,103,12437.095,11641,13191,42093.251,39678,44978
53,835818.707,812928,857458,191961.392,183658,200864,2115.998,1984,2254,96135.829,90080,102552,76.573,49,111,13257.628,12436,14128,44842.884,42378,47692
54,809928.1,786272,832369,200879.983,192164,210000,2177.016,2009,2313,104554.012,98084,111537,84.066,53,120,14108.346,13223,15020,47687.772,45116,50377
55,783356.604,758740,806433,209697.628,201143,218912,2237.539,2105,2403,113543.534,106554,121299,92.008,62,129,14988.493,14102,15857,50619.119,48092,53511
56,756202.613,731010,779638,218317.158,210199,227010,2294.694,2163,2465,123115.153,115308,131125,100.462,68,139,15896.04,15028,16825,53649.072,50836,56834
57,728546.034,702637,752632,226680.42,219001,235470,2352.239,2208,2518,133303.796,124925,141763,109.685,74,149,16826.79,15913,17822,56746.098,53704,60007
58,700493.568,674128,725247,234692.769,227053,243193,2404.953,2259,2571,144122.658,135477,153056,119.423,80,158,17779.283,16905,18722,59912.359,57015,63272
59,672147.108,645760,697272,242287.032,235238,250159,2456.245,2288,2617,155578.349,146559,165229,129.78,87,165,18752.481,17806,19690,63144.702,60121,66575
60,643632.165,617350,668959,249380.764,242797,256584,2504.678,2328,2657,167714.51,158078,178071,140.845,96,181,19736.971,18756,20778,66397.379,62922,69915
61,615058.819,588935,640631,255915.226,249552,262186,2550.495,2344,2738,180533.495,170058,191585,152.533,105,190,20732.545,19739,21966,69654.618,66287,72888
62,586552.341,560214,611711,261802.678,255729,267423,2593.982,2431,2764,194038.343,183042,205370,164.759,119,205,21734.397,20749,22928,72900.293,69539,76302
63,558251.722,532280,583458,266959.281,261282,271667,2633.709,2489,2791,208241.633,196600,220319,177.671,132,221,22735.308,21704,23906,76142.012,72745,79320
64,530256.167,504584,555126,271350.347,266147,275444,2670.031,2501,2806,223136.979,210782,235960,191.439,144,240,23736.263,22734,24911,79328.673,76052,82561
65,502707.897,477501,527377,274908.38,270541,278633,2701.543,2531,2861,238745.289,225632,252303,205.794,158,255,24725.034,23731,25847,82435.105,79602,85558
66,475713.201,451005,500109,277605.803,274006,280290,2730.522,2558,2875,255032.072,241267,269463,220.745,171,273,25696.492,24724,26903,85461.01,82431,88641
67,449374.245,425469,473118,279407.43,276632,281375,2758.964,2602,2937,272006.295,257410,286681,236.275,180,295,26643.136,25689,27802,88363.53,85563,92038
68,423795.633,400438,446897,280281.53,278187,281816,2783.077,2633,2968,289646.807,274343,304805,252.621,194,317,27563.535,26643,28676,91124.734,88646,94477
69,399057.153,376593,421391,280244.188,278589,281829,2806.355,2636,2965,307914.081,291668,323986,269.588,206,333,28450.506,27509,29472,93734.477,91150,96911
