day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
1,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
2,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
3,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
4,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
5,113093.0,113093,113093,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
6,113092.897,113064,113093,0.103,0,29,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
7,113092.382,113035,113093,0.606,0,55,0.0,0,0,0.0,0,0,0.0,0,0,0.004,0,2,0.0,0,0
8,113090.212,113003,113093,2.683,0,82,0.0,0,0,0.001,0,1,0.0,0,0,0.027,0,4,0.002,0,1
9,113083.451,112951,113093,9.039,0,117,0.0,0,0,0.002,0,1,0.0,0,0,0.123,0,9,0.008,0,2
10,113065.749,112860,113093,25.333,0,214,0.0,0,0,0.01,0,2,0.0,0,0,0.469,0,14,0.026,0,3
11,113031.855,112762,113093,55.187,0,268,0.0,0,0,0.035,0,4,0.0,0,0,1.398,0,20,0.104,0,5
12,112967.363,112615,113093,110.916,0,434,0.0,0,0,0.1,0,6,0.0,0,0,3.457,0,27,0.378,0,6
13,112855.212,112282,113093,205.693,0,711,0.0,0,0,0.314,0,7,0.0,0,0,7.491,0,39,1.02,0,9
14,112680.321,111931,113093,347.817,0,931,0.0,0,0,0.707,0,8,0.0,0,0,15.004,0,59,2.402,0,16
15,112417.043,111419,113045,555.952,48,1319,0.0,0,0,1.428,0,10,0.0,0,0,27.372,0,94,5.318,0,29
16,112039.654,110751,112880,844.963,206,1790,0.0,0,0,2.897,0,15,0.0,0,0,46.943,3,134,10.657,0,42
17,111518.5,110087,112605,1231.908,430,2143,0.003,0,1,5.368,0,21,0.0,0,0,76.63,9,197,19.76,0,63
18,110822.204,109233,112212,1732.103,709,2753,0.008,0,1,9.39,0,31,0.0,0,0,119.034,21,280,34.759,1,91
19,109911.765,108225,111648,2368.455,1183,3592,0.015,0,1,15.563,0,43,0.0,0,0,178.117,42,373,57.867,5,144
20,108751.466,106564,110847,3152.781,1751,4663,0.031,0,2,24.745,3,57,0.0,0,0,258.342,90,487,92.119,17,212
21,107310.194,104839,109773,4093.977,2481,5736,0.083,0,3,38.45,5,86,0.0,0,0,363.895,155,611,142.29,40,292
22,105551.966,102677,108410,5202.638,3446,6982,0.164,0,3,57.99,10,125,0.0,0,0,499.016,238,790,211.895,71,394
23,103441.409,100028,106530,6487.238,4752,8491,0.321,0,4,85.095,23,163,0.0,0,0,669.59,365,991,307.397,127,533
24,100946.577,97168,104466,7953.714,5822,10042,0.573,0,6,121.337,46,227,0.0,0,0,880.189,545,1263,435.323,184,706
25,98043.559,93869,102272,9595.979,7155,11957,0.997,0,7,170.397,68,310,0.002,0,1,1135.261,724,1580,601.717,284,926
26,94722.054,90031,99743,11395.811,8535,14047,1.612,0,10,234.13,102,406,0.006,0,2,1439.291,981,1950,813.684,456,1196
27,90977.403,85898,96402,13334.918,10497,16132,2.657,0,12,316.483,152,532,0.011,0,2,1795.432,1263,2335,1081.512,651,1552
28,86804.282,81160,92546,15391.254,12552,18337,4.138,0,13,421.614,226,676,0.019,0,2,2207.212,1620,2782,1412.35,912,1993
29,82222.706,76088,88306,17533.077,14351,20549,6.254,0,17,553.436,350,869,0.032,0,2,2674.72,2024,3290,1813.876,1225,2478
30,77241.556,70482,83940,19734.285,16326,22883,9.148,0,21,716.645,468,1089,0.057,0,2,3200.019,2521,3915,2296.602,1581,3083
31,71917.184,64935,78932,21930.45,18538,24655,13.048,2,29,917.829,619,1366,0.086,0,2,3780.933,3033,4574,2866.902,2040,3757
32,66309.116,59156,73574,24064.225,21030,26727,18.428,4,37,1162.642,814,1644,0.127,0,3,4412.432,3584,5197,3532.745,2555,4554
33,60480.587,53282,67896,26076.771,23560,28579,25.274,7,48,1456.706,1033,2017,0.191,0,3,5093.964,4213,5955,4297.838,3181,5393
34,54507.144,47454,61868,27918.014,25596,30124,34.171,14,62,1805.571,1298,2429,0.288,0,3,5815.818,4846,6702,5169.233,3912,6351
35,48496.935,41656,55662,29507.348,27131,31499,45.431,15,78,2217.665,1605,2927,0.438,0,4,6569.892,5536,7466,6145.604,4744,7502
36,42559.271,36044,49501,30766.899,28695,32682,59.358,24,99,2699.139,1998,3454,0.629,0,4,7346.116,6288,8227,7231.758,5709,8785
37,36789.148,30716,43499,31657.833,29791,33718,76.766,39,122,3256.614,2457,4079,0.881,0,5,8131.482,7136,9029,8418.411,6745,10112
38,31293.955,25805,37624,32130.436,30328,34212,97.306,49,152,3895.641,2992,4809,1.243,0,7,8911.197,7963,9801,9705.197,7978,11531
39,26171.312,20947,32164,32158.255,30363,34132,122.211,76,183,4626.354,3589,5678,1.686,0,8,9668.981,8721,10544,11076.114,9240,13069
40,21494.157,16779,26740,31741.96,29942,33580,151.55,98,213,5453.899,4353,6652,2.194,0,9,10385.578,9446,11291,12524.255,10655,14522
41,17311.863,13324,21795,30893.8,28909,33337,186.03,126,255,6382.413,5164,7690,2.91,0,10,11049.713,10201,11835,14030.762,12128,16094
42,13662.973,10174,17408,29641.671,27558,32022,225.7,161,297,7415.36,6040,8877,3.721,0,14,11651.399,10884,12291,15579.368,13702,17661
43,10551.461,7529,13781,28053.931,25847,30559,270.99,187,356,8558.885,7005,10139,4.764,0,15,12172.608,11523,12685,17144.037,15392,19127
44,7960.26,5499,10648,26196.089,23911,28803,321.484,239,420,9815.541,8099,11501,6.015,0,18,12607.299,11971,13084,18703.988,16974,20571
45,5863.531,3927,8157,24138.974,21674,26885,377.826,289,482,11188.852,9382,12936,7.556,1,18,12951.402,12358,13398,20234.229,18454,21861
46,4206.331,2685,6127,21968.827,19470,24672,439.884,335,564,12679.253,10793,14618,9.393,1,19,13196.557,12631,13592,21713.178,20060,23251
47,2935.769,1838,4443,19754.68,17381,22297,507.27,389,620,14284.553,12261,16329,11.521,2,23,13349.21,12887,13700,23116.627,21560,24599
