day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,1266073.419,1265996,1266153,78.655,4,152,0.0,0,0,0.0,0,0,0.0,0,0,145.716,110,192,0.0,0,0
1,1264572.61,1264381,1264736,907.654,767,1066,0.0,0,0,6.571,0,17,0.0,0,0,301.307,253,375,113.853,71,164
2,1262320.937,1262008,1262573,1752.172,1558,1957,0.0,0,0,19.945,5,36,0.0,0,0,626.392,544,712,326.738,254,401
3,1258328.499,1257800,1258829,3590.752,3272,3906,0.0,0,0,47.813,25,82,0.0,0,0,1117.602,1007,1211,750.341,663,850
4,1251782.527,1250907,1252567,6356.656,5933,6760,0.0,0,0,97.462,61,131,0.0,0,0,1979.808,1826,2161,1475.219,1331,1642
5,1240622.741,1239262,1241957,11294.856,10679,12044,0.209,0,4,187.044,143,233,0.0,0,0,3388.485,3152,3662,2726.875,2509,2985
6,1221947.962,1219929,1224149,19381.441,18305,20331,1.152,0,7,344.004,278,415,0.0,0,0,5787.562,5452,6152,4837.4,4520,5243
7,1190602.456,1187177,1194000,32982.457,31412,34576,3.835,0,14,619.06,528,710,0.001,0,1,9803.441,9228,10341,8404.078,7915,8855
8,1138856.81,1133330,1144834,54961.45,52499,57393,10.17,1,26,1094.601,968,1216,0.002,0,1,16533.586,15671,17427,14393.212,13597,15160
9,1055219.018,1046321,1064703,89400.68,85596,92991,22.846,9,42,1910.08,1690,2112,0.003,0,1,27642.211,26367,29084,24442.781,23252,25561
10,925838.697,913011,939725,139114.324,133947,143908,46.258,26,75,3292.789,3070,3564,0.012,0,1,45600.265,43475,47588,41163.962,39200,42992
11,739980.318,722710,759251,201367.236,195228,206748,88.34,61,120,5598.486,5251,5973,0.033,0,1,73330.327,70412,76279,68555.566,65521,71348
12,505019.594,484530,526261,257716.395,253590,261854,160.76,128,206,9345.853,8838,9897,0.08,0,2,113074.624,108914,116889,112114.242,107035,116826
13,265622.91,248763,284751,268714.511,265035,271523,281.535,231,331,15217.314,14510,15921,0.199,0,3,163036.945,158907,167304,177969.053,170676,184700
