age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,83095.01526130653,81971.6231155779,84076.72864321608,24420.145899497493,23305.613065326634,25561.56783919598,59.81415075376885,41.21608040201005,84.47738693467336,1081224.0067738693,1080118.2110552764,1082418.864321608,165.07418592964828,134.39195979899498,199.321608040201,69215.5377085427,68028.69849246231,70457.0,3824.736326633166,3683.1306532663316,3968.175879396985,average
1,99.0,37535.93397487437,36970.874371859296,38052.95477386934,12306.34048241206,11676.472361809045,12944.346733668342,169.95058291457286,132.46733668341707,218.73869346733667,558202.5653266332,557549.311557789,558880.3467336684,1096.2838693467334,1003.070351758794,1230.0653266331658,689.6285979899496,643.0301507537688,739.1306532663317,12614.51843718593,12224.994974874371,13027.442211055277,average
2,99.0,39784.48008040201,39174.9648241206,40320.54271356784,12829.736120603015,12175.537688442211,13487.70351758794,178.66532160804022,139.97989949748742,229.63316582914572,581306.8110050252,580649.5929648242,582026.6482412061,1143.8979095477387,1044.4572864321608,1243.502512562814,718.3252361809044,668.7386934673367,768.2713567839196,13151.396452261306,12742.452261306533,13568.733668341709,average
3,99.0,48135.39929145728,47399.3216080402,48755.417085427136,15619.385849246231,14818.653266331658,16407.331658291456,191.01045728643214,150.4572864321608,243.7537688442211,706624.78579397,705829.3417085427,707583.6180904523,2784.0291206030147,2572.9145728643216,2961.251256281407,875.7326884422112,823.5125628140704,933.3417085427136,16010.444798994975,15526.03015075377,16510.437185929648,average
4,99.0,42936.45416080402,42314.452261306535,43479.4472361809,13700.939035175878,13026.155778894472,14384.170854271357,201.99931155778896,158.71356783919597,259.4924623115578,613641.0801105527,612827.608040201,614503.0452261306,7928.368703517588,7716.814070351758,8200.492462311558,768.0565577889447,716.1809045226131,823.3417085427136,14044.958502512562,13606.206030150754,14483.361809045226,average
5,99.0,39767.13599497488,39224.31155778895,40233.608040201005,11586.709743718593,11039.788944723618,12150.944723618091,259.6207537688442,204.58793969849245,336.0100502512563,503720.6739447236,502860.93969849247,504570.1407035176,18442.686020100507,18077.854271356784,18884.884422110554,649.41,603.7939698492462,699.2311557788945,11878.768246231159,11515.834170854272,12252.51256281407,average
6,99.0,43336.365321608035,42783.804020100506,43821.79396984925,12195.843849246232,11638.532663316582,12765.236180904523,414.56107537688445,333.6683417085427,529.8241206030151,486649.40536683414,485650.97989949747,487978.99497487437,61338.20078894472,60379.85427135678,61983.236180904525,683.4663618090451,636.4924623115578,737.4371859296482,12503.190376884424,12120.095477386934,12900.698492462312,average
7,99.0,6736.015055276383,6573.371859296482,6885.256281407035,2182.1544271356784,1975.1206030150754,2390.165829145729,27.70447236180905,17.09045226130653,41.28643216080402,98502.61232160803,98284.84924623116,98711.87939698492,510.4414371859298,442.35175879396985,603.0904522613065,122.23376381909546,102.9748743718593,143.36683417085428,2235.1601809045223,2119.115577889447,2353.391959798995,average
,,42665.84989258794,42051.590452261305,43203.21859296482,13105.156925879397,12456.984296482413,13761.433417085427,187.9157657035176,147.2726130653266,242.90201005025125,578733.992580402,577971.3542713568,579584.1922110552,11676.122754396985,11421.463567839197,11913.230527638192,9215.298864321609,9027.927763819094,9412.640075376883,10782.896665201006,10442.2324120603,11133.094221105528,aoa
,,20698.27495801276,20436.656914076826,20923.59461270823,6069.405229841527,5816.606349390469,6327.560123619681,119.04598503205641,97.56844843214226,150.13161075044457,271300.48727585236,271083.0370811649,271539.86892806366,20994.083493742197,20693.052191018924,21188.405947889434,24244.790288952714,23840.865461848876,24666.765867883856,4965.208609590335,4829.264330806767,5105.427826210582,std
