day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,600565.406,600489,600640,428.507,353,498,0.0,0,0,0.0,0,0,0.0,0,0,5.725,0,17,0.0,0,0
1,599903.801,599798,600013,963.461,849,1065,0.0,0,0,0.381,0,4,0.0,0,0,15.873,3,30,62.235,38,91
2,599081.529,598950,599224,1585.473,1443,1730,0.0,0,0,1.526,0,7,0.0,0,0,31.253,15,52,178.469,137,225
3,598014.682,597810,598202,2366.906,2195,2541,0.0,0,0,3.697,0,12,0.0,0,0,52.487,31,76,362.219,294,431
4,596626.461,596377,596890,3363.309,3155,3599,0.0,0,0,7.255,0,19,0.0,0,0,81.067,51,108,624.228,528,714
5,594791.506,594498,595104,4670.996,4361,4912,0.349,0,3,14.222,3,28,0.0,0,0,119.342,83,159,981.994,880,1086
6,592341.964,591956,592751,6413.898,6122,6710,1.996,0,7,29.015,13,50,0.007,0,1,169.409,129,211,1457.281,1346,1593
7,589047.144,588558,589562,8761.355,8388,9158,6.221,0,16,57.483,34,91,0.021,0,1,236.532,183,294,2084.551,1922,2219
8,584590.107,583900,585263,11951.104,11444,12446,14.302,3,26,107.66,71,161,0.095,0,2,325.393,259,394,2911.131,2707,3098
9,578553.988,577474,579470,16282.908,15590,17077,27.845,13,48,188.859,143,238,0.267,0,3,444.665,377,544,4000.5,3741,4223
10,570371.89,568923,571563,22170.253,21306,23268,48.839,28,72,312.387,255,382,0.647,0,5,605.39,524,698,5448.693,5166,5700
11,559332.919,557518,560862,30109.03,29014,31467,78.8,48,105,493.08,421,572,1.345,0,7,821.348,718,933,7382.459,6961,7812
12,544537.087,542208,546331,40719.968,39280,42462,120.433,81,154,749.708,645,848,2.609,0,10,1112.935,997,1254,9982.267,9527,10428
13,524946.493,522085,527370,54672.7,52710,56842,175.194,134,229,1106.986,967,1245,4.907,0,14,1503.67,1346,1675,13481.403,12931,14066
14,499435.878,495598,502643,72633.783,70199,75577,246.289,187,303,1596.39,1447,1745,8.807,1,21,2026.809,1843,2189,18190.099,17423,18934
15,467044.36,461969,470981,95015.897,91988,98353,336.213,280,403,2268.034,2071,2470,15.462,3,30,2718.218,2551,2956,24483.638,23589,25440
16,427225.156,421227,431838,121766.018,118335,125664,444.898,371,518,3185.76,2940,3461,26.666,12,44,3616.318,3390,3842,32812.065,31595,34298
17,380364.344,373534,385556,151897.046,148238,156217,569.806,504,633,4435.519,4195,4707,45.668,22,75,4757.495,4477,5013,43649.923,42085,45522
18,328140.768,320732,333681,183274.704,179529,187607,707.559,623,799,6141.419,5821,6494,76.739,45,109,6163.886,5832,6465,57441.979,55378,59989
19,273632.273,266404,279679,212645.401,209301,216106,844.212,761,951,8461.96,8038,8874,127.187,90,174,7828.118,7468,8175,74469.834,72118,77391
20,220717.929,214020,226355,236405.103,233350,239041,965.946,865,1072,11602.123,11080,12140,206.183,157,254,9714.355,9323,10090,94715.9,92255,97979
