age_group,day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max,type
0,99.0,301338.80119597993,298218.16582914576,304283.54271356785,40664.77885929648,39759.98492462312,41585.94472361809,1646.264025125628,1538.4120603015076,1758.070351758794,762382.0363115577,759502.4673366834,765462.688442211,272.17197487437187,229.12562814070353,322.81909547738695,108567.02715075377,106995.97487437187,110251.24120603016,9076.45491959799,8785.125628140704,9370.86432160804,average
1,99.0,153355.7088643216,151436.48743718592,155049.24120603016,20374.948979899502,19824.391959798995,20899.341708542714,330.33765829145733,277.2964824120603,384.7286432160804,381188.15728643216,379522.37185929646,383055.43216080405,132.14964321608042,98.82914572864321,166.3467336683417,70312.34990452262,69175.29648241206,71549.1055276382,2202.831447236181,2070.457286432161,2341.7989949748744,average
2,99.0,171716.8076080402,169625.7487437186,173655.61809045225,21026.61990452261,20477.738693467338,21577.804020100502,350.01876381909545,294.83417085427135,405.8241206030151,386753.18731155776,384821.2713567839,388658.0904522613,134.0309949748744,103.16582914572864,165.11557788944722,72480.46788442212,71324.6231155779,73690.54271356783,2272.1482763819095,2134.969849246231,2410.9497487437184,average
3,99.0,202402.05460301507,200081.0,204501.42211055275,25727.245924623116,25118.0,26374.718592964826,373.06672864321604,317.0753768844221,430.5075376884422,476673.6529396985,474674.90452261304,478898.52763819095,329.92865326633165,268.85929648241205,386.38693467336685,88727.94290954772,87352.53266331658,90175.21608040201,2780.6338140703515,2627.688442211055,2933.6331658291456,average
4,99.0,196348.75963819094,194250.32663316582,198384.24120603016,22228.292361809043,21701.145728643216,22800.170854271357,397.1283366834171,337.8391959798995,458.6934673366834,400547.7064070351,398807.8894472362,402581.07537688443,903.7036884422112,823.5175879396985,989.8391959798995,76519.52611557789,75267.6783919598,77683.10050251256,2400.3684924623117,2256.457286432161,2546.2261306532664,average
5,99.0,197999.16808542714,196225.49748743718,199692.72361809044,18203.928351758794,17739.93969849246,18677.29648241206,518.8701608040202,450.72361809045225,587.7688442211055,308758.0628291457,307187.59798994975,310418.648241206,1937.5875175879396,1825.3768844221106,2057.6582914572864,62425.62735678392,61400.090452261305,63428.30150753769,1961.8236080402007,1833.211055276382,2095.708542713568,average
6,99.0,239615.35559798995,237689.6984924623,241318.22613065326,18241.52570351759,17776.64824120603,18713.70351758794,805.4034874371858,723.5477386934673,890.6633165829146,294521.2709748743,292977.0552763819,296151.216080402,5923.732683417085,5705.391959798995,6183.417085427136,62323.47475879397,61357.18592964824,63296.08040201005,1961.9573567839197,1832.7236180904522,2094.9396984924624,average
7,99.0,11567.185648241206,11180.64824120603,11920.125628140704,3696.66251758794,3338.21608040201,4049.386934673367,77.41716582914573,57.58291457286432,101.7035175879397,82597.52070854271,82193.57286432161,83028.18592964824,74.32444221105528,50.23618090452261,98.39698492462311,12797.19346231156,12346.020100502512,13275.341708542714,399.68017085427147,352.8643216080402,450.97989949748745,average
,,184292.98015515076,182338.4466080402,186100.6425879397,21270.500325376885,20717.008165829146,21834.795854271357,562.3132908291457,499.6639447236181,627.2449748743718,386677.69934610545,384960.8913316583,388531.733040201,1213.453699748744,1138.0628140703518,1296.247487437186,69269.20119283919,68152.42525125628,70418.61620603014,2881.987260678392,2736.687185929648,3030.6375628140704,aoa
,,83127.18688039991,82421.34552757385,83792.5330922302,10178.393101274385,10023.952034777674,10341.481231148182,483.00186132741254,459.4842998373051,507.2142460374457,191424.94628799314,190761.29176401044,192145.3035712826,2003.7699488930627,1940.0994668759465,2081.3611318884846,27441.09180034171,27111.741163947096,27791.74165728321,2599.500490534559,2533.999261559064,2664.724794872277,std
