day,S_mean,S_min,S_max,E_mean,E_min,E_max,H_mean,H_min,H_max,R_mean,R_min,R_max,D_mean,D_min,D_max,I_mean,I_min,I_max,IS_mean,IS_min,IS_max
0,809631.673,809565,809697,444.262,379,503,0.0,0,0,0.0,0,0,0.0,0,0,37.835,17,60,0.0,0,0
1,809052.884,808946,809163,918.996,821,1018,0.0,0,0,1.352,0,8,0.0,0,0,108.18,70,143,3.719,0,12
2,808335.304,808161,808513,1480.302,1319,1628,0.0,0,0,5.268,0,16,0.0,0,0,211.898,152,261,13.77,2,28
3,807430.383,807193,807656,2166.819,1979,2348,0.0,0,0,13.023,3,25,0.0,0,0,354.415,295,427,32.02,11,56
4,806285.575,805963,806547,3018.057,2805,3270,0.0,0,0,25.878,9,42,0.0,0,0,543.885,468,619,61.182,36,94
5,804844.162,804439,805197,4071.306,3800,4389,0.087,0,3,46.467,28,71,0.0,0,0,791.448,692,891,102.893,74,138
6,803033.167,802443,803515,5378.549,4994,5864,0.628,0,8,79.652,51,113,0.0,0,0,1109.981,977,1220,157.178,111,199
7,800764.685,800046,801381,6998.909,6488,7542,1.857,0,8,130.675,92,171,0.003,0,1,1516.594,1363,1657,225.192,168,291
8,797929.329,797016,798793,9010.753,8394,9656,4.004,0,13,206.134,157,266,0.01,0,1,2028.816,1846,2198,309.127,246,375
9,794405.858,793248,795475,11486.376,10702,12328,7.28,1,17,309.592,236,396,0.02,0,1,2677.825,2449,2900,415.255,329,489
10,790034.584,788585,791509,14537.868,13524,15630,11.716,3,28,449.948,372,549,0.034,0,1,3490.019,3212,3784,547.349,456,642
11,784627.381,782930,786646,18289.902,16908,19578,17.836,6,34,636.306,546,746,0.061,0,1,4504.623,4168,4885,710.888,567,831
12,777955.132,775765,780364,22895.982,21305,24585,25.842,10,45,880.024,769,989,0.108,0,2,5766.233,5340,6259,912.958,733,1049
13,769759.46,767070,772652,28514.962,26571,30454,36.253,16,60,1196.274,1047,1371,0.172,0,2,7335.236,6858,7966,1163.476,957,1316
14,759720.414,756168,763054,35357.585,33156,37837,49.238,28,72,1599.286,1421,1818,0.255,0,3,9274.809,8730,9976,1472.686,1300,1646
15,747485.13,742976,751723,43644.776,40841,46741,65.937,38,98,2112.615,1886,2347,0.387,0,4,11661.544,10958,12470,1854.607,1633,2084
16,732641.984,727045,737710,53628.036,50470,57547,86.535,57,117,2761.044,2501,3052,0.583,0,6,14590.721,13592,15706,2323.881,2088,2590
17,714727.187,707990,720924,65581.644,61636,70260,111.978,75,155,3577.111,3243,3865,0.856,0,6,18173.362,16995,19580,2900.562,2626,3310
18,693286.782,685484,700557,79748.559,75327,84983,143.423,106,190,4600.38,4236,4949,1.198,0,6,22530.136,20956,24155,3600.358,3249,4005
19,667828.033,658783,676656,96370.985,90770,102253,180.518,138,226,5872.574,5467,6333,1.7,0,7,27807.39,26023,29808,4454.437,4021,4909
20,637913.517,627492,648187,115625.689,109316,122591,225.837,164,275,7456.089,6843,8023,2.452,0,8,34153.097,31934,36600,5480.448,5081,5919
21,603178.018,591223,615299,137583.055,130304,145287,278.577,221,342,9402.871,8707,10145,3.414,0,10,41729.934,39086,44518,6728.007,6234,7263
22,563472.854,549648,577541,162091.35,153783,170844,340.245,285,406,11802.087,10937,12831,4.823,0,14,50698.983,47561,53786,8209.686,7530,8879
23,547592.282,533116,562231,160115.934,152221,168494,410.17,344,487,14732.577,13630,15864,6.779,0,16,61178.026,57516,64706,9970.079,9230,10684
