week commencing,Glasgow City
2020-03-16,1
2020-03-23,7
2020-03-30,46
2020-04-06,98
2020-04-13,96
2020-04-20,125
2020-04-27,85
2020-05-04,58
2020-05-11,59
2020-05-18,32
2020-05-25,13
2020-06-01,5
2020-06-08,10
2020-06-15,9
2020-06-22,3
2020-06-29,2
2020-07-06,1
2020-07-13,0
2020-07-20,1
2020-07-27,0
2020-08-03,2
2020-08-10,0
2020-08-17,0
2020-08-24,1
2020-08-31,1
2020-09-07,2
2020-09-14,1
2020-09-21,0
2020-09-28,5
2020-10-05,6
2020-10-12,18
2020-10-19,29
2020-10-26,34
2020-11-02,61
2020-11-09,64
2020-11-16,38
2020-11-23,51
2020-11-30,38
2020-12-07,30
2020-12-14,32
2020-12-21,25
2020-12-28,21
2021,335
2021-01-04,50
2021-01-11,45
2021-01-18,43
2021-01-25,67
2021-02-01,56
2021-02-08,40
2021-02-15,34
