week commencing,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2020-03-16,0.13525576865853328,0.0,0.0,0.2688822564598962,0.0,0.1710717646052519,0.12766174743399886,0.15537600994406464,0.0,0.11138710360114507,0.0,0.0,0.0,0.0
2020-03-23,1.2173019179267996,1.3012926173332178,0.0,0.5377645129197924,1.1435292580128729,0.25660764690787785,0.5532009055473285,0.7768800497203232,0.6067961165048544,0.38985486260400776,0.0,0.0,0.36050759469332816,0.0
2020-03-30,2.2993480671950657,5.63893467511061,4.032529067813697,1.209970154069533,3.267226451465351,0.5132152938157557,4.553268991812627,1.709136109384711,3.0339805825242716,1.782193657618321,0.0,2.174858634188778,1.6823687752355314,0.0
2020-04-06,5.410230746341331,6.506463086666089,3.0243968008602726,4.167674975128391,5.2275623223445615,2.9937558805919084,8.255459667398595,2.0198881292728403,6.826456310679612,6.014903594461833,4.506534474988734,8.699434536755112,4.446260334551048,0.0
2020-04-13,6.898044201585197,3.0363494404441744,3.3604408898447478,5.243204000967976,5.064200999771295,3.6780429390129155,8.425675330643925,3.2628962088253575,6.826456310679612,6.070597146262406,0.0,2.174858634188778,6.128629109786579,0.0
2020-04-20,5.274974977682798,1.3012926173332178,1.0081322669534243,4.436557231588288,5.554284967491097,3.421435292105038,9.872508468229247,3.418272218769422,6.295509708737865,6.3490649052652675,0.0,0.0,7.089982695635455,0.0
2020-04-27,4.598696134390131,1.735056823110957,2.0162645339068486,3.3610282057487026,5.2275623223445615,2.5660764690787783,7.276719603737935,2.4860161591050343,5.6128640776699035,5.51366162825668,0.0,2.174858634188778,4.085752739857719,0.0
2020-05-04,3.787161522438932,1.3012926173332178,2.0162645339068486,2.554381436369014,5.064200999771295,2.3950047044735268,5.3192394764166195,1.3983840894965818,3.8683252427184462,4.511177695846375,0.0,0.0,3.9655835416266103,0.0
2020-05-11,2.840371141829199,2.6025852346664355,0.33604408898447474,2.0166169234492215,2.7771424837455485,2.309468822170901,5.021362065737289,0.9322560596643878,3.4890776699029127,3.0074517972309165,0.0,0.0,3.004229955777735,0.0
2020-05-18,2.840371141829199,1.735056823110957,0.0,0.5377645129197924,1.9603358708792107,1.4541099991446411,3.191543685849972,0.6215040397762586,2.275485436893204,2.4505162792251913,0.0,0.0,2.2832147663910787,0.0
2020-05-25,1.893580761219466,1.735056823110957,0.0,1.0755290258395849,0.49008396771980267,0.7698229407236336,1.2766174743399887,0.6215040397762586,1.6686893203883495,1.3366452432137408,0.0,0.0,1.5621995770044221,0.0
2020-06-01,0.8115346119511998,2.6025852346664355,0.0,0.40332338468984436,0.6534452902930702,0.42767941151312977,0.8936322320379922,0.3107520198881293,1.4411407766990292,0.835403277008588,0.0,0.0,1.0815227840799846,0.0
2020-06-08,0.8115346119511998,1.3012926173332178,0.0,0.40332338468984436,0.8168066128663377,0.5132152938157557,0.7234165687926603,0.0,0.6067961165048544,0.6126290698062978,0.0,0.0,1.0815227840799846,0.0
2020-06-15,0.5410230746341331,0.4337642057777393,0.0,0.2688822564598962,0.6534452902930702,0.3421435292105038,0.6383087371699944,0.0,0.6067961165048544,0.5012419662051527,0.0,0.0,0.2403383964622188,0.0
2020-06-22,0.13525576865853328,0.0,0.0,0.40332338468984436,0.49008396771980267,0.25660764690787785,0.34043132649066365,0.0,0.9101941747572816,0.22277420720229013,0.0,0.0,0.2403383964622188,0.0
2020-06-29,0.0,0.4337642057777393,0.0,0.0,0.16336132257326755,0.0,0.17021566324533183,0.0,0.2275485436893204,0.38985486260400776,0.0,0.0,0.36050759469332816,0.0
2020-07-06,0.0,0.4337642057777393,0.0,0.1344411282299481,0.0,0.08553588230262595,0.04255391581133296,0.15537600994406464,0.0758495145631068,0.27846775900286264,0.0,0.0,0.2403383964622188,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.3267226451465351,0.08553588230262595,0.0,0.0,0.0758495145631068,0.11138710360114507,0.0,0.0,0.0,0.0
2020-07-20,0.13525576865853328,0.0,0.0,0.2688822564598962,0.0,0.0,0.12766174743399886,0.0,0.1516990291262136,0.0,0.0,0.0,0.0,0.0
2020-07-27,0.0,0.0,0.0,0.0,0.3267226451465351,0.0,0.08510783162266591,0.0,0.0758495145631068,0.05569355180057253,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.16336132257326755,0.0,0.12766174743399886,0.0,0.0,0.0,0.0,0.0,0.1201691982311094,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.04255391581133296,0.0,0.0,0.11138710360114507,0.0,0.0,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.16336132257326755,0.08553588230262595,0.04255391581133296,0.0,0.0758495145631068,0.05569355180057253,0.0,0.0,0.0,0.0
2020-08-24,0.0,0.4337642057777393,0.33604408898447474,0.0,0.0,0.08553588230262595,0.08510783162266591,0.0,0.0758495145631068,0.05569355180057253,0.0,0.0,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.04255391581133296,0.0,0.0,0.0,0.0,0.0,0.1201691982311094,0.0
2020-09-07,0.0,0.0,0.0,0.1344411282299481,0.0,0.08553588230262595,0.12766174743399886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-14,0.13525576865853328,0.0,0.0,0.1344411282299481,0.0,0.08553588230262595,0.12766174743399886,0.15537600994406464,0.3033980582524272,0.0,0.0,0.0,0.0,0.0
2020-09-21,0.0,0.0,0.0,0.1344411282299481,0.16336132257326755,0.0,0.12766174743399886,0.15537600994406464,0.2275485436893204,0.0,0.0,0.0,0.1201691982311094,0.0
2020-09-28,0.13525576865853328,0.8675284115554786,0.33604408898447474,0.0,0.16336132257326755,0.0,0.2553234948679977,0.15537600994406464,0.37924757281553395,0.1670806554017176,0.0,0.0,0.0,0.0
2020-10-05,0.13525576865853328,0.0,0.0,0.0,0.0,0.0,0.2978774106793307,0.0,0.6826456310679612,0.44554841440458026,0.0,0.0,0.0,0.0
2020-10-12,1.3525576865853328,0.0,0.33604408898447474,0.2688822564598962,0.3267226451465351,0.08553588230262595,1.3191713901513218,0.15537600994406464,0.6067961165048544,0.946790380609733,0.0,0.0,0.2403383964622188,1.8635855385762206
2020-10-19,1.2173019179267996,0.4337642057777393,1.344176355937899,0.1344411282299481,0.3267226451465351,0.42767941151312977,1.8723722956986502,0.4661280298321939,1.5169902912621358,0.7797097252080155,0.0,0.0,0.36050759469332816,0.0
2020-10-26,2.4346038358535993,0.8675284115554786,3.3604408898447478,0.5377645129197924,0.3267226451465351,0.42767941151312977,2.1702497063779806,0.0,3.9441747572815533,0.8910968288091605,0.0,0.0,0.9613535858488752,0.0
