week commencing,female___45-64 years
2019-12-30,61
2020-01-06,95
2020-01-13,80
2020-01-20,80
2020-01-27,63
2020-02-03,64
2020-02-10,64
2020-02-17,65
2020-02-24,73
2020-03-02,71
2020-03-09,75
2020-03-16,81
2020-03-23,56
2020-03-30,101
2020-04-06,78
2020-04-13,75
2020-04-20,84
2020-04-27,61
2020-05-04,80
2020-05-11,71
2020-05-18,68
2020-05-25,61
2020-06-01,47
2020-06-08,49
2020-06-15,53
2020-06-22,55
2020-06-29,59
2020-07-06,56
2020-07-13,62
2020-07-20,68
2020-07-27,66
2020-08-03,62
2020-08-10,59
2020-08-17,65
2020-08-24,63
2020-08-31,68
2020-09-07,60
2020-09-14,73
2020-09-21,60
2020-09-28,75
2020-10-05,51
2020-10-12,63
2020-10-19,67
2020-10-26,64
2020-11-02,63
2020-11-09,84
2020-11-16,74
2020-11-23,77
2020-11-30,69
2020-12-07,75
2020-12-14,75
2020-12-21,84
2020-12-28,59
2021,653
2021-01-04,106
2021-01-11,98
2021-01-18,77
2021-01-25,96
2021-02-01,99
2021-02-08,92
2021-02-15,85
