week commencing,female___75-84 years
2019-12-30,195
2020-01-06,220
2020-01-13,186
2020-01-20,155
2020-01-27,173
2020-02-03,191
2020-02-10,143
2020-02-17,173
2020-02-24,152
2020-03-02,178
2020-03-09,163
2020-03-16,171
2020-03-23,171
2020-03-30,251
2020-04-06,300
2020-04-13,283
2020-04-20,285
2020-04-27,230
2020-05-04,245
2020-05-11,184
2020-05-18,174
2020-05-25,158
2020-06-01,164
2020-06-08,151
2020-06-15,161
2020-06-22,161
2020-06-29,122
2020-07-06,141
2020-07-13,143
2020-07-20,157
2020-07-27,167
2020-08-03,151
2020-08-10,115
2020-08-17,149
2020-08-24,139
2020-08-31,137
2020-09-07,142
2020-09-14,139
2020-09-21,130
2020-09-28,168
2020-10-05,188
2020-10-12,178
2020-10-19,174
2020-10-26,190
2020-11-02,172
2020-11-09,181
2020-11-16,141
2020-11-23,186
2020-11-30,188
2020-12-07,179
2020-12-14,182
2020-12-21,165
2020-12-28,191
2021,1334
2021-01-04,271
2021-01-11,208
2021-01-18,219
2021-01-25,215
2021-02-01,228
2021-02-08,193
