week commencing,female___65-74 years
2019-12-30,81
2020-01-06,127
2020-01-13,107
2020-01-20,104
2020-01-27,96
2020-02-03,92
2020-02-10,96
2020-02-17,101
2020-02-24,95
2020-03-02,86
2020-03-09,87
2020-03-16,91
2020-03-23,89
2020-03-30,127
2020-04-06,122
2020-04-13,115
2020-04-20,134
2020-04-27,126
2020-05-04,97
2020-05-11,98
2020-05-18,82
2020-05-25,81
2020-06-01,90
2020-06-08,92
2020-06-15,83
2020-06-22,74
2020-06-29,72
2020-07-06,90
2020-07-13,90
2020-07-20,59
2020-07-27,83
2020-08-03,80
2020-08-10,82
2020-08-17,93
2020-08-24,86
2020-08-31,91
2020-09-07,91
2020-09-14,82
2020-09-21,58
2020-09-28,99
2020-10-05,85
2020-10-12,89
2020-10-19,97
2020-10-26,92
2020-11-02,104
2020-11-09,106
2020-11-16,117
2020-11-23,104
2020-11-30,113
2020-12-07,106
2020-12-14,98
2020-12-21,88
2020-12-28,88
2021,808
2021-01-04,125
2021-01-11,112
2021-01-18,117
2021-01-25,115
2021-02-01,119
2021-02-08,115
2021-02-15,105
