week commencing,male___65-74 years
2020-03-16,2
2020-03-23,8
2020-03-30,47
2020-04-06,68
2020-04-13,49
2020-04-20,57
2020-04-27,48
2020-05-04,30
2020-05-11,26
2020-05-18,19
2020-05-25,8
2020-06-01,4
2020-06-08,4
2020-06-15,0
2020-06-22,4
2020-06-29,0
2020-07-06,0
2020-07-13,0
2020-07-20,0
2020-07-27,1
2020-08-03,0
2020-08-10,1
2020-08-17,0
2020-08-24,0
2020-08-31,0
2020-09-07,1
2020-09-14,0
2020-09-21,0
2020-09-28,3
2020-10-05,3
2020-10-12,2
2020-10-19,15
2020-10-26,24
2020-11-02,17
2020-11-09,34
2020-11-16,22
2020-11-23,23
2020-11-30,23
2020-12-07,17
2020-12-14,14
2020-12-21,34
2020-12-28,18
2021,285
2021-01-04,50
2021-01-11,53
2021-01-18,40
2021-01-25,45
2021-02-01,28
2021-02-08,36
2021-02-15,33
